,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X600019.SH,X000792.SZ,X600011.SH,X601898.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X002271.SZ,X600010.SH,X600547.SH,X600886.SH,X600795.SH,X601600.SH,X000877.SZ,X600426.SH,X600027.SH,X600362.SH,X600176.SH,X601991.SH,X600803.SH,X601699.SH,X600995.SH,X000786.SZ,X000983.SZ,X600160.SH,X000629.SZ,X000408.SZ,X600489.SH,X000723.SZ,X600219.SH,X002080.SZ,X600096.SH,X000807.SZ,X600378.SH,X300037.SZ,X600348.SH,X600688.SH,X600157.SH,X000831.SZ,X000933.SZ,X600486.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0898582080607027,0.321834375724276,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0677781454854626,0,0,0,0,0,0,0.00508194112188276,-0.046711840361151,0,0,0.127664232460483,0,-0.0139739076937799,0,0,0.101762614098337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106488685568599,0,0,-0.00843346976302439,0.0127828894745157,0,0,0,0,0,0
X601088.SH,0.0361817647536132,0,0,0,0.472138916990882,0,0,0,0,0,0.0260873750527805,0,-0.0671178569648411,0,0,0,0,0,0,0,0.0138710721484145,0,0,0,0,0,0.0597313983635953,0,0.057981425134218,0,0,0.0130846122637804,0,0.0252999725123091,0,0.053552031619394,0,0,0,0,0,0,-0.0225887440225762,0,0,0,0,0,0,0,0,0.00389978180270852,0.0106983837618985,0,0,0,0,0,0
X600028.SH,0.235351498741935,0,0,0,0.030219297338717,0,-0.0151411631620595,-1.73472347597681e-18,0,0,0,0,0.0250601019824275,0,0,0,0.033448209469379,0,0,0,0,0,0,0,0,0,0,0.137206699519769,0,0,0,0.0268485949354237,0.0890451726369127,0,0,-0.0468643039382527,0,0,0,0,-0.0120454641723974,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0.0101769239721767,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.247851020063125,0,0,0,0,0,0,0,0,0,0,0.267107935518804,0.0355664101440855,0,0,0,0,0,0,0.221576042912065,-0.0938464841754054,-0.356813599418425,-0.0540726436816648,0,0,0,0,0,0,0.078177280698479,0,0,0,0,0,0.0465086181354588,0,0,0,0.015653846493,0,0,0,0,0,0,0
X600188.SH,0,0.648085081434842,0,0,0,0,0,0,0,0,0,0,0.0254826952024749,0,0,0,-0.103639256784526,0,0,0,0.0482657933340932,0,0,-0.035112704182544,0,0,0,0.0202256448261746,0.0742274188722213,0,0,-0.00329462528957344,0.152565904585152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26354194479885,0,0,0.0118811809817828,0.0299826745975305,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215305921074941,0,0.0744131344788221,0.0425680341852022,0,0,0,0.150124769567225,0,0,0,0,0.0858894927238669,0,0,0,0.283271402512188,0,0,0,0,0,0,0,0.103640435131822,-0.0137564990873847,0,0,0,0,0,0,0,0.102981632555237,0,0,0.00224425120569338,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.640117696272651,-0.0702676660085311,0.00641668123780813,0,0,0,0,0.0209577769059559,0,0,-0.000624706673076841,0,0,0.0679674788347169,0,0,0,0,0,-0.00145750323024337,0,0,0,0,0,0,0,0,0,0,0.0570528391374772,0,0.0465275746498342,0.0862512503667099,0,0,0.0607591913888296,0,0,0,0,0,0,0,0.0107056993012701,-0.0181518211527728,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.632664548019626,0,-0.287475547156184,0,0,0,0,0,0,0,0.0998546453780023,0,0,0,0,0,0,0,0.0178489311368086,0,0,0,0,0,0,0,0,0,0.014141254936628,0,0,0,0,0,0,0.154811820007646,0,0,0.165367847893331,0,0,0,0,0.0402259487959435,-0.070214332321903,-0.0269184268872278,-0.0120024400890721,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0581671720407829,0.228779773787582,0,0,0,0,0,0.0815507008323947,0,0,0,0,0,0,0,0,0,0.0934439279517771,0,0,0.066593873802259,0,0,0,0,0,-0.115516354071404,0.153785186451231,0,0,0,0,0,0,0,0,0,0,0,-0.0871594291455814,0,0,0,0,0,0,0,0.0210041571842694,0.00879301116782824,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.239886843566961,0.110244172695127,0,0,0,0,0,0.0426924481996878,0,0,0,-0.0126377163909389,0,0,0,0,0,0,0,0,0.0394835543800826,0,0,0,0,0.0469950346004198,0,0,0,0,0,0,0,0,0,0,0,0.195827297218416,0.0655197918628006,0,0,0.0642862496975402,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0
