,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X000708.SZ,X002271.SZ,X600547.SH,X002466.SZ,X000786.SZ,X600362.SH,X600176.SH,X600426.SH,X000301.SZ,X600011.SH,X601898.SH,X601600.SH,X600886.SH,X600111.SH,X600010.SH,X600188.SH,X600352.SH,X600219.SH,X600486.SH,X600801.SH,X601991.SH,X002080.SZ,X600795.SH,X600489.SH,X002353.SZ,X600688.SH,X600803.SH,X601168.SH,X300037.SZ,X600399.SH,X600027.SH,X601992.SH,X600299.SH,X600157.SH,X000932.SZ,X000898.SZ,X002409.SZ,X300073.SZ,X000027.SZ,X002497.SZ,X600516.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.110915540771246,0,0,0.00165535116189312,0,-0.0625835771957145,0,-0.000534412746532927,0,0,0,0.0232577421636003,0,0,0.028296137005022,0,0,0,0,0,0,0.037171490474837,0,0,0,0,0,0,0,0,0,0,0,0.0717563626225779,0,0,0,0,0,-0.00211442410896774,0,0,0,0,0,0,0,0,0,0.00130560451870985,0,0,0,0,-0.00179965488643901,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,-0.0347435660150582,0,-0.0270730492865683,0,0.00256037827888475,0,0.00567445877832285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13768826288858,0,0,0,0,0,0,0,0.0168939401366279,0,0,0,0,0,0.10011304662382,0,0,0,-0.013424296523346,0,0,0,0,0,0,0,0,-0.0123218462564143,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0.0362327513775232,0,0,0,0,0,0,0,0,0.330444291882257,0,0,0,0,0.330008657194658,0,0.0607391860334506,0,0,0,0,0,0,0,0,0,0.0770316694352306,-0.0357331566052756,-0.0181475960800896,0,0,0,0,0,0,-0.0926210771074845,-0.0189800709641247,0,0,0,0,0,0,-0.0174555016156935,0,0,0,-0.00892719003500874,0,0
X600309.SH,0,0,0,0,0,0.0699299458062589,0,0,0.0621973927479977,-0.105587362949336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017932784398064,0.0646189795330101,0,0,0,0,0,0.0988939615581075,0,-0.0575421524519258,0,0,0,0,0,0,0,0.137446292135023,0.183568165822861,0.0624889726207744,0,0,0,0,0,0,0.00848673500006972,0.0468126553266501,0,0,0,0.0108932173761076,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,-0.140848573767623,0,0,0,0,-0.0597848909162569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117268776753625,0,0,0,0,0,0.110922864133505,-0.042734449701454,0,0,0,0,0.00155508664302716,0,0,0,0,0.0273808214947167,0,0,0.138728133162957,0,0.0141180341680916,0,0,0,0,0.00576291352352364,0,0
X002460.SZ,0,0,0,0,0,0,0,0.107028254347429,0,0.0930103130960544,0,0.400610110515201,0,0,0,0,0,0,0,-0.125269353320992,0,0,0,0,0,0,-0.0415303852974361,0,0,0,0,0,0,0,0,0,0.323367034859523,0,0,0,0,-0.0506887740419484,0,0,-0.0530940138703857,0,0,0.391539256873119,0,0,0,-0.00762852714699102,0,0,0,0,-0.0060729976839396,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0507195365816874,0,0,0,0,0,0.224570524134773,0,-0.160690154341437,0,0,0,0,0,0,0,0,0,0.0803078864747186,0,0,0,0.0680833164217372,0,0,0,0,0,0,0,0.0810094406409276,0,0,0,0,0,0.187131552186772,0,0.0215265091381559,0.0682155900955951,-0.0251072231833353,0,0,0,0.0338797898756836,0,0,0,0,-0.00256291696903747,0,0
X600660.SH,0,0,0,0,0,0.0851762064776331,-0.130527681757401,0,0,0,0,-0.0192494125660706,0,0,0,0,0,0,0,0,0,0.0462563374172824,0,0,0,0,0,0.0730200827837,0,0,0,0,0.0364571434552633,0,0,0,0.168542891519593,0,0,0,0,0,0,0,-0.0649085472046791,0,0,0,0,0,0,4.33680868994202e-19,0.0174633238489536,0,0,0,0.0182975993083023,0,0
X000708.SZ,0,0,0.0246802906184399,0,0,0,0,0,0,0,0,0,0,0.0594365123067239,0,0,0,0,0,0,0,0.165629448333747,0,0,0,0.00325597766782545,0,0,0,0,0,0,0,0,0.0660811329075413,0,-0.0313948589385594,0,0,0,0,0.0540341347937055,0,0,0,0,0,-0.0632421336940273,0,0.29844989420806,0,-0.0302627929420853,0.0616074760528524,0,0,0,-0.00438673523712504,0,0
X002271.SZ,0,0,0.249782046970141,0,0,0.0322323362338019,0,0,0,0,0,0.0726973786989884,0,-0.309646189948002,0.163454639276744,0,0.0704593834952577,0,0,0,0,0,0,0,0,0,0.391953748600082,0,0,0,0,0,0.0141352371633271,0,0,0,0,0,0,0,0,0.0072344930791908,0,0,0.140660017001421,0,0,0,0,0,0,-0.0182542619641554,0.0215275814375451,0,0,0,0.0344386962721808,0,0
