,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X000792.SZ,X600019.SH,X002460.SZ,X601898.SH,X600111.SH,X600011.SH,X002271.SZ,X000877.SZ,X002466.SZ,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600660.SH,X000301.SZ,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000983.SZ,X601699.SH,X600795.SH,X000786.SZ,X000723.SZ,X600803.SH,X600096.SH,X601991.SH,X600801.SH,X000959.SZ,X600219.SH,X600295.SH,X000932.SZ,X000408.SZ,X000807.SZ,X000630.SZ,X000825.SZ,X600486.SH,X600985.SH,X600489.SH,X600141.SH,X600688.SH,X600027.SH,X600157.SH,X002080.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.127021044519747,0,0,0.0274824509295652,0,0,0,0,0.182971452114819,0,0,0,0,0,0,0,0,0,0,0,0,0.0172264090872565,0,0,0,0,0,0,0,0,0,0,0.154354643201237,0,0,0.0846166595505102,0,0,0,0,0.0349227795110653,0,0,0,0.0877875767434654,0.0608657070255759,0,0,0,0,0.0293025290043006,-0.0417967062613281,0.0568217224627539,0,0,0,0,0
X601088.SH,0.0465818549418532,0,0,0,0,0.0344491418665582,0,0,0,0.244301551116355,0,0,0,0,0,0,0,0,0,-0.0649913552537466,0,0,0,0,0,0,0,0,-0.0327339647797369,-0.0590598943506273,0,0,0,0,0,0,0,0,0,0,-0.00995750018047629,0,0,0.387833001395612,0,0,0,0.0831816279960083,0,0,-0.0337149863213949,0,0.0147394821141667,0,0,0,0.154423533356262,0,0
X600028.SH,0.13152942392466,0,0,0,0,0.0340537035210564,0,0,0,0.0236267299816623,0,-0.0303077455809961,0.00702101252676905,0,0,0.0216111828993238,0,0,0,0,0,0,0,0,0,0.00886362000784579,0,0,0,0,0.00350525611757562,0,0,0,0,0,0.0283387226110232,0,-0.0208141088550829,0.0187347783003888,0,0,0,0,0,0,0.210839622969193,0,0,0,0,-0.011768285348371,0,0,0,0,0.0443485998493283,0,0
X600309.SH,0,0.0091226668129726,0,0,0,0,0,0,0,0,0,0,0.0325439015669681,0,0,0.182788307642609,0,0,0,0.00985182817317676,0.203911372720265,0,0.00945356800180792,0,0,0,0,0,0,0,0.0662840698282122,0,0,3.46944695195361e-18,0.0691208727068566,0,0,0,0,0,0,0,0,0,0,0,0,0.0375814044798014,0,0,0,-0.0213299604516552,0.0311369580253639,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.00745233434997617,0,0,0.0106142732609289,-0.0264845474076665,0,0,0,0,0,0,0,0,0.0192586987035541,-0.0950897986114722,0,0,0,0.130299398449698,0,-0.0153361968237637,0,0.10410909217611,0,0,0,0,0.415955872981167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0411685305600302,0,0,0,-0.00244736472872757,0,0,0,0,0,0,0
X600188.SH,0,0.268224004004409,0,0,0,0,0,0,0.0423723167450454,-0.0106906654417859,0,0,0,0,0,0,0,0,0,0,0,-0.0355675090731839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173499432438649,0,0,0,0.597309982630956,0,0,0,0,0,0,0.0949572459485696,0,0.0596166208681432,0,0,0,0.211092328309791,0,0
X000792.SZ,0,0,0,0,0,0.0105563905649649,0,0,0,0,0,0,0,0,0.246687445686003,0,0,0,0.104030628669764,-0.0409151345090532,0,0,0,0,0,0,0,0,0,0.318164318563613,0,0.196088172050074,0,0,0,0,0,0,0,0,0,-0.303174129361619,0.0031065389560747,0,0,0.227377989855857,0,0,0,0,0,0.0339359080111224,-0.0210542793025162,0,0,0,0,0,0
X600019.SH,0.00113051489754251,0,0,0,0.050276464626933,0.0927538732561106,0,0,0,0,0,0.124468447283046,0,0,0,0,0,-0.0234905602398863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130562232274561,0,0,0.0494876305489942,0.342522112138357,0,0,0,0.0744244379814984,-0.0984357715146936,0,0,0,0,0,0,0,0,0,-0.00364087048900794,0,0,0,-0.0307637603006447,0,0
X002460.SZ,0,0,0,0,0,0,0.0740931651182796,-0.0565503794585027,0,0,0.220872509276959,0.0316037729347616,0,0,0.426556369806242,0,0,0,0,0,0.0390174576655245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122510323614961,0,0,-0.202605183340864,0,0,0,-0.080175448541885,0,0,0,0.300514663759365,0.00832405987826691,-0.0169455072819251,-0.0355316326817388,0.0467882553782939,0,0,0,0,0
X601898.SH,0,0.251100091945804,0,0,0,0,-0.0526556228435932,0,0,0,0,0,0,0,0,0.0287622130463135,0,0,1.73472347597681e-18,0,0,0,0,0,0,0.184544203668175,0,0,0.00231202340558555,0,0,0,0,0.00105338907389559,0,0,0.0679925655545061,0,0,0,0.0703624828131046,0,0,0.247871267366742,0.0564227545668997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
