,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601898.SH,X600660.SH,X601991.SH,X600886.SH,X601600.SH,X600688.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X600176.SH,X000898.SZ,X601992.SH,X002466.SZ,X600516.SH,X000709.SZ,X600111.SH,X600352.SH,X002460.SZ,X600299.SH,X000786.SZ,X600489.SH,X000629.SZ,X600808.SH,X601158.SH,X600801.SH,X000825.SZ,X600219.SH,X000553.SZ,X000883.SZ,X600583.SH,X002110.SZ,X002271.SZ,X002470.SZ,X600157.SH,X600021.SH,X600612.SH,X000408.SZ,X601699.SH,X600339.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.112937683270586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153582941185802,0,0,0,0,0,0,0,0,0,0,0,0.0239801097032837,-0.037898927395224,0,0,0,0,0,0,0,0,0,0,0,0.0154620703039936,0,0,0,0.103060316028172,0.274069000220248,0,0.00123962415577226,-0.00421127175702999,0.00828299292177707,0,0,0,-0.00397988432174204,0,0
X600028.SH,0,0,0,0,-0.0760157727790741,0,0,0,0,0,0,0,0,-0.0769268143889277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111036917426315,0,0,0,0,0,0,0,0.140646225971015,-0.104457477557673,0.108263663438968,0,-0.121329662049031,0,0,0,0,0.477315714304319,0,0,0.0251085847700913,0.0848598609887653,0,0,0,-0.00619910467395442,-0.11437476946944,0
X601088.SH,0,0,0,0,0,0.075137214595438,-0.0147532888072988,0,0,0,0,0,0.271304681414735,0,0,0,0,0,-0.0672750868341664,0.134887361339185,0,0.0714657883804028,0.00552364312060785,-0.053646762900587,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00869709369632875,0,0,0,0,-0.0351774818345912,0,0,-0.193588337308645,0,0,0,0,0.0186142978613507,-0.0029765368010924,0.0412566850443365,-0.154948121590346,0,0,0.102825300744234,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0172737015717335,0,0,0,-0.0301392472832266,0,0,0,0,0,0,0,0.0271557757035284,-0.0693054980410937,0.113382853973318,0,0.47508677840485,0,0,0,0,0,0.0919069180124662,0,-0.0325111813752561,8.67361737988404e-19,0,0,0,0,0,0,0,-0.0170150724224483,0.0392408196867576,0,0,0,0.0644127696236695,-0.0891050140995142,0
X600019.SH,0,0,0.0287550299982878,0,0,0.0493916513642614,-0.060056360972184,0,-0.0179689858175678,0,0,0,0,0,0,0,0,0,0,0.0913209781775872,0.373051527992549,0.01118324274612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371026096593384,0.142423300888092,0,0,0.0121112162952108,0,0,0,0,0,0,0,0.00838588838544892,0.010838024045198,0,0,0,0.0343858346158618,0,0
X600309.SH,0,0,0.00623707787962578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165308474383475,0,0,0,0,0,0,0,0,0,0.479872833381647,0,0.147007679327685,0,0,0.274038682537493,0,0,0,0.0161298013554453,0,0.0623938822381225,0.0311976687350107,0,0,0,0.0982380562934434,0,0,0.00426796176908712,0,0,0,0,-0.0129805901288165,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.450676740954704,0,0,0.613106010018403,0,0,0.0129209995274509,0,-0.202771111362682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454241356023307,0.0250223582900622,0.0480134654287354,0,0,0,0,-0.102296417076598,0,0,-0.0041013052266838,0,0,0,0,-0.03032702553581,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0495873067120622,0,0,0.113823783697559,-0.166130562875551,0.0963395867321998,0,0,0,0,0,0,0,0,0,0,0.0528170498686325,0,0,0,0,0,0.041772156598501,0.148593355845259,0,0,0,0,0,0,0.190945484230688,0,0,0,0.00761011043972418,0,0,0,0.00603011693674639,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0865594228406183,0,0,0,0,0,0,0,0,0,0,0,0.708717656494668,0.0574786077883007,0,0,0,0,0,0,0,0,0.200110869273422,0,-0.000270455104231134,0,0.143024052975325,0.107425399008343,0,0,0,0,0,0.0039355227783489,0,0,0,0,-0.0262867279533329,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824526157048072,0,0,0,0,0,0.105592685187338,0,0,0,0,0,0.094580980939205,0,0,0,0,0,0.0281840277393996,0,0,0,0,0,0,0,0.0892056406084532,0,0.00705550393801359,0,0,0,0,0,0,0.082015996257424,0,0,-0.00642692264257884,0.0308146085334374,0,0,0,0.0420544356554909,0,0
