,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X601600.SH,X600547.SH,X600585.SH,X600886.SH,X600660.SH,X600795.SH,X000792.SZ,X600362.SH,X000708.SZ,X600489.SH,X600010.SH,X600027.SH,X601699.SH,X600111.SH,X002460.SZ,X600160.SH,X000983.SZ,X600426.SH,X000301.SZ,X002466.SZ,X600803.SH,X601991.SH,X000786.SZ,X000933.SZ,X000877.SZ,X600985.SH,X002128.SZ,X000630.SZ,X000807.SZ,X600176.SH,X601168.SH,X600219.SH,X000408.SZ,X002271.SZ,X600348.SH,X600612.SH,X000883.SZ,X600096.SH,X000932.SZ,X000027.SZ,X002353.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.680799506111238,0,0,0,0,0.048422059682791,0.201568760534949,0,0,0,-0.104715284393777,0,-0.0682479846277041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0.0236372482133991,0,0,0,0,0,-0.0266491292415603,0,0,0,0,0,0,0,0,0,0,0.0100901280930603,0,0.0873788134637007,-0.0307136799410316,0.0142444490478794,0,0,0,-0.0118154160726205,0,0
X601088.SH,0.119387755057055,0,0,0,0.227967031565471,0,0,0,0.0831141433908691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00951648910769757,0.144198334273844,0,0,0,0,0,0,0,0,0.111792807391778,0,0,0,0,-4.33680868994202e-19,0,-0.00646330209993534,-0.0160428960042598,0,0,0,0,0,0,0,0,0,-0.0174572786081623,0,0,0,0,0.0442139352739732,0,0
X600028.SH,0.341750641323112,0,0,0,0,0,0,0,0,0,0,0,0,0.0257087216829162,0,0,0,0.0783020897571756,0,0,0.0441913291258817,0,-0.153920864249933,0.0146128327297832,0,0,0,0,0,0,-0.0730185197689724,0,0,0,0,0,0,0,0.0787555894781677,0,0,0,0,0,0,0,0,0,0,0,0,0.0187888881175206,-0.000542330779434352,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.262169791715399,0,0,0,0,0,0.0509528570289156,0,0,0,0,0.0190751579749418,0,0,0.029148561454657,0,0,0,0,0,0,0,0,0,0,0,0.126009324583825,0,0,0.055938493180575,0,0,0,0.130255812029978,0,0,0,0.0603197340771772,0,-0.129047050028245,0,0,0,0.154678042110038,-0.0367225709761907,0,0,-0.0530538418200771,0.0137998930828649,0,0,0,0.0209633057452726,0,0
X600188.SH,-3.46944695195361e-18,0.0452469320698387,0,0,0,0.309943192579353,0,0,0,0.13245514530433,0,0,0,0,0,0,0,0,0,0,0.326535774647308,0,0,-0.0186381505030042,0,0,-0.000731347103164022,-0.0598090905147846,0,0,-0.0665244760778845,0.0463546511143326,0,0,0,0,0.00525279832095282,0,-0.0153292659945127,0,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,0,0,-0.0148911296872386,0,0,0,0,0,0
X601898.SH,0,0.269963255313442,0,0,0,0,0,0.0637998918498544,0,0,0.210237847333885,0,0,0.135731150348244,0,0.05006870188379,0,0,0.177247439986493,0,0.047891469507338,0,-0.0469051328081071,0,0,0,0,0,0,0,0,0,0,0.542269404524082,0,0,0,0.137303268269674,0,0,0.0701696026764919,-0.129559036605635,0,0,0,0.132806955971387,0,0,0,0,0,0.104985152179011,-0.0545067969690138,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.00456961499777253,0,0,0,0,0,0,0,0.110126935644586,0,0,0,0,0,-0.00611744442063561,0,0,0,0,0,0,0.0811596526845272,0,0,0.149181044772204,0,0.00793310029478504,0,0,0,0,0,0,0.0497182740587485,0.0313177374611958,0,0,0,0.0634339980145659,0,0,0,0.307726800054622,0,0,0,0,0,0.0349253068196835,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0204989835569819,0.394276605309944,0,0,0,-0.0523630285839884,0,0.0498047854219024,-0.06031092783054,0,0,0,0,0,0,0,0,0.318958137723161,-0.0552625709470255,0,0,0,0.104631202894737,0,0,0,0,0,0,-0.0511664080917188,0,0,0.0100429278713911,0,0,0,0.0447657074154025,0,0,-0.0114824334563921,0.00826074968512455,-0.0283420919795859,0,0,0,0,0
X601600.SH,0,0.160119168209137,0,0,0,0,0,0,0,-0.0533764910450237,0,0,0,0,0,0,0.106583244460546,0,0,0,0,0,0,0.0305454951043351,0,0,0,0,0.225450910038905,0.0533279609495306,0,0.114034767237527,0,0,0,0,0.26374196562862,0,0.202534334437351,0,0,0,0,0.135658988372305,0,0,0.0533056360318386,0,0,0,0,0,0,0.11892529750601,0,0,0.0148373338926536,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00769535088512356,0.761759134423829,0,0,0,0,0,0,0,0,0,0.00979604536297631,0,0,0,0.147700523336426,0,0,-0.0435090269530164,0,0.00316418841738557,0,-0.0156192373500547,0,0,0,0,0,0,0,0,0,0,0,0,-0.0760167673024928,0.0774634269355396,0,0,0,0,0,0
