,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600688.SH,X600188.SH,X600547.SH,X601600.SH,X600795.SH,X601991.SH,X600362.SH,X600111.SH,X600157.SH,X600027.SH,X600489.SH,X600886.SH,X601992.SH,X600623.SH,X002466.SZ,X600299.SH,X000792.SZ,X600660.SH,X600309.SH,X300072.SZ,X002075.SZ,X601158.SH,X000408.SZ,X600583.SH,X000723.SZ,X600549.SH,X600352.SH,X000709.SZ,X000883.SZ,X000898.SZ,X000983.SZ,X600176.SH,X000539.SZ,X002470.SZ,X000027.SZ,X000060.SZ,X002460.SZ,X000630.SZ,X000012.SZ,X600021.SH,X002407.SZ,X600219.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.0393886224998368,0,0,0,0,0,0,0.0465748271512849,0,0,0,0,0,0,0.0389019403971504,0,0,0,0.0544212518592327,0.0744492723325768,0,0,-0.0264694378230001,0,0,-0.0350974145300027,0,0,0,0,0,0,0,0.128353216362204,0,0,0,0,0,0,0,0,0,0,0.0372296444242152,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.19317846888619,0,-0.0396437530448951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128003455561828,0.0317475536505212,0,0,0,0.0534701986259189,0,-0.00881371632824097,0,0,0,0,0,0,0,0.00151168542434721,0,0,-0.0216464933986202,0,0,0,0,0,0,0.00529810063106384,0.000738469359997518,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.00718203013780874,0,0.0571156377579914,-0.0180504182710905,0,0,0,0,0,0,0,0,0,0,0.00010011264317173,0,0,0.0294029646667881,0,0,0,0.00106057795408209,0,0,0,0,0,0.129434156981629,0,0,0,0.0772290725123096,0,0,0,0,0,0.0494101070802526,0,0,0,0,0,0,0,0.0392418166226828,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.0727263633206711,0.139036186226802,0,0.115888177829526,0.0418686081794855,0,0,0.0457629610394452,0,0,0,0,0.0715095657838276,0,0,0,0,0.01576836194257,0,0,0.0579855803346892,0,0,0,-0.0232959118067527,0,0.0752021395809321,0,0,0,0,0,0,0,0.0285568905617212,-0.0864970470508754,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0376925998976544,0,0.115210547841742,0,0,0.0138040330395652,0,0,0,0,0.49742450366181,0,0,0,0,0,0.0628962155332629,0,0,0,0,0,0,-0.0464437490829368,0,0,0,0,-0.0497581441119638,0,0,0,0,0,-0.0502083544193679,0,0.0291929648356136,0,0,0,0,0,0,0.0218424897988079,0,0,-0.0021846394014973,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0566071253315746,0,0,0,0,0,0,0,0,0,0,0,0.131216551730866,0,0,0,0,0,-0.112749562968243,0,0,0,0,0.0845502868099386,0,0,0,0,0,0.0696347030436538,0.01957901445729,0,0,0,0.0342515401191223,0,0,0.19551404068101,0,0,0,0,0.0293988657987938,0,0,0,0,0,0.0599650881225617,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0614997663551907,0,0,0,0,0,0.0198141724454462,0,0,0,0,0,0.0573580587131531,0.00717979647438637,0,0.141728900519278,0,0,0.0287429646526868,0.0890642669353443,0,0,0,0.0300603857922767,0,0,0,0,0,0,0,0,0,0,0.0492203872251512,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,-0.0136523985641424,0.0205981299380161,0,0,0,0,0.0304880570871317,0,0,0,0,0.0675333872665124,0,0,0,0,0,0,0,0,0.04757214544826,0,0,0.0991177838895927,0,0,0,0,0.212032706667747,0,0,0,0,0.0872348260584843,0.0331489723928966,0,0.0418108506357811,0,0,0,0,-0.0136011212936097,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0.12558751253657,-0.0310145917764381,0,0,0,0,0,0.10310917382139,0,0,0,0,0.108742938619646,0.0871923085755309,0,0,0,0,0.0850439553267082,0.0585775130996926,0,0.0917171539942912,0,0,0,0.0759695114054114,0,0,0,0,0,0,0,0,0,0,0,0,0.100059469319275,0,0,0,0.0115358693773746,0.0498451235829187,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,-0.0464322184582314,0,0,0,0.00119590142399621,0,0.0569624069351622,0,0,0,0,0.334180866291538,0,0,0,0,0,0,0.0997214499066073,0,0,0,0,0,0,0,0,0,0.522730902187737,0,0,0,0,0,-0.18348630898647,0,0,0,0.115032691770433,0,0,0.040797751773939,0.0168720974053525,0,0,0,0,0,0
