,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X002460.SZ,X600795.SH,X600111.SH,X600362.SH,X002466.SZ,X600489.SH,X000708.SZ,X000301.SZ,X600803.SH,X600160.SH,X600027.SH,X601991.SH,X000786.SZ,X000807.SZ,X600426.SH,X600219.SH,X000983.SZ,X002128.SZ,X000408.SZ,X601699.SH,X000877.SZ,X600176.SH,X000630.SZ,X600096.SH,X601168.SH,X600985.SH,X002353.SZ,X000933.SZ,X600157.SH,X600378.SH,X002271.SZ,X600995.SH,X600352.SH,X000831.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.411122343344344,0,0.0605064302558527,0,0,0,0,0.1947364939805,0,0,0,0,0,0,0,0,0.459515012490262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217418561633769,0,0,-0.241857635064343,0,0,0,0,0,0,0,0,-0.109991298085205,0,0,-0.0484204158172303,0,0
X601088.SH,0,0,0,0,0.358124988421487,0,0,0,0,0.0121947647643195,0,0,0,0,0,-0.0265043467523603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0198095735356554,0,0,0,0,0,0,0,0,0,0,0.083741976508612,0,0,0,0,0,0,0,0,0,0,0,-0.0192079324297231,0,-0.0134767763018017,0,-0.0386546504055641,0,0
X600028.SH,0.593584546000682,0,0,0,0.211498991300746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0809510134489068,0.0474356690867045,0,0,0,0.00239369564416603,0,0,0,0,0,0,-0.0552674498965441,0.0531698274694634,0,0,0,0,0,0,0,0.0448779906935076,0,-0.133591350501238,0,0,0,0,0,0,-0.0312514122648353,0,0,0,0,-0.0469691327288193,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995710730532081,0,0,0,0,0,0,0.029536726832328,0.187957246825538,0,0,0,0,0,0,0,0.0879260470377686,0,0,0,0.0677484722970706,0.159029582923047,0.131572245451306,0,0,0,0,0,0.0233687849942086,0,0,0,0,0.0553573490536845,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.316121162044049,0,0,0,0,0,0,6.93889390390723e-18,0.023280643984075,0,0,0,0,0,0.0454796620365228,0,0,0,0,0,0,0,0,0.0704137755850297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476311081521403,0,0,0,0,0,0,0,0,0,0,-0.124423985657315,0,-0.0139777599153495,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159793638887725,0,0,0,0,0,0.00398334958638936,0,0,0,0,2.16840434497101e-19,0.201221728175271,0,0,0,0,0,0.11679752586377,0,0,0.354400359920771,0,0,0,0,0,0.088711662545541,0,0,0,0.342092403925058,0.0617950880599545,0.0196352123182796,0,0,0,0,0,0,0.0747698790069337,0,0,-0.0524045604591738,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219956240963989,0,0,0.0128639767231081,-0.115689326538417,0.0965829807163939,0,0.196330284879328,-0.0426556804146015,0,0,0,0,0.0607410297064783,0,-0.155889003354348,0,0.0412207679785176,0,0,0,0,0,0,0,-0.248105211662179,0,0,-0.0227342666890594,0,0,0,0,0,-0.15869892509293,0,0,0,0,-0.00170590599888277,0,0
X600019.SH,0.305350315520424,0,0,0,0,0,0,0,0,0.198062674766568,0,0,0,0,0.0723656426926748,0,0,0,0,0,0,0,0.0933713739825906,0.0907779833981402,0,0,0,0,0,0,0,0,0,0,0,0.071739590410163,0,0,0,0,0,0,0,0.0114346619050073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.16560013671936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318375314003286,0.0809405588748881,0.0274489925821842,0,0,0.0158340098876942,0,0,0,0,0,0,-6.93889390390723e-18,0,0.291969621156361,0,0,0,0,0.0456525179804712,0,0,0,0,0,0.03460080552514,0,0,0,0,0,0,0,0,0,-0.0383804647323817,0,0
X601600.SH,0,0,0,0,0,0,0,0.0395870476691735,0,0,0,0,0,0,0,0,0,0,1.06995807695,0,0,0,0,0,0,0,0,0,0.111757869271051,0,0.352487749604541,0,0,0.239437828705951,0,-0.309804327260412,0,0,0,0,0,0,0,0,0,-0.0658997120990789,0,0,0,0,0,0,0,0,0,0,0.0537458692221989,0,0
