,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600547.SH,X601600.SH,X600585.SH,X600660.SH,X600886.SH,X000792.SZ,X600795.SH,X600362.SH,X002466.SZ,X002460.SZ,X000708.SZ,X600010.SH,X600111.SH,X600027.SH,X000301.SZ,X600489.SH,X600160.SH,X601699.SH,X000877.SZ,X600803.SH,X000983.SZ,X600426.SH,X601991.SH,X000786.SZ,X000408.SZ,X000630.SZ,X000807.SZ,X601168.SH,X000933.SZ,X600985.SH,X600176.SH,X600612.SH,X002271.SZ,X600219.SH,X002128.SZ,X000932.SZ,X600096.SH,X000883.SZ,X000027.SZ,X600348.SH,X002353.SZ,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0121291726043064,0.2966843632782,0,0.0995850150207753,0,0.0478039844694453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037950279198299,0,0,0.0357526656226378,0,0,0,0.0179659038332712,0,0,0,0,0.0747880642348607,0,0,-0.00194407770784742,0,0,0,0,0,0,0,0,0,0,0.0209372961078457,0,0.0746879630990296,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0829430359842291,0,0,0,0,0.0292133552105542,0,0,0,0.0371024567556383,0,0,0,0,0.194405432595469,0,0,0,0,0.0656224497041028,0,0.0190843681621895,0,0,-0.0635495054948325,0,0,0.169834090758424,0,0,0,0,0,0,0,0.0069525116492533,0,0,0,0,0,0,0
X601088.SH,0.0135089700475125,0,0,0,0.161138474037568,-4.33680868994202e-19,0.263993203617725,0,0,0,0,0,0,0,0,0,0,-0.0144963209582912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182429932194976,0,0,0.149556707188817,-0.105300138168104,0,0,0,0,0,0,0,0,0.0643127707144441,0.0753934243307678,0.100960060471376,0,0,-0.0201033876412783,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124424186187518,0,0.0441125561208675,0.0768895064054929,0,0.218291185981897,0,0,0,0,0.26775067695825,0,0.0824573676834449,0,0,0.0985802970421663,0,0,0,0.0286798549069842,-0.189770619504146,0,0,0,0,0,0,0,0,0.0727210455973406,0,0,-1.73472347597681e-18,-0.0463007841666093,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.156449514564919,0,0,0.013064388868792,0,0,0,0,0,0,0,0,0,0,0,0.0140485174230511,0,0,0.0798337562792225,0,0.352856753217427,0,0,0.133393184706096,0,0,0,0,0.00775958790084655,0,0,0,0,0,0,0,0,0.107930580564932,0.0263151342750291,0,0,0,0,0.00267137219407699,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.227241206692318,0,0.609209882108986,0,0,0,0.194486706639048,0,0,0,0,0,0,-0.0987343752246052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281411318770957,0,0,0,0,0,0
X600011.SH,0.00753555429189079,0,0,0,0,0.200978881254338,0,0,0,0,0,0,0,0,0.0928967218884744,0,0,0,0,0,0,0.285637619673079,0,0,0,0,-0.0610344173599083,0,0,0,0.147223582493114,0,0,0,0,0.0215512883948705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370564206054925,-0.0622310213226425,0.0339000216906325,0,0,0,0,0
X600019.SH,0,0,0,0,0.0781543882676458,0,0,0,0,0,0,0,0,0,0.0419744546872392,0,0,0,0,-0.0418573613661037,0,0,0,0.0671418049688769,0,0,0,0,0,0,0,0,0,0,0,0.0772810100131767,0,0.0326075118161718,0,-0.0201136355503169,0,0,0,0.148481235639574,0,0,0,0,-0.0643548588163047,0,0,0,-0.0135296987914642,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.313736221275284,-0.0428335217096298,0,0,0,0,0,0,0,0,0,0,-0.0386538014553539,0,0,0,0,0,0,0.870124999642201,0,0,0,0,0,0,0,0,0,0,0,0,0.0633908557131569,0,0,0,-0.0432884323259167,0,0,0.0796095102644511,0,0,0,0,0,0,-0.0176937307764539,0,0,-0.0622013606254679,0,0,0,0,0
X601600.SH,0.196900224042804,0,0,0,0,0,0.0160152088822998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150160754202067,0,0.14873514957688,0.106700862246373,0,0,0.243871385570455,0,0,0,0,0,0.162821437067633,0.0609372385562159,0.0108851187951389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00707372326326593,0,0,0,0,0,0
