,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600660.SH,X601600.SH,X600547.SH,X600585.SH,X600886.SH,X000792.SZ,X600795.SH,X600362.SH,X000708.SZ,X600010.SH,X002460.SZ,X600111.SH,X600027.SH,X600160.SH,X000301.SZ,X002466.SZ,X600426.SH,X601699.SH,X600489.SH,X000983.SZ,X600803.SH,X601991.SH,X000786.SZ,X000877.SZ,X600985.SH,X000933.SZ,X600176.SH,X000807.SZ,X000630.SZ,X002128.SZ,X601168.SH,X000408.SZ,X600219.SH,X600612.SH,X600096.SH,X002271.SZ,X000883.SZ,X000932.SZ,X000027.SZ,X600348.SH,X600282.SH,X601666.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.161756282817107,0.196163580511293,0,0,0,0,0.0563050869363071,0,0.129106422358406,0,0,0,-0.107665010041949,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,-0.0717972279181752,0,0,0.0286100912448353,-0.0112959138296904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01050122302372,0,0.0287574603388746,0,0,0,0,0,0
X601088.SH,0.0922176610212491,0,0,0,0.130719752539355,-3.46944695195361e-18,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,-0.0237246714168363,0,0.104929592162989,0,0,0,0,0,0,0.0852000976075467,0,0,0,0,0,0,-0.0176741307825577,0,0,0,0,0,0,0,0,-0.0200331411252563,0,0,0,0,0,0.186117651607934,0,-0.00271286045925577,-0.034505512733976,0,0,0,0,0,0
X600028.SH,0.0261703596758534,0,0,0,0,0.147735162895784,0,0,0,0,0,0,0,0,0,0,0,0,-0.169361138490778,0,-4.33680868994202e-19,0.0267790497824275,0,0,0,0.00862770543001141,0.049938144614479,0,0,0.0197110421335225,-0.0752601753608277,0,0,0,0,0.130861989282412,0,0,0.0314611726634507,0,0,0,0,-0.0477203283939559,0,0,0,0,0,0,0,0.0139029132054342,0.0203400703016192,-0.0616347991895757,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0532161543735936,0.115123688452237,-0.0253616603601244,0.0209390470563117,0,0.0670292429670388,-0.0739366990548743,0,0,0.0154693547339552,0,-0.166733794168815,0,0,0,0,0.102354222547983,0,0,0,0.220109488096286,0,0,0,0,0,0,-0.177582632716337,0,0,0.192153266869556,0,0.122034824418942,0,0,0,0,0,-0.0435549041902401,0,0,0,0,0,0
X600188.SH,0.0594029679306095,0,0,0,0,0.222927147767439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00734253809952518,0,-0.0157107266186735,0,0.328896372624677,0,0,0,0,-0.0988611804800622,0,0,0.0191308559590656,0,0,0,0.0224327316514619,0,0,0,0,0,-0.00119435075097015,0,0,0,0.117819256955648,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.286638623672835,0,0,-8.67361737988404e-19,0,0,0.151510729836341,0,0,0,0.250980394769777,0,0,0.186893309545742,0.10527185572857,0,0,0,-0.124633724984913,0,0,0,-0.0508100759887384,0,0.0999975876137208,0,0,0,0,0,0,0.467935384976607,0,0.0583313344186897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136779294591592,-0.060829147285679,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0485302848306099,0,0,0,0,0,0.0748457793942148,0,0,0,0.0483326086292715,0,0.117123402678678,0,0.0175802050520394,0,0.0348451922319247,0,0,0,0,0,0,0,0.0918049077857564,0,0,0,0,0,0,0,0,0,0.114713054869832,0,0,-0.142096629593047,0,0,0,0.0408233102123228,0,0,0,0,-0.0513380192555104,0,0.0140573159990306,0,0,0,0,0,0
X600011.SH,0.0227560596719999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484632464465227,0,0.00668984337344717,0,-0.0736474110469788,0,0.0812475289781761,0,0,0,0,0,0,0,0,0.293584842119407,0,0,0,0,0,0,0,0,0,0,0,0.0161708487409541,0,0,0,0,0,0,0,0,0,0.000479388502866464,0,0.0180308468641604,0,0,0,0,0
X600660.SH,0.00222645277077625,0,-4.33680868994202e-19,0,0.0208672951561232,0,0,0,0,0,0.0176982672430806,0,0.0837065214701839,0,0,0,0,-0.0288278311402004,0,0,0,0.0360381264435281,0,0,0.221033477757211,0,0.0417617697574851,0,0,0,0,0,0,0,0,0,-0.0845067292147053,0.0112263620250804,0,0,0,-0.0421105488344516,0,-0.0404348062779642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661221097434234,0,-0.0259014820190524,0,0.265846705927846,0.00101747573031181,0,0,0,0,0,0,0.0168711519332263,0,0,0,0,0.0499886815860327,0,0.149794668258106,0,0,0.187212470733348,0.0335522771023678,0,0.113147227584908,0,0,0,0,0,0,0.299409990552735,0,0,0,0,0,0,0,0,0,0
