,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X000792.SZ,X002460.SZ,X600019.SH,X600111.SH,X000877.SZ,X601898.SH,X002271.SZ,X002466.SZ,X600547.SH,X000708.SZ,X600010.SH,X600011.SH,X601600.SH,X600660.SH,X000301.SZ,X600426.SH,X600886.SH,X600362.SH,X600176.SH,X000786.SZ,X000723.SZ,X600096.SH,X600803.SH,X000983.SZ,X601699.SH,X600795.SH,X000408.SZ,X600219.SH,X600801.SH,X600295.SH,X601991.SH,X000807.SZ,X000630.SZ,X000932.SZ,X600141.SH,X600489.SH,X000825.SZ,X002353.SZ,X600486.SH,X600985.SH,X000959.SZ,X002080.SZ,X600688.SH,X600352.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.142002715412796,0,0,0,0,0,0,0.0314183401847884,0,0,0.172664410618283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139235548291169,0.083325245136456,0,0,0,0,0.0795467991228424,0,0.0219237864712295,0,0,0,0,0,0.0952252464350673,0,0,0.0390163707152817,-0.052799916564398,0,0,0,0,0,0
X601088.SH,0.234633444464729,0,0,0,0,0.0172130547465055,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0277572902319552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436160343259857,0,-0.00602560060736799,0,0,0,-0.000276709047545261,0.0327659193768264,0,0,0,0.0784219616297651,0,0
X600028.SH,0.150710292913017,0,0,0,0,0.0329380566791873,0,0,0,-0.0210547316514528,0,0.0493738408175877,0,0,0,0,0,0,0,0,0,0.0090449561559599,0,0.0088485135553585,0,0,0,0,0,0,0,0,-0.0245363325976277,0,0,0,0,0,0,0,0,0,0,0,0.0108533555590964,0,0,0,0.289955839728832,0,0,-0.00878662298325119,0,0,0,0,-0.00721056353374217,0,0
X600309.SH,0,0.0795804815878368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126463402479679,0,0,0,0.0285207168799119,0.217160078390257,0.0425296799920881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139293751467971,0,0,0,0,0,0.0335463575125812,0.085354375988647,0,0.101703753262115,0,0,0,0,-0.0180611064779081,0.0262342845412858,0,0,0,-0.013130524974163,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106455438836976,0,0,0,0,0,0,0,0,0.444309842478569,0.00599807791329996,0,0,0,0,0,0,0.00964720087606358,0,0,0,0,0,0.0019427205619442,0,0,0,-0.000227094273690565,0,0,0,0,0,0
X600188.SH,0,0.457561205663598,0,0,0,0,0,0.122572847412253,0,0,0,-0.250341734200781,0,0,0,0,0,0.0204460351172573,0,0,0,0,0,0,0,0,0,-0.00220926419069855,0,0.366262315427061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210186771396665,0.0362050567481461,0,0,0,0,0,0,0.0382329027539253,0,0,0,-0.0104318761354889,0,0
X000792.SZ,0,0,0,0,0,0.0486960469898485,0,0,0,0.243481901811443,0,8.67361737988404e-19,0,0.208495293616464,0,0,0,0,0,-0.0802453388543359,0,0,0,0,0,0,0.335671226633919,0.214830463407055,0,0,0,0,0,0.0780486292629339,0,0,0,0,0,-0.00541122303828905,0.100532274374855,0,-0.289756470413438,0,0,0,0,0,0,0,0,0,-0.0124961269542287,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.0692144484552693,0,-0.19511237248689,0.332167842512158,0,0,0,0.505812743401257,0,0,0,0,0,0.0619652986122048,0,0,-0.152884529507992,0,0,0,0,-0.0461070493646073,0,0,0,0,0,0,0.0822483206979321,0,0,0,0.117580717166952,0,0,0,-0.142077099919015,0,0,0,0,0.17388128945369,0,0,0.0856764276969663,-0.00651397591228803,-0.0144438360787077,0.140569629042639,0,0,0,0,0
X600019.SH,0,0,0,0,0.0827347526688711,0,0,0,0,0,0,0.0416535830044812,0,0,0,0,0,0.169097643619702,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.14411810241698,0.0380580267263439,0,0,0,0.293986635880024,0,-0.0189579978217726,0.0185408306650754,0,0,0,0,0,0,0,0,0,-0.00858081519737438,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.334645197851096,0,0,0.0139128412287549,0,0,0,0,0,0.12999691534478,0,0.20114272559985,0,0.163832620280754,0,0,0,0,0,0.0911526908225838,0,0,0,0,0,0,0,0,0,0,0.0262730197514435,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590978130891182,0,0,0,0,0,0,0
