,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600019.SH,X600011.SH,X601898.SH,X600111.SH,X000301.SZ,X600660.SH,X000708.SZ,X002271.SZ,X600010.SH,X601600.SH,X600547.SH,X000877.SZ,X600426.SH,X600886.SH,X600795.SH,X600362.SH,X600176.SH,X000983.SZ,X600027.SH,X601699.SH,X600803.SH,X601991.SH,X000629.SZ,X600995.SH,X000786.SZ,X600160.SH,X000807.SZ,X000408.SZ,X600219.SH,X000723.SZ,X600096.SH,X000831.SZ,X600378.SH,X600489.SH,X002080.SZ,X000933.SZ,X600348.SH,X000932.SZ,X600157.SH,X000630.SZ,X600801.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.100191646911158,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,-0.042808636764135,0,0.0271984475266727,0.062721400560635,0,0.128901390364319,0,0.0633884892025558,0,0,0,0,0,0,0,0.0252084570104992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00779020317624592,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.235402738678613,0,0,0,0.0622801923970286,0,0.0217257826821492,0,0,-0.018438312075504,0,0,-0.058767041623376,0.131382081113357,0,0.0770111112064858,0,0,0,0,0,0,0.0536787667753602,0,0.0586566066012214,0.0717917566166675,0,0,0,0.00244204763636188,0,0,0,0,0,0,-0.0456051601365503,-0.2134750382163,0,0,0,0,0,0,0,0,0,-0.060592303910269,0.0469816209675356,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.0476970133810427,0,0.0978280917855181,0,0,0,0,0.0414649197302034,0,0,0,0,0,0.0696005496485119,0,0,0.00368137047485555,0,0,0,0,0.0340947038719895,0,0,0.00243896651354975,0,0,0,0.112333962805179,0,0,0,0,0,0,0,0.0179892559269592,0,0,0,0,0,0.0155304678920026,0,-0.0300590318810598,0,0,0,0,0
X600309.SH,0.150712104618751,0,0,0,0,0,0,0,0,0,-0.211823142893547,0.000362919121979831,0.00993463131233693,0.184320222861811,0.159028498626259,0,0,-8.67361737988404e-19,0,0.0130567657240949,0.188852105484471,0,0,0,0,0,0,0,0,0,0,0,0,0.101331443768277,0,-0.124328931507332,0,0,0,0,0,0,0,-0.044013270755905,0,0,0.383823129924154,0,0,0,0.0257734817596829,0.0186699985880338,-0.0109454935705014,0,0,0,0,0,0
X600188.SH,0,0.518325786303258,0,0,0,0,0,0,0,0,0,0,0,0.0276542446270857,-0.342985516121973,0,0,0,0,0,0,0,0,0.131980813348532,0,0,0.0496025220863384,0,0.0751833837155524,0.169688741736563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324474016406771,0.0719820976363725,0,0,0,0,0,-0.0274034852703453,0.0204995662298595,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.00990059126826312,0,0,0,0,0,0,0,0,0.0805493103748579,0,0,0,0,0,0,0.398737161036886,0,0,0,0,0,0.0451966722853134,-0.0125192516903512,0,0,6.93889390390723e-18,0,0,0.110879452816483,-0.0800134147095741,0,0,0,0,-0.0162412058654932,0,0,0,0,0.130122961533569,0,0,0,0,0.075302121269494,0,0,0.00337440235133725,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0250486183536992,0,0,0.611806263615364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245241356660283,-0.0328111011628867,0,0,0,0,0,-0.0344097288862075,-0.0422032178495613,0,0.181748860437138,0,0,0,0,0,0.00815296946550294,0.00731577967966148,0,0,0,0,0,0,0,0.00805078631318676,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.0600523835141313,0,0.589843154378162,0,0,0,0,0,0.0993913645286925,0,0,0,0.00495414468142064,0,0,0,0,0,0,0,0,0,0.0478438045443179,-0.00692240358836362,0,0,0,0,0,0,0.0174005164163121,0.197361058206698,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.112618822234221,-0.0204752673495297,0.0108321692615245,0,-0.100288563179693,0,0,0,0,0
X000792.SZ,0,0,0,0,-0.0180229862478173,0,0.301340163551499,0.200648057609433,0,0,0,0,0.0250854624237837,0,0,0,0,-0.0208129177789789,0,-0.011486475197511,0.0774986064452147,0,0,0,0,0.132642151079751,0,0,0,0,0,0.0329565339833364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0634295774724808,-0.00393640644413709,-0.0101052859147704,0,0,0,0,0,0
X600019.SH,0,0,0.30776142524543,0,0,0.0414366642594032,0,0,0,0,0,0.0222274166607024,0,0,0,0,0.150364087485636,0.11770792038761,0.16646941589485,0,0,0,0,0,0,0.107206339842982,0,0.0419262339001384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0278393520169693,0,0.0662045381604644,0,0.0295418575326599,0.0162019517878032,-0.0222999039179178,0,0,0,0,0,0
