,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X600188.SH,X600362.SH,X601992.SH,X600111.SH,X600886.SH,X600157.SH,X002466.SZ,X600299.SH,X600547.SH,X600660.SH,X601158.SH,X000792.SZ,X600352.SH,X600309.SH,X000709.SZ,X600583.SH,X600489.SH,X000539.SZ,X000883.SZ,X000898.SZ,X000027.SZ,X000629.SZ,X300072.SZ,X000630.SZ,X002075.SZ,X000959.SZ,X000060.SZ,X600021.SH,X000983.SZ,X600176.SH,X002470.SZ,X600578.SH,X600098.SH,X600022.SH,X000012.SZ,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0262037896944204,0.207686708037761,0,0,0,0,0,0,0,0,0,0,0,0.029737320665199,0.00260607988898187,0,0,0,0,0,0.0798262630868856,0,0.0859345930861453,0,0,0,0.0520353955999512,0,0,0,0,0,0,0,0,0,0,0,0.0125849917441415,0.00274101628903321,0,0,0.0111697360026735,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.117297593733093,0.236693119283613,0,0,0,0,0,0.0171010104319999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0460687207431862,0,0,0,0,0,0,0,0,0,0,0,0,0.00803831535598381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0708225163863337,0,0,0.422023402884699,0,0,0,0,0.077745308260671,0.0243416682984282,0.00962762072845515,0.0820093915194553,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0,0,0,5.42101086242752e-20,0,0.0533210260863168,0,0,-0.0111675117396175,0,0,0,0,0,0,0,0,0.109364690191364,0,0.0152356761483135,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0.202551670811194,0,0,0.100102334775022,0,0.0463995485895651,0,0,0,0,0,0,0,0,0.0984426502774726,0,0,0,0,0,0,0,0,0.0894933251337052,0,0,0,0.0348204578811649,0,0,0,0,0,0,0.00260828076427576,0,0,0,0,0.0280682375244455,0,0.0494173023450908,0,0,0,0,0,0,0,-0.000883359229071795,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622572284643316,0,0.171652735250968,0,0.106034786102443,0,0,0,0,0,0,0,0,0.207829806261101,0,0,0,0,0.0284471835807869,0,0.0384562381569099,0,0.204038024244526,0,0.0302118729238335,0.0198097317240347,0.0247207245278487,0.0246872748033365,6.93889390390723e-18,0,0,0,0,0,0.0651961351844465,0,0.0394903769793043,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0269478313743241,0,0,0,0,0,0,0.0134928737254622,0,0,0.0787949617707801,0,0,0,0,0,0,0,0,0,0.148645196615006,0.0105902939591067,0,0,0,0,0,0,0,0.19977772134513,0,0,0,0.0850147029217557,0,0,0,0,0,0,0,0.0715902592527062,0,0,0,-0.0252495807281089,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0769028711791997,0,0,0.0815681068565941,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627643255565734,0,0,0,0,0,0.0335859578435136,4.33680868994202e-19,0,0.0782995280537212,0,0,0,0,0,0,0.0135840504569774,0,0.0519065419187104,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0.161066521389413,0,0,0,0,0,0.0954435552253075,0,0,0,0,0,0,0,0,0,0.0850939699657786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244354675409328,0,0.00710348348143445,0,0,0,0,0,0.097922576238693,0,0,0.00210059727538182,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101829480791788,0,0,0,0,0,0.176274625504939,0,0.0826568913158553,0,0,0,0.0977744738426943,0.0204539286143661,0,0,0.00456015270904446,0,0,0,0.223038223331455,0,0.0364534989802605,0,0,0,0,0,0,0,0,0,0,0.10243423697355,0,0.0936538392632091,0.0283506157168447,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0552370271444538,0.185648168399813,0,0,0,0,0,0,0.0213010392521848,-0.0513094999350124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0719506122514514,0.109154816272596,0,0,0,0,0,0.471755412088747,0,0.0278501667472339,0,-0.0174994830387477,0,0.239397042583862,0,0,0,0,0
