,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X002460.SZ,X600660.SH,X002271.SZ,X600011.SH,X600362.SH,X601600.SH,X000786.SZ,X600886.SH,X600176.SH,X601898.SH,X600426.SH,X600010.SH,X600188.SH,X600801.SH,X000301.SZ,X600111.SH,X600352.SH,X600489.SH,X601991.SH,X600795.SH,X002466.SZ,X600688.SH,X600486.SH,X600803.SH,X300037.SZ,X002353.SZ,X600027.SH,X600299.SH,X601992.SH,X600219.SH,X601168.SH,X002080.SZ,X000932.SZ,X000898.SZ,X600529.SH,X000630.SZ,X000807.SZ,X000878.SZ,X002409.SZ,X000723.SZ,X000027.SZ,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0266831582739461,0,0,0,0,0,0,0.0255967229664041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436213621283407,0,0,0,0,0.0465520338912006,0,0,0,0,0,0,0,-0.0341158220142145,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0174335705065338,0,0,0,0,0.00554472186709718,-0.0347505479770006,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.077836442773097,0,0,0,0,0,0,0,0.00430197780814817,0,0,0,0,0,0,0,0.0697149754024213,0,0,-0.0542745271141343,0,0,0.0424931904836799,0.0416891921649917,0,0,0,0,8.62059684701569e-05,0,0,0,0,-0.0169501266260322,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.0686245658501268,0,0,0,0,0.0955459195260476,0.0638594715037802,0,0,0,0.0114578160015753,0,0.223921863007117,0,0,0,0,0,0,0,0,0,0,0,-0.0317167204018009,0,0,0,0,0.0873836851343622,0,-0.0121521776702299,0,0,-0.0779369863257526,0,0.0347287506839697,0.015922322951057,0,0,0,0,0,0.0147825580611041,0,0,0,0,-0.00812131041079027,0,0
X600585.SH,0,0,0,0,0,0,0.111994139753733,0.0778446156522715,0.0705945833787781,-0.0299166526292931,0,-0.100564323805336,0,0,0,0,0,0,0.0465890185075146,0,0.104246298085213,0.0954212160140741,0.0666010836926196,0,0,0,0,0,0,0,0,0,0,-0.0192909841021115,0,-0.0319322916645108,0,0,0.0184788005177997,0,0,0,0,0,-0.0458890505627925,0,0,0,0,0.0216189551148039,0,0.00666623121304223,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.364748203022633,0.118373017133605,0,0,0,0,0,0,0,0,0,0,0.312346973966161,0,0,0,0,0.0306531806449517,0,0,0,0,0,0,0,0,0.0643267908519182,0.0540320684866571,0,0,0,0,0,0,0,0,-0.0637060103346352,0,0.0112177125221079,0,0,0,0,0,0,0.00578511390534285,0.072928095527475,0,0,0,0.04250560123847,0,0
X600019.SH,0,0,0,0,0,0,0.092007200251711,0,0,-0.0501765913885918,0,0,0.046018089545332,0,0,0,0,0,-0.0765374316349915,0,0,0,0,0.113906499342269,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.140879424165655,0,0,0,0.036095946453098,0,0,0,0,0.019165415313371,0.0847943346154595,0,0,0,0,0,0.0936012974716506,0.0229494608121983,0.0431518601732762,0,0,0,-0.00867684958147688,0,0
X600547.SH,0,0,0,0,0,0,0,0.0300523260346946,0,-0.0589071586089544,0,0.0317755754771837,0,0,0,0,-0.0194631723078305,0,0,0,0,0.0579122140400985,-0.06965003618023,0,0,0.569879342995992,0,0,0,0,0,0,0.104547566306916,-0.000914197799620678,0,0,0,0.0234721406517708,0,0,0,0,0,0,0,0,0,0,0,0.0930502435369992,0,0,0,0,0,0,0.0135110270174574,0,0
X000708.SZ,0,0,0,0,0.0249751231429099,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0179587717695548,0,0,0,-0.095240706720936,0,0,0.0245051078036825,0,0,0,0,0.0858388922765784,0,0,0.0269899049887579,0,0,0,0.0980117783006251,0,0.340854018472569,0,0,0.18001302787675,0,0,0,-0.0250077597231465,0,0,0,0,0,0,-0.0122888365954119,0,0,0,0,0.0047093190637447,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.0258573142743311,0.304242340898927,0,0,0,-0.00105337889265251,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465767826245961,0,0,0,0.191454519142846,0,0,0,0,0,0.161585755479552,0,0,0,0,0,-0.205651977997866,0,-0.078467344191572,0,0,0.187410408813754,0,-0.00734762173866667,0,0,0,0,-0.0199785130134732,0,0
X600660.SH,0,0,0,0,0,-0.247653970872665,0,0,0,0,0,0,0.0232776380323683,0,0,0,0,0,0,-0.038825319523425,0,0,0,0,0.108694038787015,0,0,0,0,0,0,0.112740280056116,0.208353894698079,0,0,0,0,0,0,0.0187795907899928,0,0,-0.0292219163945726,0,0,0,-0.00592743542447734,0,0,0,0,0,0.0278009832234449,0,0,0,0.0209239708774868,0,0
