,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002466.SZ,X002460.SZ,X600585.SH,X600188.SH,X000792.SZ,X600019.SH,X601898.SH,X600111.SH,X600011.SH,X002271.SZ,X000301.SZ,X600660.SH,X000708.SZ,X000877.SZ,X600010.SH,X600886.SH,X600547.SH,X601600.SH,X600795.SH,X600176.SH,X600362.SH,X000408.SZ,X600426.SH,X300073.SZ,X600096.SH,X000786.SZ,X601991.SH,X000629.SZ,X000983.SZ,X000723.SZ,X600803.SH,X600027.SH,X002080.SZ,X600141.SH,X601699.SH,X600219.SH,X600801.SH,X600157.SH,X300037.SZ,X600160.SH,X600486.SH,X600399.SH,X002407.SZ,X600378.SH,X002192.SZ,X002497.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0.0318770759001943,0,0,0,0,0,0,0.0710001387845367,0,0,0,0,0,0,0.014692218170975,0,0,0,0,0,0,0.127709820583967,-0.146500947446745,0,0,0.217402025404142,0,0.131616630278234,0,0,0,0,0,0,0,0,0,0.00104029428150201,0,0,0,0,0.0223333136206522,0,0.0107313887747596,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0463899137564661,0,0,0.21766187391921,0.145417793831253,0,0,0,0,0,-0.121082230228337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125058872109498,0,0,0,0,0,0,0.212177569726855,0,0,0,0,0,0,0,0.0974215945919382,0,0,0.090517683041697,0,0,0,0,0,0,0.0067405338713838,0,0
X600028.SH,0,0.0709378551745973,0,0.0137299225882075,0,0,0,0,0,0,0,0,0.00324890033241758,0,0,0,0,0,0,0,0,0.11807912746697,0.0226965710718518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00809930244054567,0,0,0.099317633680996,0,0,0,0.0524992049373972,0,0,0,0,0,-0.00289807883035291,-0.0171507753250068,0,0,0,0,0,0
X600309.SH,0,0.0332503165849581,0,0,0,0,0,0,0,0,0.184938083012941,0,0,0,-0.0207007340795588,0.0110677281377355,0,0.19903524775384,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.021472959883953,0,0,0,0,0,0,0.03482001318205,-0.00728558695989095,0,0.0816912334628147,0,0,0,0,0,0,0,-0.0338084849241583,0,0
X002466.SZ,0,0,0,0,0,0.435091545420452,0,0,0.0814395837588771,0,0,0.0898361661052531,0,-0.0709697844803073,0,0,0,0,0.0340222363514871,0,0,0,0,0,0,0.0115561309152755,0,0,0.0511382376551449,0,0,-0.153268532100302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124187111360316,0.296231597847767,0,8.67361737988404e-19,0.0572542275849119,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0303184865829099,0,0,0,0.146303718777717,0,0,0,0,0,0,0,0,0,0.133934343289942,0,0,0,0,0,0,0,0,0.0533400081716344,0,0,0,0,0,0.0826364442496345,0,0,0,0.0236476041209059,0.0109789244853901,0,0,0,0.0320839105899143,0,0,0,0.0204651113773606,0,0,0.285380211958088,0,1.73472347597681e-18,0,0,0,0,0.0149162876240489,0,0
X600585.SH,0,0,0,0.0300408977413298,0,0,0,0,-0.0119199806434859,0,0,0,0,0.177777760457511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00388959893800656,0,0.0441000905723856,0,0,0,0,0,0,0.417768254860321,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,-0.0364206094103592,0,0,0,0,0,0
X600188.SH,0,0.241606497263329,0,0,0,0,0,0,-1.35525271560688e-20,0,0.477281721063984,0,-0.0728087068384759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0947123448944418,0,0,0,0,0,0.0361233800188293,0.184901049945519,0,0.0632386437152131,0,0,0,0,-0.0171078068464649,0,0,0,0,0,0.0789199667849042,-0.140315783450423,0,0,0,0.0110649569488065,0,0
X000792.SZ,0,0,0,0,0.173714597547509,0,0,0.132235269820059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00973678528147847,0,0,0,0.398662511708854,0,0,0.0168151488922771,0.151087681601752,0,0,-0.0734520435065207,0,0,0,0,0,0,0,0.00509568868549829,0,0,0,0.0287651971289118,0,0,0,0,0,0,-0.00595250313307375,0,0,0,0,-0.0139787649713484,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0400740969520406,0,0,0,0,0,0.0636022500109708,0,0,0.141101443940969,0,0,0,0,0,-0.00866800507525371,0,0.00860131212751949,0,0,0,0.0539030117194394,0,0.0511513671462238,0,0,0.0900337800627529,0,0,0.0156696672458933,0,0,0,0,0,0,0,0,0,0.0208140263045984,-0.0223368699025093,0,0,0,0,0,0
X601898.SH,0,0.0762846493124581,0,0.152033374947468,0,0,0,0.162094021562343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223136673839152,0,0,0,0.269218050418726,0,0.00958186115722406,0,-0.0351088550096745,0,0,0,0,0,0,0,0,-0.0271917363183019,0,0,0.0254970250116743,0,0,0,-0.049167120643148,0,0,0,0.0201796497557991,0,0
