,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002271.SZ,X002460.SZ,X000708.SZ,X600660.SH,X601898.SH,X600547.SH,X600362.SH,X000786.SZ,X600111.SH,X000301.SZ,X600010.SH,X601600.SH,X600886.SH,X600188.SH,X600176.SH,X600011.SH,X600426.SH,X002466.SZ,X000932.SZ,X601991.SH,X600801.SH,X600803.SH,X000027.SZ,X600352.SH,X000898.SZ,X600219.SH,X600795.SH,X600489.SH,X600688.SH,X600157.SH,X600486.SH,X002080.SZ,X000723.SZ,X000807.SZ,X600516.SH,X600027.SH,X000825.SZ,X000883.SZ,X300037.SZ,X601168.SH,X600299.SH,X002353.SZ,X600315.SH,X601992.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.310881317666503,0,0,0,0.0151374535404044,-0.00353481872594656,0,0,0,0,0,0.0164277079856481,0,0,0.0122295830263529,0.0227448532628839,0.0338863428100503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0062728908831507,0,0,0,0,0.0376182488429435,0,0,0,-0.00142294393235291,0,0,0,0,-0.00657922176509571,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.10227703370705,0,0,0,0,0,0.00330417008948879,0,0,0.0745093915764889,0,0,0,0,0.0888383256448765,0.0222409781421772,0,-0.0945085669697734,0,0,0,0,0.136396279204754,0.0141461043692673,0,0,0,0,0,0,0,0.0662974851734392,0,0,0,0.0108005068402933,0,0,0,0,0,0,0,0,-0.0204059679165044,0,0,0,0.00605492833627784,0,0
X601088.SH,0,0,0,0,0,0,0,0.0987373697964201,0,0,0,0,0,0,0,0,0,0,0,0.0710793989374673,0,0,0,0,0,0,0,-0.0281723870215677,0.0190020432194826,0,0,0,0,0,0,0,0,0,0,0.202797848832039,0,0,0,0.0231264006117508,0,0,0,0,0,0,0,0.021167280036868,0,0,0,0,0.00526915706424531,0,0
X600309.SH,0,0,0,0,0,0,0,0.225131939002373,0,0,0,0,0,0.2521182096749,0,0.0185369056039919,-0.0593381536626152,0,0,0,0.0372740669702862,-0.0363297179290587,0.038488838198012,0,0,0,0,0,0,0,0,0.172434415465589,0,0,0,0,0.145990806453207,0,0,0,0,0,0,0,0,0.0216727587152762,0,0,0.0690245798768864,0,0,0,-0.031166483969618,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0179641780470445,0.0135689932751632,0,0,0,0,0,0,0,-0.0257984386064825,0,0,0.108133813067911,0,0,0.0196601891306104,0,0.0507828586378349,0,0.150207448730546,0,0,0,0,0,0,-0.00778545581127837,0,0,0,2.16840434497101e-19,0,0,0.0592331830536796,0,0,0,0,0,0,0,0.0531623957106918,0,-0.0344854572725837,-0.0256244056737576,0,0,0,0,-0.0251816057920792,0,0
X600019.SH,0,0,0,0,0,0,0,-0.028674672030644,0,0,0,0,0,0,0.288362114572062,0,0,0,0,0.0580451674221116,0,0,0,0,0.20777840520253,-1.73472347597681e-18,0.138330554214335,0.0406101235170146,3.46944695195361e-18,0,0,0,0,0,0,0,-0.0992457046464024,0,0,0,0,0,0.167247415513797,-0.0389193436761494,0,0,0,0,0.132358835295596,0,0,0,0.0110011854171003,0,0,0,-0.0355266443070798,0,0
X002271.SZ,0,0,0,0.0959148280413084,0,-0.34919525014032,0,0,0,0.136378581218389,0,0,0,0,0,0,0,0,0,0,0.027857110202443,0,0,0,0,0,0,0,0,0.0505213323493548,0,0,0,-0.0950035191766784,0,0,0.0191692120657238,0,0.0479456694278343,0,0.0892261550017845,0,0,0,0.0449401909911538,0,0,0,0,0,0,-0.0383305587033477,0,0,0,0,-0.040930347445382,0,0
X002460.SZ,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.192151762948389,0,0,0.0407010070348272,0,0.144102929395973,0.00588221388896483,0.000478779719216868,0,0,0,0,0,0,0.146372385034228,0.0721401287856009,0,0,0,0,0.132269845222318,0,0.184618285209884,0,0,0,0,0.439359053720053,0,0.059471224563209,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0099881994052577,0,0,0,-0.0168591737949688,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,-0.123103470367607,0,0,-0.0865847302758279,0.26558170208851,-0.175035268444608,0,0,0,0,0,0,0,0,0.0415257506874153,0,0,0,0,0,0.141165276266443,-0.345435634598415,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,-0.086137502244129,0,0,0.338827118600008,0,0,0,0,0.247269168478162,-0.260477096255148,0,0,0,-0.0518678623889674,0,0
X600660.SH,0,0,0,0,0,0,0.00950347735474833,0.101411955619496,0,0,0,0,0,0,-0.0361913874978399,0,0,0,0,0,0.117044127848854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.349107254063119,0.0340331210124083,-0.116144838157113,0,0,0,0,0,0.025512800102847,0,0,0,0,0,0,0,-0.0230339279431023,0,0,0,-0.0532999466746958,0,0
