,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X600585.SH,X002460.SZ,X601898.SH,X600011.SH,X000792.SZ,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X600795.SH,X600547.SH,X000877.SZ,X601600.SH,X601991.SH,X600027.SH,X002271.SZ,X600426.SH,X600803.SH,X000983.SZ,X600362.SH,X600176.SH,X601699.SH,X600348.SH,X000408.SZ,X000629.SZ,X600096.SH,X000723.SZ,X600985.SH,X000786.SZ,X600219.SH,X600160.SH,X600995.SH,X600378.SH,X600157.SH,X600141.SH,X600489.SH,X002080.SZ,X300073.SZ,X600688.SH,X000933.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.737248160135316,0,0,0,0,0,0.135589947041399,0,0,0,-0.0150404673296803,0,0,0,0,0,0,0,0,0.0816823159951073,0,0,0,0,0,0.04561223894743,0,0,0.0830002218186314,0,0,0,0,0.000557323953536487,0,0,0.0282380708779008,0,-0.0438288610092955,0,0,0,0,0,0,0,0.00353484452147598,0,0,0,0.0319382928348064,0,0,0,0,0,0
X601088.SH,0,0,0,0.0558785362204929,0.49124529444061,0.0934160200931747,0,0,0,0,0,0,0,-0.116178389225722,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240092808765471,0,0,0,0,0,-0.067131799684429,0,0,0,0,0,0.0838712356131731,-0.0791743113348757,0,0,0,0,0,0,0,0,-0.0685967285834104,0,0,-0.0197228188153799,0,0,0,-0.075921998659563,0,0
X600028.SH,0.477259123678547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219617401678283,0,0,0,0,0.0276208058540607,0.0223586398718768,0,0,0,0,0.0202650010271333,0,0,0,0,0,0,0,0,0,0.0817018898073673,0,0.0906022117607657,-0.00330295678812246,0,0,0,0,0,0,0.00624723270790103,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0819529455123564,0.0464023050340563,0,0,0,0,0.0807357860763652,0,-0.0539868186581602,0,-0.0154070673815129,0,0,0.114484005723691,0.104520990612554,0,0.0757213116473009,0.0145677714664609,0,0,0,0,0,0,0,0,0,0.0414459727365477,0,0.0057236754969323,0,0,0,0,0,0
X600188.SH,0,0.576167618230449,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430669438520213,0,0,0,0,-0.103704395654934,0,0,0.0353280185302053,-0.0865768348020075,0,0,0.198860232594968,0,-0.0680769713823238,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051713356504593,0.105452481935922,0,-0.0168085147573504,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.819634938455755,0,0,0,0,0.0730280892572035,0,0,0,0,0,0,0,0,0,0,-0.0700070143409907,0,0,0.126151681368606,0,0,0,0,0,0.216770740815536,3.46944695195361e-18,0,0,0.0308580370746621,0,0,0,0,0,0,0.122324808762539,0.0298399314120759,0.0527268962896809,-0.00891022620171648,0,-0.119218792863171,0,0,0.0585779575884659,-0.00609215397254032,0,0,0,-0.134899243146568,0,0
X600585.SH,0,0,0,0,0,-0.0463999235524591,0,0,0,0.0185615693449529,0,0,-0.0279159165505742,0,0,0.0186879159998927,0,0,0.136692916344163,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0836378162975676,0.0121447009478411,0,0,0.214866916108815,0,0,0,0,0,0,0,0,0,0,0.0684367249128631,0,0,0.0363708294007047,0.00939844499522957,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.407135552467387,0,0,0,0,0,0,0,0,0,0,0,0,0.0719751995511661,0,0,0,0,0,0,0,-0.227701821974473,0,0,0,0.017894723340002,0.0311817614577742,0,0.02616976940601,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.0682949187856155,0,0.170481516232557,0.105734625580975,0,0.118968700902056,-0.073556427498045,0,0,0,0,0,0
X601898.SH,0.0863173649146903,0,0,0,0,0.0922888059564186,0,0,0,0,0,0,0.0410153945886187,0,0,0,0,0,0,0,0,0,0,0,-0.0344026363530011,0,0.221934490766823,0.421757162124025,0,0,0,0,0,0,0.0156851612774185,0,0.072531001820981,0,0,0,0,0.0303459016606966,0.112051424310251,0,0,-0.0986475378170877,0,0,0.0970452302324473,0,0,0,-0.0196612403263343,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183226668022343,0,0,0,0,0.546489399248643,0,0,0.0531803230247026,0,0,0,0,0,0,0.0436928028702179,0,0,0,0,0,0,-0.19481658084649,0,0.12083591522805,0,0,0,-0.355709215528557,0,0,0,0,0,-0.0321925751636819,0,0,0,0,0,0
