,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X002466.SZ,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600111.SH,X600660.SH,X600010.SH,X000301.SZ,X000708.SZ,X600547.SH,X002271.SZ,X601600.SH,X000877.SZ,X600886.SH,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X601699.SH,X000983.SZ,X600803.SH,X601991.SH,X600027.SH,X600995.SH,X000786.SZ,X000629.SZ,X600096.SH,X600160.SH,X000408.SZ,X000723.SZ,X000807.SZ,X600219.SH,X002080.SZ,X600489.SH,X000933.SZ,X600348.SH,X600378.SH,X600688.SH,X600141.SH,X600157.SH,X000630.SZ,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.559132119522093,0,0,0,0,0,0,0,0.230954565541637,0,0,0,0,-0.0139288639930006,0,0,0,0.0277511422655573,0,0,0,0,0,0,0,0.113810918782661,0,0,-0.0246508278157748,0,0,0,0,0,0,0,0,0,0,0.01870434200803,0,0,0,0,2.71050543121376e-20,0,0.109968017776582,0,0,-0.0138520464719425,-0.0271935226124712,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.366745594939014,0,0.00639529131422994,0,0,0,0,0,-0.0425301762597814,0,0,-0.0341056618150313,0,0,0.00800816460108078,0,0,0,0,0,0,0.0804935982235494,0.0200179139634077,0,0.14377235391703,0,-0.0146065084338939,0,0,0,0,0.0479024675797952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105192712430714,0,-0.000194017385825737,0,0,0,0,0,0,0
X600028.SH,0.659546123221889,0,0,0,0,0,-0.0360835239379813,0,0,0,0,0,0.0511303403840503,0,0.0277550162893819,0.0144764510424459,0,0,0.0306011053330211,0,0,0,0,0,0,0,0,0,0,0.01137762660228,0,-0.0477044486097741,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0715576218758801,0,0,0,0,0,0.00779517313249468,-0.0102877009123302,0.0317020785251515,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176457247656614,0,0.0350728961763447,0,0,0,0,0,0.1611581781921,0,0,3.46944695195361e-18,0,0.0237491971328801,-0.0499301341438806,0.252377831746312,0,0.323700387764617,-0.13568587472592,0,0,0,0,0.0766086764805451,0,0,-3.46944695195361e-18,0,-0.233145007392242,0,0,0,0,0,0,0,-0.00369357629798888,-0.013725947345476,0,0,0,0,0,0
X600188.SH,0,0.747174496867522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121541338225026,0,0.0265341469583468,-0.0915563253450501,0,0,0,0,0,0,0,0.035051195164216,0.0805712388958789,0.034296665148783,0,0,0,0,0.0391329057198228,0,0,-0.0780756321458774,0,0,0,0,0,0.269778019613755,0.0128764405203606,0,0,-0.0941260698568691,0,0,-0.0437706072475484,0,0.0045580668317504,0.0571404909403162,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130595034422221,0,0.0526279388408559,0,0.0590275210702094,0,0.131536252895567,0,0,0,-0.117325716840384,0,0,0,0,0,0.413083904744079,0.0318586547592275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101408055716379,0,0.0026965599686017,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.423700654894607,0.148947675131808,0,0,0,0,0,0,0,0,0,-0.00084338958945265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0654221435671533,0,0,0,0,0.0967876057739954,0,0,0,0,0,0,0,0,0,0,0.00367009099230957,0.0329249531945031,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.444559632156548,0,0,0,0,0,0,0,-0.0533954116116336,0,0,0,0.0625857004413414,0,0,0,0,0,0,0,0.0145030485133925,0,0,0,0,0,0,0.128357418369218,0,-0.0371642512815568,0,0,0,0,0,0,0,0.0915296630781375,0,-0.0262162129656322,0.237342690189228,0,0,0.0775853802690142,0,-0.0232948508166892,0.00165961682377794,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.293457190573862,0.00237592166221345,0,0,0,0,0.252690715630026,0,0,0,0,0,0,0.0425231807962348,0.0217194954245139,0,0,0,0,0,0,0,0,0,0,0,0.0350533302148398,0,0,0,0.168467665306468,0,0.0431163092913993,0,0,0,0,0,0,0,0.0302385680745212,0,0,0,0.104302515611529,-0.0104084584050501,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0648635269819264,0,0,0,0.0598442891462007,0,0,0,0,0,0,0,0.3649142055817,0.024393346629223,0,-0.0582222249973295,0.180626624937151,0,0,0,0,0.0336840264478014,0,0.0275555482534156,-0.061403387566913,0.0616772205261446,-0.0349432310537972,0,-0.0261497074715318,0,0,0,0,0,-0.101306077977749,0,0,0,0,0,0.155366754231829,0.117275209650679,0,0,-0.00508807306577516,0,0,0,0,0,0,0
