,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600886.SH,X601600.SH,X600660.SH,X600585.SH,X600547.SH,X600795.SH,X000792.SZ,X600362.SH,X600027.SH,X600489.SH,X000708.SZ,X600160.SH,X600010.SH,X600803.SH,X600111.SH,X000983.SZ,X600426.SH,X002460.SZ,X601991.SH,X601699.SH,X000301.SZ,X000786.SZ,X002128.SZ,X002466.SZ,X000877.SZ,X000807.SZ,X000933.SZ,X000630.SZ,X600985.SH,X600219.SH,X600176.SH,X601168.SH,X000408.SZ,X000883.SZ,X600348.SH,X600096.SH,X002353.SZ,X000027.SZ,X002271.SZ,X600612.SH,X000932.SZ,X600995.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.108046103194211,0.555188658276458,0,0,0,0.0842481910908197,0,0,0.130595958396607,0,0,0,0,-0.107390272610577,0.025856125379401,0,0,0,0,0,0,0,0,-0.083069700187576,0,0,0,0,0,0.0560510452718323,0,0,0,0.0165479923413067,0,0,0,-0.0866843209605591,0.0271829676292177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0060304022769132,0,0
X601088.SH,0.237335845064058,0,0,0,0,0,0,0,0,0.038441852426393,0,-2.16840434497101e-19,-0.016010498364228,0,0.0510479483075512,0,0,0,0,0,0,0,0,0.341620378606991,0,0,0,0.0316397791229683,0,0,0,0,0,-0.000449113446314832,0,0,0,0,0,-0.0594411465034397,0,0,0,0,0.0707726500976404,0,-0.0257002348718212,0,0,0,0,0.0120956825143043,0,0,0,0,0.0714795950352309,0,0
X600028.SH,0.371610588474905,0.153774137614305,0,0,0,0,0,0.0453365861156392,0,0.0653820527406416,0.0624163514896446,0,0,0,0,0,0,0,0.00227706765980437,0,0,0,0,0,0,-0.174127420342115,0,0,0,0,0,0,0,0,0.0203819634886661,0,0,0.0513046351282659,0,0,0.00184119214776614,0,0,0.00196991078390669,0,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0
X600309.SH,-0.165976291319841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087471069505378,0,0,0,0,0,0.168649338022084,0,0,0.0829824205733217,0,0,0,0,0.09377298090388,0.0183285281378432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103809696444818,0,0,0,0,-0.12519159399115,0.0705181362175746,0.115263084420778,0,0,0,0,0
X600188.SH,0.103636377356711,0,0,0,0,0.168540166936693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0907800961743415,0,0,0,0.157651929254606,0,-0.0926329563339826,0,0,0,0,0,0,0.162656245256664,0,0,-0.046726271561767,0,-0.0686666003711531,0.382617675213192,0,0,0,-0.143643055443587,0,0,0,0,-0.106089548504465,-0.0170783953189259,0,0,0,0,0,0
X601898.SH,0.0285192897627389,0,0,0,0.0689687351904709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0630245291666868,0.0898836491901271,0,0,0,0,0,-0.0112731603673661,0,0.195931724806474,0,0,0.0442961790343469,0,0,0,0,0,0.325685617011741,0,0,0,0,0,0.0059171452179371,8.67361737988404e-19,0,0,0,0.0311783750023739,0,0,0,0,-0.00150875396425551,0,0,0,-0.0117295925643572,0,0
X600011.SH,0.125542311419922,0,0,0,0,0,0,0,0,0,0,0,0,0.255279102595607,0,0,0.166684410859974,-0.0438713909150806,0,0,0,0,0,0,0,0,0.364498580842416,-0.0813562719065021,0,-0.0632084087682957,0.026888158748332,0,0,0,0,0,0,0,0,0,0,0.0282508126923552,0,0,0,0,0,0.0159142899337237,0,0,0,0,0.0702705046601277,0,0,0,-0.0750810736940773,0,0
X600019.SH,0,0,0.0864613088392243,0,0,0.0665165506917037,0,0,0,0,0.0518011818146091,0,0,0,0,0,0.0950604811282132,0,0.160470472149826,0,-0.161040046607631,0,0,0,0,0,0,0,0.0644595996253436,0.02285631904793,0,0,0,0,0,0,0,0,0.0228140088903243,0.00760638459507549,0,0,0,0,0,0,0,0.123445460135134,0.39175609506526,0,0,0,0,0,0,0,0.00450582379367122,0,0
X600886.SH,0,0,0,0,0,0.0458428206050562,0,0,0,0,0,0,0,0.143893048127605,0,-0.0348089058217057,0.15910484188949,0,0,-0.0686695821807253,0,0,0,0,0,0,0,0,0,-0.12428449026236,0,0,0.0363196250740303,0,-0.0696642726457042,0,0,0,0,0,0,0,0.0538265276775712,0,0,0,0,0,0,0,-0.195151999971683,0,0,0,0,0,0.0805274904871018,0,0
X601600.SH,0,0,0,0,0,0,0.0710910954975475,0,0,0,0,0,0,0,0,0,0,0,0,0.11638069480464,0,0.0458589427059615,0,0,0,-0.0489383582468082,0,0,0,0,0,0,0,0.170997557807697,0.205799177440296,0,0.0657380880650343,0,0,0.238225912677076,0,0,0,0,0,0,0,0,0.154255566680052,0,0,0.0245254780485157,0,0,0,0,1.73472347597681e-18,0,0
