,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600188.SH,X600660.SH,X600019.SH,X601600.SH,X600585.SH,X600547.SH,X600886.SH,X600011.SH,X000792.SZ,X600795.SH,X600362.SH,X600010.SH,X600111.SH,X600489.SH,X000708.SZ,X002460.SZ,X600803.SH,X600027.SH,X002466.SZ,X600160.SH,X000301.SZ,X000786.SZ,X601991.SH,X000807.SZ,X600426.SH,X000983.SZ,X600219.SH,X601699.SH,X600985.SH,X000630.SZ,X600176.SH,X601168.SH,X002128.SZ,X000933.SZ,X600096.SH,X000408.SZ,X000877.SZ,X002353.SZ,X600352.SH,X000027.SZ,X000883.SZ,X600378.SH,X600995.SH,X002271.SZ,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.182315536400061,0,0,0,0,0,0.0168513090607858,0,0,0,0,0,0,0,0,0,0.182280709162267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270726931155091,0,0.177884158574393,0,0,0,0,0,0.214339994117056,0,0,0,0,0,0,0,0,0.0811403030497304,0,0,0,0,0,0,0
X601088.SH,0.0324824155571686,0,0,0,0.311012633608828,0,0,0,0,0,0,0,0,0,0.0223037973008311,0,0,0,0,0,-0.0414374945087636,0,0,0,0,0,0,0,0,0.0127057054128233,0,0,0,0.134534821996516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0218517729156168,-0.0365254644486157,0,0,0,0,0
X600028.SH,0.426585814538469,0.193709773758614,0,0,0.132887737224748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0919048705521435,0,0,0,0,-0.00291222587304446,0,0,0,0,0,0,0,-0.0627434706725573,0,-0.0175429418064073,0,0,0.0258085573263855,0,0,0.102799474446813,0,0,0,0,0,0,0.0245911379863068,0.0221206199702075,0.100416618507605,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0.0595201343618365,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172629355796257,0.00750939898731368,0,0,0,0,0.0127230000640351,0,0,0.353794921491423,0,0,0,0,0,0,0,0.11588814061289,0,0,0,0,0.250287162039064,0,0,0,0,0,0,0,0,-0.129292672062724,-0.0284882120036442,0,0,0,0,0,0
X601898.SH,0,0.735179626514625,0,0,0,0.0966237324513607,0,0,0,0,0.0126891342952352,0,0,0,0,0,0,0,0.0916263526242865,0,0,0.031396268282644,0,0,0.0069540602277416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059112027224371,0,0,0,0,0,0.0435750162609034,-0.0725648812843246,0,0,0,0,0,0
X600188.SH,0,0,0,0,0.0834543641196249,0,0,0,0.0862236470233205,0,0,0,0,-0.156555014794721,0,0,0,0,0,0,0,-1.38777878078145e-17,0.0526640225834377,0,0,0,0,0,0,0,0,0,0.662652618779427,0.0353517527384665,0,0,0,0,0,-0.0786587015599577,0,0,0,0,0.189723946601213,0,0.116837335226908,0,0,0,0,0,-0.0118507520024973,0.155564638783634,0,0,0.0464024334603,0,0
X600660.SH,0,0,0,0.100555467836775,0,0,0,0,0.145784147509609,0,0,0,0.00297705462719736,0,0,0,0,0.197322165929058,0,-0.320727006258087,0,0,0,0,0.120036804316358,0,0.229617644464934,0,0,0,0,0,0,0,0,0,-0.182361025450062,0,0,0,0,-0.271279626554728,0,0,0,0,0,0,0.197383296299909,0,0.186851055591431,0,-0.0426437285450963,-0.181549941462153,0,0,-0.118953825935977,0,0
X600019.SH,8.67361737988404e-19,0,0.403916168617816,0,0,0,0,0,0,0.471303433996959,0,0,0.0652773925053371,0,0,0,0,0,0.0698700094967654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182564659951437,-0.0160581791942575,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37801467919597,0,0,0,0,0,0,0,0.482054339454684,0,0,0,0,0,0,0,0,0.322193191754684,0,0,-0.0615082760399914,0,0,-0.0741908589404011,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0742969628587233,0,0,0.131862792530476,0,0,0,0,0,0.0751094485814159,0,0,0,0,0,0,0,0.0178626481992123,0,0,0,0.133168583375884,0.0847101614328615,0,0,0,0,0,0,0.068429923348632,0,0,0,0,0,0,0,0.212265982626817,0,0,0,0,0,0,0.0070985701011667,0,0,0.0978392375567532,-0.0148952605138615,0,0,0,0,0,0
