,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X600011.SH,X000708.SZ,X002271.SZ,X600660.SH,X600886.SH,X002460.SZ,X601898.SH,X600010.SH,X600801.SH,X000786.SZ,X600362.SH,X601600.SH,X600489.SH,X600176.SH,X600352.SH,X600188.SH,X601991.SH,X600795.SH,X600111.SH,X600426.SH,X600027.SH,X600688.SH,X600299.SH,X601992.SH,X000932.SZ,X000301.SZ,X002080.SZ,X600219.SH,X002466.SZ,X002353.SZ,X600486.SH,X600529.SH,X002075.SZ,X000723.SZ,X600612.SH,X600315.SH,X000027.SZ,X601158.SH,X000898.SZ,X002250.SZ,X000883.SZ,X002409.SZ,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0450565059014905,0,0,0,0,0,0,0,0.0545987048676265,0,0,0,0,-0.00476737176309811,0,0,0,0,0,0,0,0,0.122118680146937,0,0.0275656186482987,0,-0.0469812811118216,0,0.00777653009886551,0,0,0,0,0,0,0,0,0.136148477241807,-0.014003333620213,-0.00901249016306403,0.00810478067271095,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0406702177694054,0,0,0.0239785182574813,0,0,0,0,0.026771567146888,0,0,0,0,0,0,0,0,0,0,0,0,-0.00871149655464615,0,0,0,0,0,0,0,0,0.116803675531125,0.00183951361581173,0.0584872827665362,0,0,0,0.0645402525803947,0,0,0.0195527080339489,0,0.0226375636432003,0,0,0,0,0,0,0.0122665424450682,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.00231845285650382,0,0,0,0,0.0744286516317257,0,0,0,0,0,0,0,0,0,0,0.0385633211987961,0.17966779108433,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233268636731779,0,0,-0.0182059798702633,0,0,0,0,0,0,0.116047923017362,0,0,0,0,0,0,0.0149812073200448,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0554265270045396,0,0,0,0,0,0,0,0,0,0,0,0.0230151502506197,-4.33680868994202e-19,0.262579349929529,0,0.121759290404065,0,0,0,0,0.0259943466334034,0,0,0,0,0,0,0,0,0.0516908130503826,0.0462578618470908,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,-0.00134621063290684,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0849230058069797,0,0.303410267186879,0,0,0,0,-0.061675977988278,0,0,0,0,0,-0.066966838920192,0,0,0,0,0,0.106978148571495,0,0,0,0,0,0,0,0,0.0193115611178531,0.0802926887286246,0,-0.00160674572966868,-0.0152571799093226,0,0,0.122853175983262,0,0,0,0.104335361423601,0,0,0,0,0.01413963641372,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0.000979689522954458,0,0,0,0.0415296661170134,0.0287167674206138,0,0,0,0,0,0,0.0250392148760843,0,0,0.456081959834348,0,0,0,0,0,0.109297832810924,0.00338239795277924,0,0,0.084853217354784,0,0,0,0,0.0164798831121169,-0.0302483888638024,0,0,0,0,0,0.192261566294094,0,0,0,0,0.0365620184482037,0,0,0,0,0,-0.00276641556318352,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0957101798423848,0,0,0,0,0,0,0,0,0,0,0.0847272420342779,0,0.0383900143984363,0,0,0,0.0339871680401223,0,0,0.082606104537399,0,0,0,0.0406976147572351,0.00923531788941903,0,0,-0.0349269067241531,0,0,-0.00365721522152692,0,0.112074972119625,0,0,0,0,0,0,0,0.109913911841571,0,0,-0.0252254164048179,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133376855270269,0,0,0,0,0,0,0,0,0,0,0.64581024951504,0,0,0,0,-0.173644760384096,8.67361737988404e-19,0,0,0,0,0,0.175964792724005,0,0,0,0,0,0,0,0,-0.0276261887198856,0,0,0.080108709293702,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.243521670475105,0.0410290670235643,-0.0873216443684299,0.0835385165755294,0,0,0,0.0688251002805031,-0.0109616568383269,0,0,0,0,0,0,0,0,0,0.0832291996508479,0,0,0,0.286216732027701,0,0.034800560055537,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.00271905715580382,0,0.120819760316706,0,0,0,0
X002271.SZ,0,0,0,0,0.0443960432663118,0,0,0,0,0,0.165148730864921,0,0,0,0,0,0,0,0,0.00562284661268406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188984016617882,0,0,0,0.223125386133805,0,0.186921040396518,0,0,0.0262627665480868,0.00480712464089379,0,0,0,0,0,0
