,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X000723.SZ,X600352.SH,X600660.SH,X600547.SH,X601991.SH,X600688.SH,X600188.SH,X600886.SH,X600362.SH,X600795.SH,X600516.SH,X601992.SH,X600801.SH,X600027.SH,X000898.SZ,X600176.SH,X600111.SH,X002466.SZ,X000709.SZ,X600299.SH,X002460.SZ,X000786.SZ,X000629.SZ,X600219.SH,X002110.SZ,X002271.SZ,X601158.SH,X000990.SZ,X600489.SH,X600808.SH,X000553.SZ,X600985.SH,X000883.SZ,X000630.SZ,X000825.SZ,X600157.SH,X600583.SH,X600426.SH,X600339.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.018241200631452,0,0,0.00801300905595922,0,0,0,0,0,0,0,0,0,0,0,0,0.0194435755038972,0,0,0,0.0563661076868657,0,0,0,0.0683310782135792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121431352412831,0,0,0,0.00810652435809514,0,0,0.0586476270855838,0,0,-0.000771718581571534,-0.00553801312549451,0,0,0,0,0,0
X600028.SH,0,0,0.139209240373782,0,0,0.0295704201642375,0,0,0.0966002783992478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0853830558362088,0.0459810221788894,0,0,4.33680868994202e-19,-0.0375506657969995,0,0,0,-0.00440981724942685,0,0
X601088.SH,0,0,0,0.150380222203755,0,0,0,0,0,0,-0.0157716763733972,-0.160844643051469,0,0,0,0,0,0,0,0,0,0,0.223484915426471,0,0,0,0.17094259986161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196966067462896,0,0.0299287108204435,0,0,0,0.0136540093661879,-0.0655338116791568,0,0,0,-0.0369189805341375,0,0
X600585.SH,0,0,0,0,0,0.108093283255861,0,0,0,0,-0.00205477541188395,0,0,0,0,0,0,0,0,0,0,0,0.493426590883611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0122275088972375,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0139590984773464,0.00213478462153289,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0199631054487957,0,0.0357511138100085,0,0,0,0,0,0,0,0.0760858843705899,0,0,0,0.214097486313549,0,0,0,0,0,0,0.0387798368761685,0,0.0828229972021392,0,0,0,0,0,0,0,0,0,0.027084971151318,0,0.0236763138573651,0,0.0972226118545171,0,0,0,0,0,0.00788399751478276,-0.0289552473493488,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0894238424206226,0,0,0,0,0,0,0,0,0,0,0.00599757111005355,0,0,0,0,0.058610283426871,0,0,0,0.0241131341055617,0,0,0.288822110707773,0.0073753284715294,0,0,0,0,0,0,0,-0.0884761559185608,0,0,0,0.260184074510113,0,0,0,0.00823922308077529,0.0078842984685262,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0.0132058454905801,0,0,0,0,0,0,0,0,0.380482070008405,0,0,0,0.407055590288686,0,0,0,0,0,0,0,0.0965564296836886,0,0,0,0,0,-0.0376546695867832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324371383486461,0,0,0,0,0.0602883613412908,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055301631779343,0,0,0,0,0,0,0,0.171591076116912,0,0,0,0.108511827695725,0,0,0.277646962610424,0,0,0,-0.0142777802063407,0,0,0,0,0,0,0,0.16311240204308,0,0,0,0,0,-0.00263217012794174,-0.049871215221573,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0.0036451340369435,0,0,0,0,0,0,0,0.0985592277931623,0,0,0,0,0,0,0,0.238158000092617,0.0635722083994678,0,0,0,0,0,0.333587998859672,0,0,0,0,0,0,0.080082697186114,0,0,0,0,0.00557671285456313,0,0.026650060059763,0,0,0,-0.0212313042921816,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.206108965732091,0,0.00283384421727072,0,0,0,0,0,0.0560408795443232,0,0.13982763973858,0,0,0,0.0681173326617551,0,0,0,0,0,0,0,0.0198020438377945,0,0,0,0,0.0126358347017038,0,0,0,0,0,0,0,0,0,0.0532938851017866,0,0,0,0,0,-0.010922652851167,0,0,0,0,-0.0202413801924631,0,0
X000723.SZ,0,0,0,0,0,0,0,0,0,0,0,0.29655898609395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00810732662669621,0.259550199720095,0.100585602703613,0,0,0.132422940503283,0.629927879172726,0,0,0,0,0,0,0,0,0,0.317279655327749,0,0,0,0,0,0,0,0,0,0,0,0,0
X600352.SH,0,0,0,0,0,0,0,0,0,0,0.131190917709358,0,0,0.112750669496647,0,0,0,0,0,0,-0.167629098474296,0,0.346958093249994,0,0,0,0,0,0,0,0,0.250265582155549,0,0,0,0,0,0,0.0208854068701249,0,0,0,0,0.417724429813913,0,-0.163536624426753,0,0,0,0,0,-0.10514063147901,0.239397379234533,0,0,0,-0.0283006280603941,0,0
X600660.SH,0,0,0,0,0,0.0912077046077602,0,0,0,0,0.066470135106595,-0.0190604162301839,0,0,0,0,0,0,0,0,-0.0828202860398855,0,0,0,0,0,0.0611113921578462,0.111581278028313,0,0,0,0.188424433258485,0,0,0,0,0,0,0,0,0,-0.0231277186329265,0,0,0,0,0,0,0,0,0,-0.0110048207583293,0.0241017471158469,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,-0.019772450395753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0545426228551038,0,0,0.0933469821616051,0,0,0,0,0,0,0,-4.33680868994202e-19,0.667079373666542,0,0.0419548733235948,-0.0487194705756247,0,0,0,0,0,0,0,0,-0.0249875671662326,-0.0249043691202485,3.46944695195361e-18,0,0,0,0.00918668785949708,0,0
