,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X600886.SH,X601600.SH,X601991.SH,X600688.SH,X600027.SH,X000709.SZ,X600157.SH,X600188.SH,X600362.SH,X600111.SH,X600583.SH,X601992.SH,X002075.SZ,X601158.SH,X000539.SZ,X600309.SH,X000898.SZ,X600352.SH,X000027.SZ,X600021.SH,X002353.SZ,X002470.SZ,X000883.SZ,X000629.SZ,X000792.SZ,X600660.SH,X000878.SZ,X600808.SH,X600863.SH,X601918.SH,X600307.SH,X600578.SH,X000060.SZ,X600098.SH,X000825.SZ,X600489.SH,X600008.SH,X600315.SH,X300072.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.704403128498156,0.0963339139715443,0,0,0,0,0,0,0,-0.0917378476553363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0310459930190363,0,0,0.0458633060155284,0,0,0,0,0.0244706310712749,0,-0.0110680552242018,0,0,0,0,0,-0.20218260108297,0,0
X600028.SH,0.454573627677376,0,0.0652708585222631,0,0,0.133833273311075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104985435744146,0,0,0.0346075372215015,0,0,0,0,0,0.0287693465079836,0,0,0,0,0,0,0,0,0.019959586232452,0.0348656681394804,0,0,0,0,0,0,0,0,0,0,0.00802063555258705,0.0144488890370069,0.0670057197734761,0,0,0,0,0
X601088.SH,0,0.0758221249672115,0,0.0650200977169205,0,0,0.101541108972405,0.0492957001149086,0,0,0,0,0,0,0,0,0.0764015178919319,0,0,0.0614476780082908,0,0,0,0,0,0,0,0,0,0,0.102071197930226,0,0,0.0955135674225848,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.197569135587181,0,0,0,0.0985303027617518,0.137061098907751,0,0.0173553268640116,0,0,0,0,0,0,0,0,0,0,0,0.0392452037355399,0,0,0,0,0,0,0,0,0,0,0.0822675779335626,1.38777878078145e-17,0.027497533782633,0,0.252571609408035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0759247611937116,0,0,0,0,0,0,0,0,0,0,0.231717283914198,0,0,0,0,0,0,0,0,0,0,0,0.0870611669888048,0,0.0322183659644712,0,0,0,0,0,0.236715496036012,0,0,0,0,0.165465046116211,0,0,0,0,0,0,0,0.00716189725081757,0,0,0,0,0,0,0
X600019.SH,0,0.0265789098848338,0.162707659473839,0.177782759787497,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.0039706211074218,0,0,0,0,0,0,0,0,0,0,0,0.387997807455969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105342029583804,-0.0166270118091143,0,0,0,0,0,0
X601898.SH,0,-0.0805298822181991,0,0,0,0,0,0,0,0,0.206079897657502,0,0,0,0,0,0.390059751471765,0,0,0.288670181260595,0,0,0.0635512719173523,0,0.0600238659562585,0,0,0,-0.0486696776238839,0,0,-0.0323239289591826,0,0,0,0,-0.0759138725238021,0,0,0,0.193447358014368,6.93889390390723e-18,0,0,0,0,0,0,0,-0.0327179582701229,0,0,0,0,0,0,0
X600585.SH,0.0430782033154556,0,0.111585030352234,0.0709023977284877,0,0.0561985540349916,0,0,0,0,0.143598232821163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0399972146691929,0,0,0,0,0,0,0.292026057049861,0,0,0,0,0,0,0.0143429040221044,0,0,0,0,0,0,0,-0.00674876694882084,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.0687358066149526,0,0,0.0959085023518773,0,0,0,0,0,0.0731922715088122,0,0,0,0,0,0,0,0,0.187139117207838,0,0,0,0,0,0,0,0,0.249720986665502,0,0,0.115349029372529,0,0,0,0,0,0,0,0,0.00283277890612346,-0.00174876577149467,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.152953410635637,0,0,0,0,0.102275986938375,0,0.00995082858719483,0,0.252667739711353,0,0,0,0,0,0,0,0,0.0796160054923239,0,0,0,0,0.0416373511870112,0,0,-0.0731383722287367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00569012670210912,-0.0387312551233817,0,0,0,0,0,0
