,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X601600.SH,X600688.SH,X601991.SH,X600027.SH,X600886.SH,X600111.SH,X600157.SH,X600362.SH,X600299.SH,X600188.SH,X601158.SH,X600583.SH,X000027.SZ,X601992.SH,X000539.SZ,X600309.SH,X000792.SZ,X000630.SZ,X000709.SZ,X000898.SZ,X600352.SH,X600623.SH,X600021.SH,X000883.SZ,X002466.SZ,X600660.SH,X600098.SH,X002470.SZ,X601918.SH,X000060.SZ,X600489.SH,X600808.SH,X600863.SH,X600307.SH,X002004.SZ,X000629.SZ,X600160.SH,X300072.SZ,X600578.SH,X600547.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.43670074117699,0,0,0,0,0,0.0862799365406472,0,0,0.00310320346611759,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0764825442319186,0,0,0,0,0,0,0.0388805062901065,0,0,0,0,0,0,0,0,0,0.0467776367546928,0,0,0,0,0,1.73472347597681e-18,0,0.0342456612765802,0,0,0,0,-0.0132461973011808,0,0,0.126930112645292,0,0,0,0
X600028.SH,0.247056775196471,0,0.199141476178831,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0.163410152251584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102358317394127,0,0.119710021122813,0,0,0,0,0,-0.0142265160285457,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0273430771879343,0.0693920126840147,0,0,0,0,0,0.511245096282573,0.017680366017641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124315361577738,0,0,0,-0.00727250719592074,0,0,0,0,0,0,0,-0.00677462969735202,0,0,0,0,-0.0174526738453163,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137376785167961,0,0,0.148268038807351,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.175790451227656,0.0141992599431014,0,0,0,0,0.127310234520794,0,0,0,0,0,0,0,0,0,0.0373750702185537,0,-0.0432093713779983,0,0,0,0,0,0,0
X600011.SH,0,0,0.0461146247534437,0,0,0,0,0,0,0,0,0.392471132075887,0.0868680278494877,0,0,0,0,-0.0193897312138647,0,0,0,0,0.258055982648259,0,0,0,0,0,0,0,0,0,0.120407107955541,0,0,0,0.0715041663386839,-0.0713352022334899,0,0,0,0,0,0,0,0,0,0,0,0,-0.00278479415341596,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.14217581627564,0,0.24253541649501,0,0,0,0,0,0,0.00743544920816147,0,0.0428995724832834,0,0,0,0,0,0,0,0,0,0,0.0408555979396006,0,0.0481550662803889,0,0,0,0,0,0,0,0.157127725126715,0.0901437663657709,0,0,0,0,0,0.00904345747373432,0,-0.0248478898439901,0,0,0,0,0,0,0
X600585.SH,0,0.031627444202758,0.259866330340181,0,0,0,0,0,0.434608863090713,0,0,0,0,0.109150583513269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0301740553283782,0,0,0,0,0,0,0
X601898.SH,0.365758394357252,0,0,0,0,0,0,0,0,0.217865008361541,0.0987482670542734,0,0,0,0,0,0,0,0,0,0,0.148794267298129,0,0,0,0,0,0,0,0,0,0.00812312376729177,0,0.0632815101624019,0,0,0,0.250870945443134,0,0,0,0,0.0777622875130012,0,0,0.0162717682561534,0,0,0.023949251021993,0,-0.0136889207311725,0,0,0.0331120748205805,0,0,0,0
X600795.SH,0,0,0.0331759683753021,0,0,0,0,0,0,0,0.0459852016527574,0,0.346398385496902,0,0,0,0,0.00547018474400752,0,0,0,0,0,0.0995891721877953,0,0,0,0,0,0,0,0,0.0149553001392777,0.0537812306460742,0,0,0,0.0389091169775941,0,0,0,0,0,0.0783024617059124,0,0,0,0,0,0,-0.039636970101092,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0.121739510446323,0,0,0,0,0,0,0,0.199734408032123,0,0.0247563248415252,0,0.0576549067144356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359623777659242,0,0.12375867522234,0,0,0.11474719500324,0,0.173192458757172,0,0,0,0,0,-0.0236738782280427,0.0159254077113493,0,0,0,0,0,0
