,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600019.SH,X600585.SH,X002460.SZ,X601898.SH,X600547.SH,X002466.SZ,X000792.SZ,X601600.SH,X600660.SH,X600886.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600426.SH,X002271.SZ,X600362.SH,X600795.SH,X600027.SH,X600803.SH,X601991.SH,X600176.SH,X600489.SH,X000983.SZ,X601699.SH,X000807.SZ,X000786.SZ,X600160.SH,X000539.SZ,X000408.SZ,X300037.SZ,X000629.SZ,X000932.SZ,X600219.SH,X600995.SH,X002409.SZ,X600096.SH,X600612.SH,X002080.SZ,X600378.SH,X600688.SH,X000723.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.492950654594692,0,0,0,0,0,0,0,0,0,0,0,0.156809544063048,0,0,-0.127217083971226,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0258292061899533,0,0,0,0.0771739986679937,0,0,0,0,0,0,0,-0.013120665949527,0,0.324938183548212,0.0302905121224641,0,0,0.0393901418331786,0,0,0.0606781173132563,0,0,0,0,0,0,0
X600028.SH,0.733082169512926,0,0,0,0,0,0,0.154909642094842,0,0.00772984500958628,0,-0.0483611385408078,0,0,0,0,0,0,0,0,0,0.0102800873645827,-0.0697819015467222,0,0,0,0,0,-0.0702626647548516,0,0,0,0,-0.0878239758859241,0,0,0,-0.0505484716729051,0,0,0,-0.151357961223179,-0.0591785277512536,0,0,0,0,0.0728988314767829,0,0,0,0.0189841569536307,0,0,0,0,0,0,0
X601088.SH,0.0186327268006011,0,0,0,0,0.299257217646896,0,0,0,0,0,0,0,0.0699290140868005,0,0,0.0224973461769711,0,0.0711300660706239,0,0,0.112292827285834,0,0.0861834798794541,0,0,0.0192383482058491,0,0.0284084061280331,0,0,0,0,0,-0.0669774226818634,-0.146001158626665,0,0,0,0,0,0,0.0390791086818445,0,0,0,0,0,0,0,0,-0.0245775766725969,0.0340852806341578,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.162742919018605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092745657635283,0,0,1.38777878078145e-17,0,0,-0.0783373387582259,0.076277709744687,0,0,0,0,0,0.0419956879287674,0,0,0.0122704876128802,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0114460878188797,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.0861721401575561,0,0.34719404758458,-0.0416143548095645,0,0,0,0,0,-0.0672840885615281,0.630020355052541,0,0,0,0,0,0,0,0,0.351873467682203,0.546154268037543,0,0,0,0.00165808640422524,0,0,0,-0.159996151232911,-0.0402385053248839,-0.186110990069761,0,0,0,-0.14285098453608,0,0,0,0,-0.0894800433737811,0,0,0,0,0,0,0.0359455983766254,0,0,0,0,0,0,0
X600188.SH,0,0,0.319376784661077,0,0,0,0,0,0,0.217338199409431,0,0,0,0.213704024193207,0,-0.206814581631096,0,0,0.0740645795841646,0,0,0,0,0,0,0,0,0,0,-0.281098353917128,0,0.497662663236242,0.134197109595963,0,0,0,0,0,0,0,0,0.0852414549194872,-0.0140080836835192,0,0,0,0,0,0,0,0,0,-0.196288972999386,0,0,0,0,0,0
X600019.SH,0,0.0486474605886615,0,0,0,0.0551592356771135,0,0.117220403368049,0,0,0,0,0,0.0785170833416642,0,0,0,0,0,0,0,0.0734880117084662,0,0,0,0,0,0.0175720022558376,0,0,0,0,0.112169979226142,0,0,0,0,-0.133729631139758,0,0,0,0,0,0,-0.0350589795525459,0,0.0122401313263977,0,0,0.161040523764656,0,0.052231716107354,0.00524758650792687,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0217145499430639,0,0.202504936560954,0,0,0,0,0.04051062045765,0,0,0,0,0,0,0,0,0,0.0395981266784435,0,0,0,-0.0534166704082853,0,0,0,0.0273416966211432,0.207932204635659,0,0,0,-0.0886955422638366,0,0.131523332812096,0,0.0930208834930824,0,0,0,0,0,0,0,0,0,0,0,0,-0.000483380721003015,-0.0791714475502437,0,0,0,0,0,0
X002460.SZ,0,0,0,0,-0.0296634109293868,0,0,0,0,0,0,0.54511053805592,0.0454764585236793,0,0,-0.0476225181985222,0,0,0,0,0.0684929992554991,-0.0472953187951296,0,0,0.0821080977710541,0,0,0,0,-0.0206548847536329,0,0,0,-0.0049629746984194,0.00933784375743977,0,0.18278297586889,0,0.0988578092361229,0.11008799926436,0,0,0,0,-0.00406452538496416,0,0,0,-0.00939147222301398,0,0.201650297401896,0.0277680100992821,0,0,0,0,0,0,0
X601898.SH,0.144731600614894,0.0218652458016143,0,0,0,0.258537620052166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.266532183419586,0,0,0,-0.065745371605932,0,0,0,0,0,0.296528978087527,0,0.144772929375076,0,-0.0868445607095445,0,-0.0234457079114852,0,0,0,0,0.013602556438757,0,0,0,0,0,0,0,0,0.0126399425165095,0.00914998314467462,0,0,0,0,0,0
