,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X600547.SH,X601898.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600795.SH,X600027.SH,X002271.SZ,X601991.SH,X600362.SH,X600426.SH,X601699.SH,X600803.SH,X000983.SZ,X600176.SH,X600489.SH,X000807.SZ,X000786.SZ,X600995.SH,X000408.SZ,X000539.SZ,X600160.SH,X600219.SH,X300037.SZ,X000629.SZ,X600688.SH,X002080.SZ,X600378.SH,X000932.SZ,X002409.SZ,X600157.SH,X000027.SZ,X600612.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.765859142939228,0,0,0,0.00844133568364643,0,0,0,0.0797520222332787,0,0,0,0,0,-0.125759360135344,0,0,0,0.189039867792257,0,0,0.0488366382063604,0,0,0,-0.212721717744424,0.120925036286401,0,0,0,-0.0557361788693614,0.190179819825889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.202516489534837,0,0,0.0272348102048884,0,0.251321930392766,0,0,0,0,0
X600028.SH,0.713257021023931,0,0,0,0,-0.0917290274870411,0,0,0,-0.0797905354663726,0.082792227065078,0.0596664126169984,0,0,0,0,0,0,0,0,0,0,0,-0.00963059749263202,0.0545493941493167,0,0,0,0,0,-0.0473823261020276,0,0,-0.0442168855407037,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0.00176993722499194,0,0,-0.0098270860535977,0,0,0.00737657180286335,0,0,0,0,0,0,0
X601088.SH,0.236195263015478,0.0352018985097422,0,0,0,-0.115330899937106,0,0.0825162383730215,0,0,0,0.33503064591396,0,0.0812706567325843,0,0,0,0,0,-0.212940897570793,0,0,0,0,0.0400197944893259,0,0,0.0257723388855827,0,0,0,0,0,0.0791932262335343,0,0,0,0,0,0,0,0,0.127398807247132,0.118180720174703,0,-0.0480374544344278,0,0,0,0,0,-0.0422672799100193,0,-0.0640952333577142,0,0,0,0,0
X600309.SH,0,0,0,0,-0.161955793604979,0,0,0,0,0,0.0348883389691036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132295642851828,0,0,0,0.0430073794830868,0,0.114542738663169,0,0,0,0,0,0,0,0,0,0,0,0,0.00475509813228206,0,0,0,0,0,-0.00984910194107482,-0.00629581013811516,0,0,0,0,0,0
X600011.SH,0,-0.0325048194690288,0,0,0,-0.0882820308856443,0,0,0,0,0,-0.102937327995515,0,0,0,0,0,0,0,0,0,0.577289487760056,0.0536044197129264,0,0.337427426136529,0,0,0,0,0,0,0,0,0,0,-0.305685223829829,0,0.00507928488687525,0,0,0,0,0.144971436340846,0,0,0,0,0,0,0,0,0.0431426842504357,0,0,0,0,0,0,0
X600188.SH,0.0147489441227065,0,0,0,0,0,0,0.105090662733314,0,0,0,0.514031613165769,0,0,0,0,0,0,0.277464689032851,0,-0.0907084839435647,0,0,0,0,0,0,0.133160203287817,0.0348776661792392,0,0,-0.051447953681964,0.165177398491939,0,0,0,-0.0554667088084959,0.0952494634226525,0,0.226123283714897,0,0,0,0,0,0,0,0,0,0.152540445206515,0,-0.152229457001106,-0.0201011997616685,0,0,0,0,0,0
X600585.SH,0,0,-8.67361737988404e-19,0.118156502984553,-0.0503426672430006,-0.0447220341074495,0,0.00414268164349527,0,0,0,0,0,0.0176106117820904,0,0,0,0,0,0,0.0560295918622833,0,-0.0758998043409059,0.0330417308202821,0,0,0,0,0.0111961721706864,0,0,0,0,0.252061732767876,0,0,0.0596353071451255,0,0,0.0252475500390519,0,0,0,0,0,-0.00682379128269384,0,0,0,0,0,-0.0179200528874924,0,-0.177028682245732,0,0,0,0,0
X600019.SH,0,0.0296782831022669,0,0,0,0.156208359587801,0,0,0,-0.0452296501733816,0.0815879184749857,0,0,0.0335296086957407,0,0,0,0,0,0,0,0,0,0,0.0861404312824001,0.0993941177871275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201717295004033,0,0,0,0.0114203723811297,0,0,-0.0327049791026547,0,0.0306190783436726,0.0449963952040294,0,0,0,0,0,0,0
X002460.SZ,-0.0309111165229256,0,0,0,0,0,0,-0.0220080023261912,0,0.59090752519779,-0.0982719444248351,0,0,0,0,0,0,0,0,0,0.16541400934485,0,0,0,0,0,0,0,0,0,0,-0.00090570534830503,0,0,0,0.149129674943314,0,0.0292306312144693,0,0,0,0,0,0,0,0,0,0,0,0,0.234993582425489,0.03514708722916,0,0,0,0,0,0,0
X002466.SZ,0,-0.043095260706184,0,0,0,0,0,0,0.175492800269345,0,0,0,0.346503461174516,0,0,0,0,0,0,0.114480215111389,0,0,0,0.112663965579911,0,0,0,0.279028538475163,0,0,0,0,0,0,0,0,0.00840710444756216,0.260186311416228,0,0,0.0702830686740343,0,0.0282945421718499,0,0,0.0654086185649294,0,0,0,0,0,0,0.061941399241882,0,0,0,0,0,0
