,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X600688.SH,X601600.SH,X601991.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600547.SH,X600516.SH,X002466.SZ,X601992.SH,X600111.SH,X600176.SH,X600027.SH,X600352.SH,X002460.SZ,X600299.SH,X002110.SZ,X300072.SZ,X000709.SZ,X000553.SZ,X600808.SH,X600801.SH,X000786.SZ,X000932.SZ,X600583.SH,X600339.SH,X600426.SH,X000883.SZ,X601158.SH,X000301.SZ,X000629.SZ,X600219.SH,X000792.SZ,X601699.SH,X000408.SZ,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.195630378382631,0.0928810245508329,0,0,-0.137215192307099,0.0620045455148956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108454262314347,0,0,0,0,0.149834577858856,0.172468771805529,0,0,0,0,0,0.0196773830406191,0,0,0,-0.0482203893387079,0.00114494959522565,0.00567677646625901,0,0,0,0,0,0
X600028.SH,0.12234478533536,0,0.189085506825938,0,0,0,0,0,0,0.0382300451048779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980535567210995,-0.0811431037059979,0.0819407546778337,0,0.022844285407535,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115436480056005,0,0,0,0,-0.000413883786896035,0.00321759797306811,-0.0148258596767539,0,0,0,0,0,0
X601088.SH,0,0,0,0.0411849002558627,0,0.010134123203878,0,0,0,0,0,0,0,0.163643615618398,0,0,0.302790835927528,0,0.0128575470702158,0,0.0651874757956783,0,0,0,0,0,-0.0726610015760833,0,0,0,0,-0.0178262079612029,0,0.0180214494737174,-0.0870598461764359,0,0,-0.0522318499957778,0,0,0,0,0,0,0,0.265223808503969,0,0,0,-0.00572455098075969,-0.0219558176380289,0,0,0,0,0,0
X600585.SH,0,0,0.219290976844931,0,0,0,0,0,0,0,0,-0.0846783098985956,0,0,0,0,0,0,0,0,0.0725100403252378,0,0,0,0,0,0,0,0,0,0,0.0828301734470302,0,0.328954993446483,0.243984326816691,0,0.119379042727612,0,0,0,0,-0.102383757525279,0,-0.0146010060900425,0.00144061146543708,0,0,0,0,-0.00715836195908209,-0.0126287731252717,0,0,0,0,0,0
X600019.SH,0,0,0.16983027874379,0.137303622929203,0,0.150681508154808,0,0,0,0,0,0,0,0,0,0,0,0.0935335248045601,0,0,0,0,0,0.0520757077494298,0,0,0,0,0.140044700032957,0,0,0,0,0,0,0.279006675387178,-0.00597572077480048,-0.034302175137125,0,0,0,0,0,0,0,0,0,0,0,0.00186533959871399,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.128556143677236,0,0,0,0,0,0.39462199162128,0,0,0,0.411279558147431,-0.0825648283333393,0,0,0,0,0,0,0.0366811971462022,-0.0803856795993753,0,0,0,-0.235528795725889,0.131353441063671,0.260379319493767,0,0,-0.161225435845574,0.0284832032534246,0,0,0,0,0,0.014026812195876,0,0,0,0,0.0359935068845077,0.0298370288977095,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0393234392337875,0,0,0,0,0,0,0,0,0,0,0,0.832464502931658,0,0.123567422393279,0,-0.0229283783227224,0,0,0,0,0,0,0,0,0,0.02880882868061,0,0.126317618252324,0,0,0,0,0,0,0,0,0.0179325612843958,0.0113756612412383,0,-0.020070608713226,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0949513390829098,0,0.309054063675094,0,0.0654530022860829,0.167233290605399,0,0,0,0,0,0,0,0,0,0,0,0,0.0746481169325451,0.0118811249183969,0,0,0,0,0,0,0.163133629536566,0.115670153584665,0,0.0502707574764798,0,0,0,-0.0209423307859906,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.243686770553368,0,0,0,0,0,0,0,0.0698022580150301,0,0.0534851683738482,0,0.0901375943073356,0,0,0.0303552716351226,0,0,0,0,0,0,0,0.0189476481534157,0,0,0,0,0,0,0,0,0.0766219162619168,-1.73472347597681e-18,0.108038295052847,0,0,0,-0.010774516184143,-0.0168683423153097,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0547923063792244,0.0105574522798017,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312814495677732,0,0,0,0,0,0,0.00480272869165452,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.0805293979722669,0,0,0,0,0,0,0,0,0,0,0.00132480046057948,0.0206273151513606,0,0,0,0,0,0
X600688.SH,0,0.438524536624751,0.0440415330584733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0324663214111528,0,0,0,0,0,0,0.0444381109254915,0,0,0,0,0,0,0,0,0,0.0325133907390966,0.0109025317298738,0,0,0.0190240484115902,0,0,0,0,0,0,-0.0476124788611465,0.0109504740603838,0.00323657770781766,0,0.0389265383250649,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.15646599786687,0,0,0,0.119816637072237,0.0599771625371098,0,0,0,0,0,0,0,0.00271786778018007,0,0.10322456948101,0,0,0,0,0,0,0.0287296471798348,0.00429613237469971,0,0,0,0,0.296761105514903,0,0,0,0,0,0,0,0.00244282258004495,0.135267634457986,0,0,0,-0.00250099606739187,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.101759396178624,0,0,0,0,0.117883547769745,0,0,0,0,0,0,0,0,0,0.0984860652863665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112562924422616,0.0203187499405048,0,0,0,0,0,0,0.119237247642571,0,0.0437013554381827,0,0,-0.00262277920739582,-0.00705573873803261,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0,0.330582315527545,0,0,0,0,0,0,0,0,-0.0298650566188582,0,0,0,0,0,0,0.0554453029083178,0.103898901445771,0,0,0,0.0540146617180022,0.00863310286559708,0.0884876198271305,0.128980891327135,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0.24241828358574,0,0,0,0,-0.00216507297951613,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0.0448451855749811,0,0.00305466086629106,0,0,0,0,0,0,0,0,0,0,0,0.162517392862363,0.324154338195025,0,-0.093254991608383,0.0985095273500693,0,0.0410523774140463,0,0,0,0,0.00264588412317265,-0.048823849697539,0,0,0,0.01945268849219,0,0,0,0,0.0263928501766581,0,0,0,0,0.00423180868183868,-0.00370333608096302,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,-8.67361737988404e-19,0.0358112330263694,0,0,0,0,0,0,0,0,0,0,0.0878608821578715,0,0,0.027057902418512,0,0,0.266223226807159,0.0362858531517137,0.0406067734087982,0,0,0,0,0,0,0,0,0,0,0,0.0885196692619383,0,0,0,0,0,0.062957988674073,0,0,0,0,0.00266128032377667,-0.00180293719310984,0,0,0,0,0,0
X600362.SH,0,0,0.0294571414322661,0,0.107900542207818,0.174605024177119,-0.0423318057904854,0,0,-8.67361737988404e-19,0,0.255638229942083,0,0,0,0,0,0,0,0,0.0536911439786141,0,0,0,0,0,0,-0.00828026260322941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0596345245829056,0.198849770349352,0,0,0,0,-0.0138456952344371,0,0,0,0,0,0
X000898.SZ,0,0,0,0,0,0,0,0.0204523197919579,0,0.0203239421249097,0,0,0,0.139786973072397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0914090571330807,0.0140383321671831,0,0.0646629648124792,0.316588800376007,0.0343013236713688,0,0.0594627502135898,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00171411860063732,0.00717449494280222,0,0,0,0,0,0
