,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600547.SH,X600010.SH,X601898.SH,X600660.SH,X601991.SH,X601600.SH,X600688.SH,X600886.SH,X600795.SH,X600362.SH,X600188.SH,X600027.SH,X000898.SZ,X601992.SH,X600176.SH,X600516.SH,X002466.SZ,X600111.SH,X000709.SZ,X600352.SH,X002460.SZ,X000629.SZ,X600489.SH,X600299.SH,X000786.SZ,X600808.SH,X601158.SH,X600801.SH,X600219.SH,X000825.SZ,X002271.SZ,X000553.SZ,X600583.SH,X000883.SZ,X002110.SZ,X600157.SH,X002470.SZ,X600339.SH,X600021.SH,X000539.SZ,X600612.SH,X600426.SH,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.257165239812036,0,0,0,0,0,0,0,0,0,0,0,0.023424296782691,0,0,0,0,0,0,0,0,0,0.0546672728919284,0,0,0,0,-0.0266469053266296,0,0,0,0,0,0,0,0,0,0,0.0189208616472824,0,0,0.0296763540903408,0,0.186209308575099,0.000686542117722223,0,0,0,0,0,-0.000420386648271112,0,0,0,0,0,-0.00233527004512591,0
X600028.SH,0,0,0,0,-0.109306967013264,0,0,0,0,0,0.0798585596331473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223845545524095,0,0,0,0,0,0,0,0,0.318326761114295,0,0.023089389080825,0,0,-0.0771671665089965,0,0.513914465845327,0,0,0,0,0,0,0.0303201296343112,0,0,0,0,-0.0537584999930147,0,0
X601088.SH,0,0,0,0,0,0.201137789295475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549187051647244,0,0,0,0,0,0,0,-0.151197719864577,0,0.0562649784197214,0,0,0,0,0,0.0993066779596645,0,0,0,0,0,0,0,0.0525086018464753,0,0,0,0,0,0.0101540994266628,0.00532897897425626,0,0,0,0.0605679006479214,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305309357865827,0,0,0,0,0.0305167096923002,0,0,0,0,-0.037486082191748,0,0.14985927569281,0,0,0,0.408268589795638,0,0,0,0,0,0,0.147374244246233,8.67361737988404e-19,0,0,0,-0.289586322074052,0,0.00519627975458321,0,0,-0.00999839080289025,0.0164925436341651,0,0,0,0.0202904977181191,0,0
X600019.SH,0,0,0.0195610815036126,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374345845827316,0,0.0396320271141563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167226986525031,0.0113951756338121,0,0,0.01853636250587,0,0,0.0234178711101471,0,0,0,0.0295297948347228,0,0,0,0.0330907116051019,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00801328574094214,0.00289896723968789,0,0,0,0,0.0875455896976359,0.432335068198346,0,0,0,0,0.284562330186189,0,0,0,0,0,0,0,0.0126733482569196,0.0117160633112289,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498361211417762,0,0,0.636434746723773,0,0.0397706648990744,0,-0.210500767131418,0,0,0,0,0,0.0202246732316864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0529781685545345,0.0318358979495892,-0.138549297424259,0,0,0.0230897843345798,0,0,0,0.0073590927967824,0.00621435394116149,0,0,0,8.67361737988404e-19,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106371064913852,0,0,0,0,0,0,0,0,0,0.191792392150681,0.692608188368724,0,0,0,0,0,0,0,0,0,0,0,0.00818699782301001,0,-0.0451704234165265,0,0.0444171461001055,0.175983821706401,0.0523147643946332,0,0,0,0,-0.0279993572969377,0,0,0,-0.00457688140804881,0,0
X600010.SH,0,0,0,0.0546977594642447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206264008109353,0,0.199834656991929,0,0,-0.0904933070655396,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.117107186265955,0,0,0,0.13634588939121,0,0,0.0483619422504905,0,0,0,0,0,0,0.0113532653340784,0.011049976271041,0,0,0,0.0439705441327681,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0948623659181075,0,0,0,0,0,0,0,0,0.121462730876715,0,0,0.0727330099662686,0,0,0,0.0260281939595704,0,0.00356960895224521,0,0,0,0,0,0,0,0,0.0769216568998611,0,0,0,0,0.0785328386889508,0.0101521249307217,0,0,0,0,0,-0.00809639528303806,0.033679846298393,0,0,0,0.0456425880334489,0,0
