,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X600585.SH,X002466.SZ,X000792.SZ,X601898.SH,X600019.SH,X600011.SH,X600660.SH,X600111.SH,X600547.SH,X000708.SZ,X600010.SH,X000301.SZ,X002271.SZ,X600886.SH,X600795.SH,X000877.SZ,X601600.SH,X600426.SH,X600362.SH,X600176.SH,X600027.SH,X601699.SH,X600803.SH,X601991.SH,X000983.SZ,X000629.SZ,X000408.SZ,X600160.SH,X000786.SZ,X000723.SZ,X002080.SZ,X600219.SH,X600348.SH,X600096.SH,X600489.SH,X600995.SH,X600378.SH,X000933.SZ,X000807.SZ,X600157.SH,X600688.SH,X600985.SH,X600141.SH,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600019.SH,0.0617941286232354,0,0,0.0583878164764634,0,0,0,0,0,0,0,0.0257652182341295,0,0,0,0,0,0,0,0,0,0.0723806433927611,0.206008686745608,0.188205247975225,0,0,0,0,0.0480184548271085,0,0,0,0,0,0.0438335334612221,0,0,0,-0.108326861055566,0,0,-0.0717257619170552,0,0,0,0.150042844752515,0,0.0120330693037889,0,-0.0436597984823312,0,-0.00018238178265517,0.035973917384335,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0411264573443671,0,0,0,0,0,0,0,0.264382336370545,0,0.0266371762256451,0.277581295086699,0,1.73472347597681e-18,0,0.281138617854304,0,0,0.236947722863716,0,0,0,0,0,0,-0.359226906180448,0,0,0,0,0,0,0,-0.00532356780794135,0.00999005986117042,0,0,0,0,0,0
X600660.SH,0,0,0,0.0200658444520934,0,0.0951263880571162,0.088094380184198,0,0,0,0,0,0,0,0,0,0,0.0876115551820841,0,0,0,0,0,0.0682136978855728,0,0,-0.0683718244714714,0,0,0,0,-0.0528040730127172,0,0,0,0,0.0388796788001953,0.000507478140073883,0,0,0,0.14997759572065,0,0,0.125396921933843,0,0,0,0,0.0869744637088064,0,0,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,-0.00603362825104198,0.230227654046409,0,0,0,0,0,0,0,0,0,0,-0.0124132932540005,0,0.152092369395475,0,0,0,0,0,0,0,0,-0.0697752838436145,0,0,0,0,0.0881002860213956,0,0,0,0,0,-0.0350991717686252,0,0,0,0,0,0.173803684832296,0,0,0,0,0.0660824440155391,0,-0.00624912839534185,0.0762255931970705,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.00220135775495661,0,0,0,0,0,0,0.0543250076617707,0,0,0,0,0.0373040709300563,0,-0.0175426975861411,0,0,0,0,-0.133381270640452,0.0336284377601751,0,0,0,0,0,0,0,0.0634448994126185,0,0,0,0,0,0,0,0.6808509688214,0,0,0,0,0,0,0,0,0,0,0.00299865247400373,-0.0483008478406039,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0.109534982302524,0.0156755961854287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429217505749947,0,0,0,0,0.15136317487415,0,0,0,0,0,0.0134834602285656,0,0,0,0,0.0566650415846295,0,-0.0168985549437851,0,-2.16840434497101e-19,-0.0905454851046638,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17108460921959,0.0506157559461089,0,0,0,-0.090022681461892,0,0,0,0,0,0.0153360480958551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260060012182429,0,0,0,0.139248166916169,0,0.00942817690172474,0.0505043503557627,0,0,0,0,0,0
X000301.SZ,0,0,0,0.224962574236127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.299694156343823,-0.653525230558985,-0.470749715532438,0,0,3.46944695195361e-18,0,0,0.0791451130766338,0,0,0.0796845855781907,0.0399502457380833,0.309820923517801,0,0,0,0,0,0,0,0,0,0,0,0.166167988726355,0,0,0,0.168409927672983,0,0,0,-0.0570511813999282,0.144327589155317,0,0.0771454702557975,0,0,0,0
X002271.SZ,0,0,0,0,-0.0155427722021935,0,0,0,0,0,0,0,0,0,0,0,-0.0592024628238991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147750897043062,0,0,0.509650440350741,0,0,0,0,0,0,0.122043280943895,-0.0597526242088554,0,0.0103858920820583,0,-0.147878196131338,0,0,0,0,-0.0218440266464973,0.0315072181903372,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.0164934020133251,0,0,0,0,0,0.134039020145446,0,0,0,0,0,0,-0.0078992975299784,0,0,0,0,0,0,0,0.0440631160334369,0,0,0,0,0,0,-0.107124200312697,0,0,0,0,0.0778171982313105,0,0,-0.00260107081416979,0,0,0,0,0,0.0941314885111723,0,0.0332512751647391,0,-0.0336856027077154,0.00548516109642879,0,0,0,0,0,0
