,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600623.SH,X601992.SH,X600362.SH,X600111.SH,X600886.SH,X600157.SH,X600547.SH,X002466.SZ,X600299.SH,X600660.SH,X601158.SH,X000709.SZ,X000792.SZ,X600352.SH,X600489.SH,X600309.SH,X000898.SZ,X600583.SH,X000539.SZ,X000883.SZ,X300072.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X000983.SZ,X000959.SZ,X002470.SZ,X002075.SZ,X600021.SH,X600176.SH,X000723.SZ,X000060.SZ,X600022.SH,X600098.SH,X000012.SZ,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.304234432821852,0,0,0,0,0,0,0,0,0,0,0,0,0.0271301514854119,0.00610805533329793,0,0,0,0,0.0130981884051278,0,0,0.0112399633310045,0.0571073398886049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366381145621914,0,0.0265070898703168,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.108784807186685,0,0,0.145953267532067,0.0856076321732238,0,0,0,0,0.00997764016219194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083807604182234,0,0,0,0,0,0,0.00203284186685917,0,0,0.00672506778574655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.185483901690902,0,0,0.178807978463166,0,0.182253830991876,0,0,0,0,0,0.0258657421990754,0.0214572831048943,0.104965398314841,0,0,0,0,0,0,0,0,0,0.0477249727487869,0,0,0,0,0,0,0,0,0,0.174868713314959,0,0,0,0,-0.0435802460651992,0,0,0,0,0,0,0,0,0,0.0222952931464618,0,0,0,0,0,0,0
X600011.SH,0,0,0.276665066691628,0,0,0,0.0351415076074936,0.0729105302791195,0,0,0,0,0,0,0,0.0689820919783935,0,0,0,0,0,0.0239221175838175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0890153170249528,0.0475977001997566,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0511869788440164,0,0,0,0,0.183140618295919,0,0,0,0,0,0.030653063778512,0.301693460977991,0,0,0,0.0218467752512495,0,0.0358372331329712,0.073574513772844,0.0687794534012729,0.112415838015325,0,0,0,0,0.0159867349374851,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.123825281367539,0,0.0468614862620523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497130289570291,0,0,0.530672185734462,0,0,0,0,0,0,0,0.0591832485698447,0.0340001974388792,0,0,0,0,0,0.0414327639122146,0,0,0,0,0,0.0604268172969238,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0330889319171023,0,0,0,0.0140965420446038,0,0,0,0,0,0.110227386732504,0,0,0,0,0,0,0,0,0,0,0,0.129647212256207,0,0,0,0,0,0,0,0,0.155974841971868,0,0,0.104413835773507,0,0,0,0,0,0,0.120449556424819,0,0,0,0,-0.032850758109147,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.275063241324127,0.16011662850691,0.0233503807472461,0,0,0,0,0,0,0,0,0,0.238043558523639,0,0,0,0,0,0,0,0,0,0,0,0.00389425345718681,0,0,0,0,-0.0329343282005259,0,0,0,0.285942159492178,0,0,0,0,0,-0.0283396628278836,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177806434828912,0,0,0.0882759774895037,0,0,0,0.0587785762510923,0,0,0,0.244780762020043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906510882725775,0,0,0.113034374848729,0.0929036044012543,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21157295411392,-0.068610862569588,0,0,0,0,0,0,0,0.207672913768023,0,0,0,0,0,0,0,0,0,0,0,0,0.261392418878376,0,0,0,0.0354382562708293,0,-0.0155822284863685,0.06537241047829,0,0,0.080271519701094,5.42101086242752e-20,0,0,0,0,0,0,0.179811764141308,0,0,0,0,0
