,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600010.SH,X600585.SH,X601898.SH,X600547.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X300072.SZ,X601991.SH,X600157.SH,X600362.SH,X600027.SH,X601992.SH,X600111.SH,X600309.SH,X600886.SH,X600660.SH,X600489.SH,X002466.SZ,X600623.SH,X601158.SH,X000723.SZ,X600299.SH,X000792.SZ,X002075.SZ,X000408.SZ,X000709.SZ,X000898.SZ,X000959.SZ,X000983.SZ,X600583.SH,X000883.SZ,X600352.SH,X600549.SH,X000539.SZ,X000027.SZ,X600176.SH,X000630.SZ,X601699.SH,X600021.SH,X600126.SH,X000012.SZ,X002470.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0206065538621903,0,0,0.0247298632634649,0,0,0,0.00688046398482936,0,0,0.00997263905431619,0,0,0,0.0269847756728855,0,0,0,0,0.00426223528074328,0,0.0162472089299624,0,0.030210653103706,0,0,0,0,0,0,0.0952742779831945,0,0,0.0619103677331101,0,0,0,0,0,0,0,0,0,0,0,0,-0.00912284284461817,0,0,0,0,0,0
X600028.SH,0,0,0.061838275496211,0.0336114744656227,0,0,0.0392953043459567,-0.032050677203914,0,0,0,0,0.0510492881424224,0.0763870225586559,0,0,0,0,-0.0453485797143745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110212200376421,0,0,0,0,0,0,0,0,-0.0502663305255566,0,0,0.0310687818958909,0,0,0,-0.00393413499485358,4.33680868994202e-19,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,-0.00110429023780953,0.166325626402421,0,0,0,0,0,0.044925552110882,0,0,0,0,0,0,0.118718566974497,0,0,0,0.104223148560877,0.0423692487938183,-0.0198288749377694,0.0387578440239028,0,0,-0.0294845754427357,-0.120200324447867,0,0,0.0558571383465115,0,0,0,0,0,0,0,0,0,0,0,0.0868624344872379,-0.0307297019107144,0,0,0,0.00845293116085527,-0.00721860368888154,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0956923546667836,0,0.00811570838085008,0,0.0371467185345183,0,0,0.0409876439094195,0,0,0,0.0624841394310641,0,0,0.0638431281350987,0.182554864380804,0,0,0,0,-0.0375406825647546,0,-0.207634253284689,0,-0.10764816868133,0,0,0,-0.0386521413719981,0,0,0,0.180851118035263,0,0,0,0,-0.0147429690198781,0,0,0.036379334957,-0.0327895392495884,0,0,0,-0.00246617387020079,0.00871034139929514,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.361472892943746,0,0.0321585995363605,0,0,0,0,-0.0447972596744656,0,0,0,0,0,0,0.173724689607524,0,0,0,0,0,0,0,0,0,0,0.22056879756115,0,0,0.11632752988482,-0.0596918557014548,0,0,0,0,0,0,0,0,0,0,0.0331615331063849,0,0,0,0,0.044216190225409,-0.0538897765780852,-0.0635972252264158,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0132534768044238,0,0,1.73472347597681e-18,0,0,0.0207846142542643,0,0,0,0,0,0,0.0609164184477341,0.0737966893136129,0,0,0,0,0,0,0,0.0742328544348405,0,0,0,0,0.0601201458675515,0.0853753866078887,0,0,0,0.077203847084073,0,0,0,0,0.0133526879880671,0,0.0260082040880415,0,0,0.127507473194386,0,0,0,0,0,0,0,0,0
X600585.SH,0,0.151992318109043,0,0,0.0348295516873672,0,0,0.239424953213761,0,0,0.084757114895416,0,0,0.0511858051046035,0,0,0,0,0.0680925112426355,0,0.124724584107926,0,0.0748945131553522,0,0,0,0,0,-0.091612871897969,0,-0.158967130519168,0,0,0.134437783555321,3.46944695195361e-18,0,0,0,0.0425669320167506,0,0,0,0,0,0,0,0,0,0,0,0,0.121338956571787,0,0,0,0,0,0,0
X601898.SH,0,0,0.289774036253687,0,0,0,0,0,0,0,0.0950681227638145,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0.101754539124915,0,0,0,0,0,0,0,0,0.0778925473641607,0.0578144033394963,0,0,0,-0.0785405496933465,0,0,0,0.0776528131572979,0.289489414744572,0,0.0493617529807609,0,0,0,0,0.0581581001074593,-0.143207752439382,0,0,0,0,0,0
X600547.SH,0,0,0,-0.235218444965281,0,0,0,0,0,0,0,0,0,0.0338968389373376,0,0,0,0,0,0,-0.14731106450682,0,0,1.05405373012272,0,0,0,0,0,0,0,-0.0213280708075107,0,0,0.00479197735383417,0,0,0,0,-0.0135162678542448,0,0,-0.132113045033827,0,-0.0692570499269695,-0.121504846737842,-0.0526491893806115,0,0,0.166846867318152,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0132318414922112,0,0,0,0,0,0,0,0,0.0958829979627522,0.0417903199611991,0,0,0.0201388999727873,0,0,0,0,0,0,0,0,0.0461635126179403,0.026373306370904,0,0,0,0,0.345188426992432,0,0,0,0.0233123601610523,0.0370613231645746,0,0.129124277791072,3.46944695195361e-18,0,0,-0.0018405273720984,0.0339238604571277,0,0,0,0,0
