,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600011.SH,X600309.SH,X601898.SH,X601992.SH,X600795.SH,X600362.SH,X600111.SH,X600688.SH,X002466.SZ,X600188.SH,X600547.SH,X601991.SH,X600516.SH,X300072.SZ,X002460.SZ,X600660.SH,X000898.SZ,X000709.SZ,X600886.SH,X600157.SH,X600027.SH,X600808.SH,X600339.SH,X600489.SH,X000959.SZ,X600549.SH,X000983.SZ,X600219.SH,X000723.SZ,X600352.SH,X002092.SZ,X000408.SZ,X601699.SH,X000807.SZ,X000825.SZ,X000630.SZ,X000553.SZ,X601158.SH,X600008.SH,X000883.SZ,X600299.SH,X000792.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010466213789138,0,0,0,0,0,0,0,0.0247292276236455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0215914742841635,0,0,0.0325137777200023,0,0,0.0931398017190874,0,0,0,0,0,0,-0.00920166887743278,0.0179467127255205,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.157655238191801,0,0,0.0684153139094408,0,0,0,0,0,0,0,0,0,0,-0.0210193127609787,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.00984787728733829,-0.0219553089547389,8.67361737988404e-19,0.127035945066962,0,0,0,0,0,0,-0.127030586459508,0,-0.0288242772874101,0,-0.0353425763661143,0,0,0.00305416072385762,0.000763238624489358,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000651214975379896,-0.00121110152019163,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0444263413909131,0,0,0,0,0,0,0,0,0,0,0.062284576773319,0,0,-0.0474889433305619,0,0,0,0,0,0,0,0,0.244046245640985,0,0,0,0,0.011853977559172,0,0,0,0,0,0,0,0.334762565034557,0,0,0,0,0,0,0,-0.0488898861470062,-0.0134830633649555,0.000363023774693653,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0319174410123635,0.056119220687295,0,0,0,0,0,-0.00912925537437953,0,0,0,0.15544476058318,0.11546047928483,0,0,0,0.0798203364128608,0,0,0,0.221681871119909,0,0,0,0,0.073060102501975,0,0.0660031465083478,0.00119941151731642,0,0,0,0,0,0,0,0,0,-0.00995532254361636,0.0206157971751555,0,0,0,0,0,0
X600585.SH,0,0.277997617220334,0,0,0,0,0,0,0.0257532474667289,0,0.238069731204781,0,0,0,0,0,0,0,0,-0.127825082082487,0,0.0320964368152788,0.313873443569438,0,0,0.0464636945627175,0,0,0,0.0795526554386921,0,0,0,0,0,0,0,0,0,0,0,-0.035364673820608,0,0,0,0,0,0,-0.0261158355733627,-0.00110459121086162,0,-0.0256319741796154,0,0,0,0,0,0
X601600.SH,0,0,0,0.0972085793229987,0,0,0,0,0,0,0,0,0,0,0,0.0563372899897129,0.137613408828137,0,0,0.113801571146869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300707369613668,0,0,0,0,0,0.196547451862257,0.205029962171667,0,0,0,0,0,0,0,-0.0263704486114099,-0.00571832313532447,-0.00385061706567164,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0.0185577102354625,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.142593491698386,-0.0127129969304129,0,0,0.0120250431130013,0,0,0,0,0,-0.0501198404306567,0,0.0256956512566361,-0.111941218760233,0,0,0,0,0.091349394727535,0.123731839131769,0,0.047240578555815,0,0,0,0.0308003079632483,0,0,0,0,0,0,0.0196853662854958,0.00675002792807233,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.0377441485725197,0,0,0,0,0,0,0.0307449841000906,0,0,0.049252027044683,0.114086802744147,0,0,0.023024465394584,0,0.060098143476584,0.293221618491389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101835868733528,0,-2.71050543121376e-20,0.090804968835058,0,0,0,0,0,0,0,0,0,-0.0048135765153243,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0130965050089819,0,0,0,0,0,0.0899513109543746,0.0304428201419638,0,0,0,0,0,0,0,0,0,0.261540739045557,0,0,0,0,0.0907527754768521,0,0,0,0,0,0,0,0,0,0,0,0.0553636041039878,0.122084503799365,0,0,0,0,0,0,0,0,-0.00800235969071995,0,0,0,0,0,0,0
