,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600547.SH,X600019.SH,X002271.SZ,X000708.SZ,X600011.SH,X600660.SH,X002460.SZ,X600886.SH,X000786.SZ,X600176.SH,X601898.SH,X600801.SH,X600010.SH,X600362.SH,X601600.SH,X600489.SH,X600352.SH,X600188.SH,X601991.SH,X600426.SH,X600111.SH,X600795.SH,X002080.SZ,X600688.SH,X600027.SH,X600299.SH,X601992.SH,X000301.SZ,X000932.SZ,X002466.SZ,X600803.SH,X600529.SH,X600315.SH,X002353.SZ,X300037.SZ,X002075.SZ,X600219.SH,X600486.SH,X000027.SZ,X000883.SZ,X000723.SZ,X002409.SZ,X601158.SH,X600612.SH,X000898.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,-0.0147398620788048,0,-8.67361737988404e-19,0.0153375363730051,0,0.0326432973660061,0,0.0189936353627982,0,0,0.109893272982933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.0487220474711811,0,0.0455560755369765,0,0,0.11922368258144,0,0.0651954424733578,0,0,0,0,0,0,0,-0.0288020006352639,0.00712786412267844,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0145918472036787,0,0,0,0,0,0,0,0,0,0.0238059637020283,0,0,0,0,0,0,0,0.00669245913071668,0,0,0,0,0.00737128951577207,0,0,0,0,0,0,0,0,-0.0400487242714834,0,0.0701475525893813,0,8.67361737988404e-19,0,0,0.0891747144171189,0,0.00480519666924176,0,0,0,0,0,-0.0378974304092345,0.015895652570006,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.019870501920137,0.00962797297000188,0,0.0114624428306976,0,0,0,0,0,0,0,0,0,0.170150760298305,0.321639802496664,0,0,0,0,-0.0183247910322039,0,0,0,0,0,0,0,-0.0353184152546578,-0.0210228998118649,0,0,0,0,0.0173759334871553,0,0,0,0,0,0,0,0,0,-0.00430313106357697,0.0102696262581196,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0903229783624778,0,0,0,0,0,0,0,0,0,0.082992378072231,0,0,0,0,0,0,0,0,0.0426234905633252,0,0.0572091466719313,0,0,0,0,0,0,0,0,0.0473308810719544,0,0,0,0,0,0.0217919101136585,0,0,0,0,0,0,0,0.0481172730553464,0,0,-0.053374113288191,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.253046386965342,0,0,0,0,0.016935899748926,0,0,0,-0.0976687696877633,0,0,-0.134582049230163,0,0,0.251537863637708,0,0,0,0.374597884432987,0,0,0,0,0,0,0,0,0,0.256807088413661,-0.0520857010991287,0,0.109164121584446,0,0.0996386299924626,0,0,0,0,0,0,-0.121072482849128,0,0,0,0,0.00327622708762039,-0.0269854574622798,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0646115553124627,0,0,0,0.0800307081750173,0,0,0,0,0,0,0,0,0.547088188593912,0,0,0,0.0336263282202351,0.0512922562401451,0,0.0194112183098144,0,0,0,0,0,0,0,0,0,0.0622833243394079,-0.0472447833143739,0.0137545925057958,0,0.0916755941920139,0,0,0,0,0,0,0.0993717293017194,0,0,-0.00720030768392834,-0.00765315649610177,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.0818816015745461,0,0.0181659773386298,0.0131819920170381,0,0,0,0,0,0.0307656818003425,0.0465829977378227,0,0,0.0415576931261576,0,0,0,0,0,0,0.0128245684145768,0,0,0,0.0908785391137028,0,0,0,0,0,0,0,0,0,0,0,0.0841042358399061,0.0356767266682462,0,0,0.0811793628397642,0,-0.0213818621716799,0,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,-0.0570766707483455,0,-0.0673748433384922,0,0,0,0,0,0,0,0,0.0713948527044081,0.141709549908271,0,0,0.0677163196132294,0.0186552246710885,0,0,0,0,0,0,0,0,0,0.161632615104403,0.00587486841408386,0.0182427638349454,0,0.331513466290572,-0.135955129143812,0,0.0616195814100544,0,0,0,0.0902464101330551,0,0.00415893979564669,0,0,0,-0.0536516349847783,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.0832221939420006,0,0,0,0,0.0910096303189129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0208713055505965,0.32647938355628,0,0,0,0.00894692289136927,0.0141963879692867,0,0,0.121567967535048,-0.027205247378325,0,0,0.0968806167670427,0,0,0,0,0,0,0,0.140460528530719,0,0,0,0,0,-0.0452226056342266,0.0409051466037135,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0138590853989535,0,0.125511229209369,0,0,0,0,0.185220375112406,0,0,-0.126111256952012,0,0,0,0.117851436988314,0,0,0,0.773438817869203,0.224535742866523,0,-0.0527809225656239,0,0.0790859216068569,0,0,0,-0.0675443676210915,-0.194757451526481,0,0,0,0,0,0.0217605788782188,0,0,0,0,0,0.046573901172351,0.00227172170581764,0,0,0,0,0,0
