,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X600660.SH,X601898.SH,X600886.SH,X600010.SH,X601600.SH,X600362.SH,X002460.SZ,X600801.SH,X600188.SH,X002466.SZ,X600352.SH,X000786.SZ,X600795.SH,X601991.SH,X600688.SH,X002271.SZ,X600111.SH,X600176.SH,X601992.SH,X000723.SZ,X002353.SZ,X600027.SH,X600583.SH,X600426.SH,X600516.SH,X000898.SZ,X600299.SH,X600489.SH,X600219.SH,X601158.SH,X000709.SZ,X600612.SH,X000883.SZ,X000553.SZ,X000792.SZ,X000027.SZ,X000630.SZ,X000629.SZ,X600808.SH,X000825.SZ,X002080.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.088888171974562,0,0,0,0,0,0,0,0.0230086640782006,0,0,0,0,0.222300211089023,0,0,0.0198634966542231,0,0.0095327727446845,0,0,0,0,0.0368365437569506,0,0,0.186140458014875,0,0,0,0,0,0,0,0,0,0,0,0,0.0136998247333809,0,-0.00561407745979012,0.00396792558563253,0,0,0,-0.00469364417603172,0,0
X600028.SH,0.177602987403376,0,0,0,0,0,0.0245199129687228,0,0,0.0862565383268888,0,0,0,0,0,0,0,0,0.0276576773598424,0,0,0,0,0.228118205096572,0,0,0,0,0,0.0609554448915175,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00029740794835418,0,0,0,0,0,0,0,-0.00809368869066054,0.00360249914486439,0,0,0,1.0842021724855e-19,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0675031053698747,0,0,0,0,0,0.0400896177178521,0.323661918308794,0,0,0,0,0,0.0228660043706858,0,0,0,0,0.026900553264642,0.0307061228203054,0,0,0,0.00492360539898639,0,0,0,0,0,0,0,0,0.00480187343448688,0,0,0,0,0,0,0,0,-0.011654957340919,0.0114157814501117,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.149844186355811,0,0,0,0,0,-0.073756065074095,0,0,0,0,0,0.371722388146541,0,0,0,0.043723401109622,0,0,0,0,0,0,0,0,0,0,0,0.0391895560339021,0,0,0,0,0,0,0,0,0,0,0.038264802233042,0,0,0,0,0,0.101960477765616,0,0.0217899977264397,-0.0141924175205877,0,0,0,0.0301650425790913,0,0
X600309.SH,0,0,0,0.106745431586373,0,0,0.0112930888253735,0,-0.0414905801361282,0,0,0,2.16840434497101e-19,0,0,0,0.239844655567979,0,-0.0167880559515061,0,0,0,0,0,0,0,0,0,-0.27677079818522,0,0,0,0.000366290344041027,0.158386095395038,0,0,0.123157715875133,0,0,0,0,0,0,0,0,0,0,0,0,0.0744670765650246,0,-0.0129252976131441,-0.024486269683023,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.0669420453709565,0,0,0,0.0742889255719512,0,0.118321515134419,0,0,0.0561711153535808,-0.00669030156465807,0,0,0,0,0,0,0,0,0,0,0.0116927307198524,0,0,0,0,0.00429822787181506,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0205632384078843,0.0166336993845728,0,0,0,0.0310349340561003,0,0
X600547.SH,0,0,0,0,0,-0.12460550229258,0,0,-0.17802985910175,0,0,0,0,0,0,0,0,-0.0946339851787369,-0.0961237182742917,0,0,0,0,0,0,0,0,0,-0.0287373365456829,0,0,0,0,0,0,0,0.887749295949575,0,0,0,0,0,0,0.0548866987669696,-0.113285186847534,0,0,-0.0330821926969442,0,0,0,-0.0374525421144003,0.0362334245215057,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,4.33680868994202e-19,0,-0.200866486577384,0,0,0,0,0,0,0,0,0,-0.0908009580808238,0,0,0.121486181424941,0,0,0,-0.12191297162366,0.151354265809667,0.128500443628818,0,0,0.409593361755971,0,0,0,0,0,-0.105597396547771,0,0,0,0,0,0,0,0,0,0,0.170188326539577,0,0.0237598681599368,0,0,0,0,0,0,-0.00727741678413022,0,0
X000708.SZ,0,0,0,0.166420479972341,0,0,0,0,0,0,0,0,0.480397417112765,0,0,-0.186162498496058,0,0,0,0.122168852346763,0.476856824021136,0,0,0,0,0,0,0,0.289001973028336,0,0,0,0,0,0,0.12930067819651,0.0320015437933949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0499820298413573,0,0
X600660.SH,0,0,0,0,0.06955238117025,0,0.0575021162741263,0,-0.0376027372163249,0,0,0,0,0,0,0.0462576073770619,0,0,-0.00138794785386337,0,0,0,0,0,0,0,0,0.244622145901384,0,-0.0610947827079023,0,-0.0597122524309331,0,-0.0211075700735325,0.0187265190385007,-0.00238097020789532,0,0.115517123284331,0,0,0,0,0,0,0,0,0,0,0,-0.0820201658703308,0,-0.00790768904937326,0.0118684336398593,0,0,0,0,0,0
