,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002271.SZ,X002460.SZ,X600011.SH,X600660.SH,X600886.SH,X600362.SH,X601600.SH,X600801.SH,X600010.SH,X601898.SH,X600489.SH,X000786.SZ,X600352.SH,X600111.SH,X600176.SH,X600188.SH,X601991.SH,X600299.SH,X600426.SH,X600795.SH,X600529.SH,X600688.SH,X002466.SZ,X002080.SZ,X600027.SH,X601992.SH,X600612.SH,X002409.SZ,X600315.SH,X002353.SZ,X600219.SH,X000301.SZ,X600126.SH,X600486.SH,X000932.SZ,X000878.SZ,X000723.SZ,X000027.SZ,X600516.SH,X601158.SH,X002075.SZ,X000898.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.00420595750409033,0,0,0,0,0.0897177886055023,0,0,0,0,0,0,-0.0592393817536715,0.000156344819357033,0,0,0,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0.0604038462113622,0,0,0,0,0,0.0504853777766696,0.118158413057863,0,0,0,0.0238710821116282,0,0,0,0,0,0,0,0.0659714000087593,0,0
X600028.SH,0,0,0,0,0.0463167639811925,0,0,0,0,0.0240935619708395,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0510607758594576,0,0,0,0,0,0.00985275838370503,0,0,0,0,0,0,0,0,0.0628649315708074,0,0,0,0,0,0.0831277301391918,0,0.0241031946509206,0.061505650790577,0,0,0,0,0.000816114885580313,0.0058327165967015,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279608377369387,0,0,0,0,0,0,0.0697735771404155,0.0730440701953348,0,0,0,0,0,0,0.0414315677538124,0.0635519151848111,0,0,0,0,0,0,0.12146619060086,0,0,0,0.0522441245006983,0.0128685009601604,0.0226732807345027,0,0,0,0,0,-0.0326093885098146,-0.0116282279041895,-0.0016382001776529,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0955056724863903,0,0,0,0.0102356553873814,0,0.0775806258785778,0,0,0,0,0,0,0,0,0,0,0.0885106149000041,0.113583608267457,0,0,0,0,0,0,-0.00827335076437362,8.67361737988404e-19,0,0,0,0,0,0.0270320021971151,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0.0492397838545557,0,0.0109225592987228,0.0105623580305067,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-3.46944695195361e-18,0,0,0.140680733279096,0.012751402940763,0.000385528103741484,0.0816302866512266,0,0,0,0.0339802478919895,0,0,0,0.143397242375656,0,0,0,0,0,0,0.127849636167864,0,0,0,0,0,0,0,0.0562048103260816,0,0,0,0,0,-0.0777288507592178,0,0,0.112748456533892,0,0,-0.0841191849178369,0,0.116772243129632,0,0,0.0142715103842221,-0.012814365327461,0,0,0,0,0,0
X600547.SH,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.670422926202222,0,0,0,0,0,0,0.122927470165462,0,0,0.0127182935020418,0,0.00756925367208572,0,0.0380480985552553,0,0,0,0,-0.0691346398762559,0,0,0,0,0,0,0,0,0,0,0,0,-0.100616933939682,-0.00997324389504173,-0.0251388167300724,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279805844370243,-1.73472347597681e-18,0,0,0,0,0,0,0.105057124847581,0,0,0,0,0,0,0,0,0,0,0,0,0.0265769410135365,0,0,0,0,-0.0149683716163129,0,0,0,0.10513883209165,0,0,0,0,0,0,0.00271855312963321,-0.00696053389882642,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54662776865244,0,0,0,0,0,0,0,0,0,0,0,-0.156488685195222,0,0,0,-0.00918575617494664,0,0,0,0,0,0,0,0,0,0.0615731729072314,0,0,0,0.0758108266851128,0,0.0433808370215061,0,0,0,0,-0.000695345904234727,-0.0192109248064338,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0.0551470668009691,0,0,0,0,0.0645552241918342,0,0,0,0,0,0,0,0,0,0.279112290781144,0,0,0,0,0,0,0,0,0,0,0.110076687806666,0,0,0,-0.0527202279502328,0.0612958394497185,0.0849009833059324,0,0,0,0.0126721168540656,0,0,0,0,0,0.178678600594711,0,0.0695033635517188,0,0,-0.0111372661029827,-0.0213412746724372,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0603709151119652,0,0,0,0,0,0,0.109628935265295,0.0152319037166922,0,0,0,0.221435792315997,6.93889390390723e-18,0,0,0,0.111824099760861,0.265752773912916,0.179122348381894,0,0,0.0463686790325241,0,0,0,0,0.455115851423516,0,0,0,0,0,-0.0110719191296316,-0.00341658375010471,0,0,0,0,0,0
