,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X002466.SZ,X601898.SH,X600111.SH,X002271.SZ,X600011.SH,X000877.SZ,X600660.SH,X000301.SZ,X000708.SZ,X600010.SH,X600547.SH,X601600.SH,X600886.SH,X600426.SH,X600176.SH,X600795.SH,X600362.SH,X000983.SZ,X000786.SZ,X000723.SZ,X600096.SH,X000408.SZ,X600803.SH,X601991.SH,X600801.SH,X600486.SH,X601699.SH,X600219.SH,X600141.SH,X600027.SH,X002080.SZ,X600295.SH,X300073.SZ,X000932.SZ,X000807.SZ,X000830.SZ,X600157.SH,X600985.SH,X600688.SH,X600489.SH,X600352.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.0934534967449038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826232437680545,0,0,0,0,0,0,0.117712414968364,0,0.0873778398667183,0,0.0938831172310669,0,0,0.027561771627674,0,0.0631254492890087,0,0,0,0,0,0.120689584501053,0,0,0.00575335388677381,-0.0445906912097651,0,0,0,0,0,0
X601088.SH,0.133291041640179,0,0,0,0,0.241150487421509,0,0,0,0,0.260127040676719,0,0,0,0,-0.0826276518118036,0,0,0,0,0,0,0,0,0,0,0,0,-0.0779587313217893,0,0,0,0,0,0,0,0,0,0.103575775594476,0,0,-0.0384034213659095,0,0,0,0,0.146013093347364,0,0,0,0,0.044064648108169,-0.00124556099074709,0,0,0,0,0,0
X600028.SH,0.0334719200276871,0,0,0,0,0,0,0,0,0,0.0490605901443579,0,0,-0.076470484749605,0,0,0.0152774088479891,0,0,0,0.0610135725987008,0,0.0231802635849631,0,0,0,0,0,0,0.01326058872589,0,0,0,0,0,4.33680868994202e-19,0.0733570705395377,0,-0.00860969737735086,0,0.0390478097181232,0,0,0,0,0,0,0,0.0185906618013138,0,0,4.33680868994202e-19,-0.021735140914912,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316640356602557,0.0407815637083939,0.0910256044262333,0.117616773205868,0,0,0,0,0.036555398365905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112107968802676,0,0,0,0,0,0,0,0,0,-0.0379464091455421,0.0133044422854688,0,0,0,0,0,0
X600585.SH,0,0,0,0.111955182622516,0,-0.016092176324847,0,0,0,0,0,0,0.0674666813431161,0,0,0,0,0,0,0,0,0,0,0.020145558956837,0,0,0,0,0,0,0,0,0,0.349108699354105,0,0,0,0,0.0427745917680881,0.0296249981953022,0,0,0,0,0,0,0,0,0,0,0,-0.0124476405589407,0.00788383454284405,0,0,0,0,0,0
X600188.SH,0,0.172210953791973,0,0,0,0,0.0958248038292238,0,0,0,0,0,0,-0.0695953190509481,0,0,0,0,0,0,0,0,0,0,0,0,0.0309019736083817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116186885855494,0,0,0.646430791966354,0,0,0,0.128409603071983,0.0826330351065239,-0.0144294058898684,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.021506062671433,0,0.522560961989475,0,0.237301301488696,0,0.042577488563891,0,0,0,0,0,0,0.0485101462940209,0,0,0,0,0,0,-0.0426330614440036,0.0278442564878593,-0.0468843185351415,0,0,0,0,0,0.0252023110160305,0,0,0,0,0,0.0682676137362069,0,0,0,0,0,0,0,0,0,-0.0936387470796868,0.036775790955188,0,0,0,0,0,0
X000792.SZ,0,0,0,0.0418672217438224,0,0,0.277653817893623,0,0,0.224279628248463,0,0,-0.0517815553964606,-0.0271920740705391,0,-0.0144867410802311,0,0,0,0.138769389548859,0,-0.0724775969542021,0,0,0,0,0,0,0,0,0,0.138373761832186,0,0,0,0,0,0.401842854795436,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010644807865898,0.00870364470752825,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00637383243207467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0161700955621771,0.0384772375751107,0,0,0,-0.0273294546724322,0,0,0,0,0,0.00204520396252016,0,0.576978792965375,-0.00079140048565203,0,0,0.13254961816554,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,-0.0867810727925743,-0.117091287936373,0,0,0,0,0.819569144027204,0,0,0,0,0,-0.0617964198942596,0,0,0,0,0,0,0,0,0,0,0,0.126742166936741,0,0.088712515415417,0,0,0.00558761321132008,0,0,0,0,0.123090593482949,0,0,0.0258184092895082,0,0,0,0,0,0.0181008339201589,-0.0684928251035131,0,0,0,0,0,0,0,0.00622818195539809,0,0,0,0,0,0
