,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601600.SH,X600795.SH,X601898.SH,X600010.SH,X601991.SH,X600886.SH,X600362.SH,X600188.SH,X600688.SH,X600157.SH,X600027.SH,X600111.SH,X600583.SH,X601992.SH,X600309.SH,X601158.SH,X000709.SZ,X000898.SZ,X600352.SH,X000792.SZ,X600021.SH,X000539.SZ,X600547.SH,X600489.SH,X600808.SH,X600008.SH,X600660.SH,X000629.SZ,X000027.SZ,X002353.SZ,X000060.SZ,X000825.SZ,X002470.SZ,X000831.SZ,X600219.SH,X600863.SH,X600578.SH,X600307.SH,X000630.SZ,X600549.SH,X600315.SH,X600098.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.487858647306319,0,0,0,0.0490912293787132,0,0,0,0,0,0,0,0.0481417793013084,0,0,0,0,0,0,0.160235965937139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00958901620975057,0,0,0,0,0,0,0,0,0,0.0215547185336619,0,0,0,0,0,0,0
X600028.SH,0.483322092210643,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0663820828623,0,0,0,0.153660417627959,0,0,0.122155683602631,0.025861388846089,0,0,0,0,0,0,0,0,0.0176480360074574,0,0,0.0424343893428418,0,0,0,0,0,0.00485302273948725,0,0,0,0,0,0,0.0284961830615861,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.16212095920849,0.0666392568175408,0.0158637028704419,0,0.334816805726918,0,0,0,0,0.138014651132029,0,0,0,0,0.0348796889631408,0,0.124452185187266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291579660646211,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.105826038152261,0,0.173387583308793,0,0,0,0,0,0,0.512314034817902,0,0,0,0,0.121808809892565,0,0,0,0,-0.023674075377608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0316652683638536,0,0.0103282512224279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0137259524206887,0,0,0.246102256602527,0,0.303868259915212,0,6.93889390390723e-18,0.0705032534384702,-0.0103763750601453,0,-0.0108001269317284,0,-0.0300155322574327,0,0,0,0,0,0,0,0,0,0.0072029461947416,0,0,0,0,0.0289617396844119,0,0,0,0.08569824038396,0.0900937293630842,0,0,0,0,0,0,0,0,0
X600019.SH,0.127765614559642,0.0423332413508979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160179726191198,0.261738235675977,0,0,0.0431350862427362,0.0820813060636457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0552085945155933,0,0.00713734629837913,0,0,0,0,0,0,0
X601600.SH,0.0988985650085528,0,0,0,0,0.0576241354394805,0,0,0,-0.0249487296567639,0.0119304234820973,0.120083626297523,0,0,0,0,0,0.370003454646999,0,0,0,0,0,0,0,0,0.0685233965260453,0,0,0,0,0,0,0.170921112065531,0,0.0241172756370995,0,0,0.0441523109094563,0,0.0508337831918771,0,0,0,0,0,0,0,0.235096756674557,0,-0.0184536787198903,0,0,0,0,0,0,0
X600795.SH,0.0535960663545757,0,0,0.0405234543179576,0,0,0.182361881608543,0,0,0.0257623313045361,0.225025556879811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496990417620588,0,0,0,0.129160905525689,0,0,0,0,0,0,0.0848353315919034,0,0,0.0148011716419834,0.113450389481333,0,0,0,0,0,0,0,0,0.0040509457507249,0,0,0,0,0,0,0
X601898.SH,0,0,0.166009755023099,0,0,0,0.168724815758691,0.135879203627718,0,0,0,0,0,0.139949490232005,0,0,0.0452666167872111,0,0.0879141768425845,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148677052342972,0,0,0,0,0.0184026908643441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0.436497053988516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544819138381463,0,0,0,-0.141682082966362,0,-0.0664440229828365,0,0.0840754973404867,0,0.131926761254589,0,0.0961373453627329,0,0.168929654877834,0,0,0,0,0.0495521716987065,0,0,0,0,0,0,0.143992238839576,0,0,0,-9.80812511634337e-05,0.0636563665390151,-0.211670036494874,0,0,0,0,0
