,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X601898.SH,X600660.SH,X600019.SH,X600188.SH,X600585.SH,X601600.SH,X600886.SH,X600011.SH,X600547.SH,X000792.SZ,X600010.SH,X600795.SH,X600111.SH,X002460.SZ,X600362.SH,X600803.SH,X000708.SZ,X600489.SH,X000301.SZ,X600160.SH,X600027.SH,X002466.SZ,X601991.SH,X000807.SZ,X600426.SH,X000983.SZ,X000786.SZ,X600176.SH,X600219.SH,X601699.SH,X002128.SZ,X000877.SZ,X000630.SZ,X000408.SZ,X600096.SH,X600157.SH,X601168.SH,X600985.SH,X000933.SZ,X002353.SZ,X600352.SH,X600995.SH,X000883.SZ,X600378.SH,X600688.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0698288453667562,0,0,0,0,0,0,0,0.130353656295308,0,0,0,0,0.312460228465805,0,0.252619573869133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514029875271319,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0264989311468033,0,0
X601088.SH,0,0,0,0,0.492879350002655,0,0,0,0,0,0.0777925861799632,0,0,0,0,0,-0.119130094184362,-0.0254202641043007,0,0,0,0,0.0707007274105812,0,0,0,0,0,0,0,0,0,0,0,0.047302875868971,0,0,0,0,0.0579103457706349,0,0,0,0.00478901078139123,0,0,0,0,0,0,0,0.0122973326567698,-0.0591347636674445,0,0,0,-0.028048783483657,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00811545892777124,0,0,0,0,0,0,0,0,0,0,0,0,0.0741629045880537,0,0.387292306506935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0484902272192378,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926204545608732,0.0927199547983662,0,0.0360265976941301,0.202980135074924,0.012746143697171,0.0387048261177252,0,0,0,0,0,0,0,0,0,0,0,0,0.143090736116515,0.174935092562292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254544995105784,0,0,0,0,0,0,0
X601898.SH,0,0.514918887368699,0,0,0,0,0,0,0,0,0,0,0,0,0.0271453909151335,0,0,0,0,6.93889390390723e-18,0.227924879297221,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186891902269505,0,0,0,0,0,0,0.0809883815529321,0,0,0,0,0.0534080354115268,0,0,0,0,-0.0253602198174622,0,0
X600660.SH,0.13076137415053,0,0,0,0,0,0,0.120769220185288,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076882455608447,0,0.35296759121895,-0.0988446871030439,0,0,0,-0.0146517262314095,0,0,-0.187174616372464,0,0,-0.132995510594053,0,0,0,0,4.33680868994202e-19,0,0,-0.174699067999075,0.151810273640505,-0.0142552279846823,0,0,0,0,0,0,-0.0419374179590854,0,-0.0606161106178378,0,0,-0.0190357012494716,0,0
X600019.SH,0.128372959459649,0,0,0,0,0,0,0,0,0.188772833151518,0,0,0,0,0,0,0,0,0,0.0646450147479943,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252354860029417,0,0.108345047856356,0,0,0,0.054168611242899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0300457558876085,0,0
X600188.SH,0,0,0,0.295219567238866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0.16508575549207,0.00843494494483396,0,0,0,-2.77555756156289e-17,0,0,0,0.260473522036386,0,0,0,0,0,0.00770527877851052,0,0,0,0,0,0,0,0.076638026708125,0,0,0,-0.00320851593846019,0,0.103339638828137,0,0,-0.056550311588162,0,0
X600585.SH,0,0,0,0,0.290364775093777,0,0,0,0,0,0,0,0,0,0.0420742015813621,0,-0.0445942955518071,0,0,0,0,0.0426198068737239,0,0.235737235558081,0,0,0,0,0,0,0.163510056430231,0,0,0,0,0.334896793687663,0,0,0,0,0,0,-0.0328537189237209,0,0,0,0,0,0,0,0,0.0776322397238775,0,0,0,0,0.0127720239194067,0,0
X601600.SH,0,0,0,0,0,0,0.227819045591515,0,0,0,0,0,0,0,-0.112613538034637,0,-0.0972098661500504,0,1.29175169127345,0,0,0,0,0,0,0,0,0.217356444237671,0,0,0,0,0.090826327870379,0.0654331594698676,0,-0.276798867523304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00396336337108177,0,0,0,0,-0.018459539238152,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.254562024581344,0.422805185510871,0,0,0,0,0,0,0.0324613628047886,0,0,-0.0297115690490195,0.0677902861657654,0,0,0,0,0,0,0.0196901351485069,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054995399486091,0.0718022059178486,0,0.0471221472960699,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.0867971667783595,0,0,0,0,0,0,0,-0.0170806546962434,0,0,0,0,0.0215145438801956,0,0.226081664491382,0,0.127436279166413,0,0,0,0,0,0,0.109083915597442,0,0,0,0,0,0.063223415250307,0,0,0,0,0,0,0,0,0,0,0,-0.02526653351766,0,0.0345645524240961,0,0,-0.0310002015848663,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.126053842583071,0,0,0,0.370195149015821,0,0,0,0.0120936078321627,0,0,0,0,0.0250995886037305,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00600610694891955,0,0
