,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X600188.SH,X601898.SH,X600688.SH,X300072.SZ,X600660.SH,X600362.SH,X601992.SH,X600795.SH,X600547.SH,X002466.SZ,X601991.SH,X600516.SH,X600111.SH,X000898.SZ,X600176.SH,X600886.SH,X000786.SZ,X000709.SZ,X000792.SZ,X000553.SZ,X002460.SZ,X600157.SH,X600352.SH,X002271.SZ,X600027.SH,X601699.SH,X600489.SH,X600299.SH,X600219.SH,X600808.SH,X000408.SZ,X000959.SZ,X002092.SZ,X000983.SZ,X002110.SZ,X600583.SH,X600426.SH,X601158.SH,X000883.SZ,X000830.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.463798089070745,0,0.024664842011112,0,0,0,0,0,0,0.0619728288993099,0.0369787470514768,0,0,0,0,-0.048240871710402,0,0,0,0,-1.73472347597681e-18,0.0303251811875787,0,0,0,0.0440226965009051,-0.0697567870432641,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0325732829640366,0,0.00987042664869805,-0.00369908804331811,0,0,0,0,0,0
X600028.SH,0.219731175302656,0,0,0,0,0,0,0,-0.00416739581850441,0,0.379190668370391,0,0,-3.46944695195361e-18,0,0,0,0,0,0.061373251988598,0,0,0,0,0,0,0,0,-0.0193210352945828,0,0,0,0,0,0,0.06081245353123,0,-0.074740890426487,-0.0268773558760878,0,0,0,0,0.173003674610715,0,0,0,-0.0922154661942424,0,-0.00652704704009763,0.00939743711502526,0,0,0,0,0,0
X601088.SH,0,0,0,0.0620902793739415,0.110550865029818,0,0,0,0.21299722207036,0,0,0,0,0,-0.10744193248719,0,0,0,0,0,0,0,0,0,0.00873238803926911,0,-0.039938785313623,-0.0457571282003695,0,0,0,0,0,0.068526483302488,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138660366128156,0,0,0.0144232799850393,0.163282841809968,0,0,0,0,0
X600019.SH,0,0,0.0566258414586273,0,0.034649558390315,0,0,0,0,0,0,0,0,0.10135676949623,0,0,0,0,0,0.0579559002867157,0,0.741985383684545,0.137414584617323,0,0,0,0,0,-0.202338503884922,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0.0375627682267611,0,0,0,0,0,0,0.0170981629810091,-0.0147240166512559,0.178919515574149,0,0,0,0,0
X600585.SH,0,0,0.0950985036965341,0,0,0,0,0,0.204374554321425,0,0,0,0,0.327768826417312,0,0,0,0.0505399676566666,0,0,0,0,0,0,0.305411930419972,0,-0.319880962888645,0.262393248913756,0,0,0,0,0,0.00631468243836681,0,0.0178375478193069,0,0,0,0,0,0,0.0108026582235951,0,0,0,0,-0.0224674912082633,0,-0.04252265727244,0.055750661647149,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0.0381299347334839,0,0,0.0407744756210058,0.109697844523883,0,0.0458418250467115,0,0,0,0,0,0,0,0.00425053747623022,0,0.075584916004824,0.177825952633406,0.0330406604181501,0,0,0,0,0,0,0.0297578135605608,5.42101086242752e-20,0,0,0,0,0,0
X600309.SH,0,0,0.109246685983263,0,-0.0865220534409212,0,0,0,0,0,-0.154000368621408,0.0276369325645158,0,0,0,0,0,0,0,0,0.0465832430381435,0,0,0,0.199803450124871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0055043850283852,0,0,0,0,0,0,-0.0305438783293189,0.0545840381293262,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0507564305754836,0,0.0209609319450431,0,0,0.074124419637739,0,0,0,0,0,0,0,0.0294837538551312,0,0,-0.0939502995318156,0,0,0,-0.0209758348076143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570423743878273,-0.0426189593445999,0,0,0,0,0,-0.0048346590955139,0.00920660616728465,-0.059584418692077,0,0,0,0,0
X600188.SH,0,-0.153966098711581,0,0,0.248374864754029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0930744545163266,0,0.0757261876529121,3.46944695195361e-18,0.196795618195279,0,0,0,0,0.338016168633904,0,0,0.00539477245287832,0,0,0,0,0,0.066872763625146,0,0,0,0,0,0,0.0214409025300673,-0.0174419534236527,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.119922066519553,0,0,0.0490531193438344,0,0,0,0,0,0,0,0.00681333852668189,0.0318216317697966,0,0,0,0,0,0.0404810272473215,0.0292438062363725,0,0,-0.0662666914761221,0,0,0.117676757075736,0,0.00410760423752772,0,0,0,0,0.108792628282374,0.0328733411513554,0,0,0,0,0,0,0,0.00704344094241853,0.000557531490236562,0,0,0,0,0,0
