,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600795.SH,X002271.SZ,X600362.SH,X600027.SH,X600803.SH,X601699.SH,X600426.SH,X000983.SZ,X601991.SH,X600176.SH,X600489.SH,X000807.SZ,X000786.SZ,X600995.SH,X600219.SH,X000408.SZ,X600160.SH,X000629.SZ,X300037.SZ,X000539.SZ,X600096.SH,X600688.SH,X600985.SH,X002080.SZ,X000932.SZ,X000723.SZ,X600348.SH,X600157.SH,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.73781044851087,0,0,0.0535180096030186,0,0,0,0,0,0,0,0,0,0,-0.138167736076237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141276878638896,0,0,0,0,0,0,0.0490883715908168,0.00448356123790378,0,0,0,0.0237855571322449,-0.0811187063440554,0,0.0162863655693478,0,0.128277842450506,0,0.0843669169343097,-0.061245766473417,0.177477136019196,-0.254021801155937,0,0,0,0
X600028.SH,0.690722332481157,0,0,0,-0.104390429936776,0,0,0,0,-0.0842794911493732,0.082021294493588,0.14065217430983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016533861651003,0,0.0534713288269935,-0.0517036199508938,0,0,-0.0740985565050145,0,0,0,0,0,0,0,-0.014916874517197,0,0,0,0.053633449281218,0,0,0,0,0,0.0115121483719229,-0.0210693636662365,0,0,0,0,0,0
X601088.SH,0.148787970082637,-1.73472347597681e-18,0,0,-0.239233256162203,0,0,0,0,0,0.0848630971037808,0,0,0.316060822102503,0,0,0,0,0,0,0,0,0.0123950423728478,0,0,-0.0245878406211738,0.036657894858325,0,0,0.0199582192432415,0,0,0,0.100135991322531,0,0,0,-0.0407871268974852,0,0,0,0,0,0.114469773785583,0,0.0168745373661361,0,0,0,0,0,-0.0525644220209546,-0.00638867614731057,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.120979010698689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.069128994691483,0,0,0,0,0,0,0.23742579329006,0,0,0,0,0.1543410176513,0,0,0,0,0,0,0,0,0,0,0,-0.00120474136274255,0,0,0,0,0,0,-0.0376630463761429,0.0357025115243397,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0,0,0,0,0.447796707141784,0,0,0,0,0,0,0,0,0,0,0,0,0.0784174598092233,0,0.107052429880064,0,-0.0199545391881183,0.124341687755577,0,0,0,0,0,0,0,0,0,0,0.019836203424923,-0.0279591200795348,0,0,0.0764272469172845,0,-0.0648691441984168,0,0.408974884354325,0,0,0,-0.0118434608019325,-0.0857969642654525,0,0,0,0,0,0
X600011.SH,0,-0.107344783764545,0,0,0,0,0,0,0,0,-0.0103527945350154,0,0,0,0,0,0,0,0,0,0,0.307910431581635,0,0,0.439752831272898,-0.00244794808688326,0,0,-0.0485437574446209,0.250448163033321,0,0,0,0,0,0,-0.266390077502771,0,0,0,-0.16127526295669,0,0,0,0.143028289286025,0,0,0,0,0,0,0,-0.00870895106468431,0,0,0,0,0,0
X600585.SH,0,-4.33680868994202e-19,0,0.138547187682499,-0.0127071990034525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350799685296689,0,0.0469534052886983,0,0,0,0,0,0,0,0,0,0.0819489589799565,0,0,0,-0.0161399951999741,-0.0212735702789133,0,0.0581035765172819,0.0159099954131082,0,0,0,-0.0169353256024836,0,0,0,0,0,0,-0.00265986618878407,0.0156323710305617,0,0,0,0,0,0
X600019.SH,0,0.0933709730680477,0,0,0.0481805710760779,0,0,0,0,0,0,0.00803804840456917,0,0.00909406462992212,0,0,0,0,0,0,0,0,0.0809119679333937,0,0,0,0,0,0,0,0.0912697174048133,0.0491804945576419,0,0,0,0,0,0.0267888433801213,0,-0.0834906145213596,0,0,0.107063007213017,0,0,0,0,0,0,0,0,0.151370824514706,-0.0222455889038122,0,0,0,0,0,0
X002460.SZ,-0.0464311967066842,0,0,0,0,0,0,-0.0850176223873606,0,0.427734388905326,0,0,0,0,0,0,0,0,0,0,0.0769260607559948,0,0,0,0,0,-0.0194408106169098,0,0,0,0,-0.0410115982132856,0,-0.0740044832838387,0,0,0.306000627515723,0.148864822241647,0.127938070994263,0,0,0,0,0,0,0,0.0630862472030175,0,0,0,0,-8.67361737988404e-19,-0.0245271594590552,0,0,0,0,0,0
X002466.SZ,0,-0.148642596587419,0,0,0.00511727374860657,0,0,0,0.374061531629345,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182052740000137,0,0,0,0,0,0,0,0,0,0,-0.110916941313625,0,0,0,0,0,0.045338650635896,0,0.181653233458434,0,0,0.0539147343949177,0,0.279440338765263,0,0,0,0,0,0.0231181107354213,0,0.392374883081502,0,0,0,0
X601898.SH,0,0.251346779446662,0.163285774071048,0,0.134092413060807,0,0,0,0.13292178233838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0859475792564284,-0.189649058831617,0.424567212499128,0.101337669561682,0,0,0,-0.0069499636500609,0.011807521515829,0,0,0.0107744511037347,0,0,-0.0922599935378357,0,0,0,0,0,-0.127726870921583,0,0,0,0,0.183325699596773,0.116352655464668,-0.0564449267535124,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0852450768831825,0,0,0,0,0.101080904706222,0,0,0,0,0,0.0221358308825356,0,0.582258636302851,0,0,0,0,-0.0896359006519466,0,0,0,0.0724662903001301,0,0,0,0.0147910006000803,0,0,0,0,0.0261786535627949,0,-0.0225302079783972,-0.0113812323195478,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0.246024433047306,0.110246837314621,0,0,0,0,0,0.061006013717553,0,0,0,0.0304375105887257,0,0,0.0019431302301863,0,0,0,0,0.031653622636457,0,0,0,-0.00225716766974152,0,0,0,0,0,0.0324045081616031,0.0189186742988761,0.100188027166776,0.0715460008507662,0,0,0,0,0,0,0,0,0,0,0.00453994507804422,0,0,0,0,0,0,0
