,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X600585.SH,X002460.SZ,X000792.SZ,X600019.SH,X002466.SZ,X601898.SH,X600111.SH,X002271.SZ,X600011.SH,X600660.SH,X000877.SZ,X000708.SZ,X600010.SH,X000301.SZ,X601600.SH,X600547.SH,X600886.SH,X600176.SH,X600795.SH,X600362.SH,X600426.SH,X000983.SZ,X600803.SH,X000786.SZ,X600096.SH,X000723.SZ,X601699.SH,X000408.SZ,X601991.SH,X600486.SH,X600141.SH,X600801.SH,X600219.SH,X002353.SZ,X600295.SH,X000807.SZ,X600985.SH,X600027.SH,X000932.SZ,X601666.SH,X002080.SZ,X000830.SZ,X600157.SH,X000683.SZ,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.162204399944128,0,0,0,0,0,0,0,0,0,0.0351678355212687,0,0,0,0,0,0,0,-0.0253991297081266,0,0,0,0,0,0.00951939060287904,0,0,0.082766729463691,0.125187086417846,0.110273759196506,0,0,0,0.0574548911636167,0.0188879805285351,0,0.151377681228957,0,0.0634804341202397,0,0,-0.0186111030275239,-0.00503500619330338,0,0,0,0,0,0
X601088.SH,0.146134994986665,0,0,0,0,0,0,0,0,0,0.180186218321134,0,0,0,0,0,0,0,0,0,0,0,0,0.0349144091159734,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.033618272226646,0,0,0,0,0.0628501606019489,0.0475045366932249,0.0984808984050581,0,0,0.0593728149575325,0,0,0,0.02675486063246,0,0,0.0549159846231934,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0141290180498527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106508564296034,0,0,0,0,0,0.0809732579852165,0,0,0,0,0.020405532740785,0,0,0,0.0298401792862065,0.0248081442563574,0,0,0.0321418054636219,0.0192158959928732,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,-0.00937346726424498,-0.0151253351109914,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0635809438845944,0,0,-0.0362632586716572,0,0,0.119494502129077,0,0,0,0.141072720898145,0.270015098418267,0.0206566913297184,0,0.0498049516466968,0,-0.0113309766563514,0.047796148761389,0,0,0,0.12872802039712,-0.108940515792351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016002393993014,0,0,0,0,0,-0.00350793621846423,-0.00442585472405081,0,0,0,0,0,0
X600188.SH,0,0.0828815697512297,0,0,0,0,0,0,0,0,0,0,0,-0.0665110793914891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0393377424582678,0,0,0,0,0,0,0,0.165623214070472,0,0,0.046422151390279,0.661424968136651,0,0,0.111465841488422,0,-0.106033246180258,0,0,0,0.155253343181159,0.0832364467755252,-0.0206463606378614,0,0,0,0,0,0
X600585.SH,0,0,0,0.0861165128719804,0,0,0,0,0,0,0,0,0.0786375506332199,0,0,0,0,0,-0.0644422185598525,0,0.00391201030101336,0,0.210550527188864,0,0,0,0,0,0,0,0.0437934372831518,0,0,0,0,0,0.314767312519591,0,0,0,0,0,0.0475791800303273,0,0,0,0,0,0,0,-0.00333525010742728,-0.0113271019287601,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.523571302848998,0,0.226566286838659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0608349791919727,0,0,-0.0373833151904333,0,0.0885052898852193,0,0,-0.0330280433226231,0,0,0,-0.000987071026961732,0.0261234456305556,0,0,0,0.0824319172731915,0,0,0,0,0,0,0.0122364380105163,-0.0354746680630549,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0490227144035066,0,0.402848645773502,0,0,0.0665211870414794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0403602254753896,0.0654736599557013,0,0.0501797082315096,0,0,0,0,0,0.377631886741189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0217078874625501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0978492081105787,0,0.484726705503295,0.00959656892325408,0,0,0,0,0,0,0.00539327113741561,-0.045633066737373,0,0,0,0,0,0
X002466.SZ,-0.180566175433818,-0.0227961888613402,0,0,-0.0492136580869336,0,0.787370836910264,0,0,0,0,0.0996365620112813,0,0,0,0,0,0,0,0,0,0,0,0.182773747130163,0,0,0.0387428062459678,0.0339316660465672,0,0.000361091901432437,0,-1.73472347597681e-18,-1.73472347597681e-18,0,0.0161779139902004,0.0579886761044515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0.170277412766072,0,0.0734146041953449,0,0,0,0,0,0,0,0,0.0366411622595229,0,0,0,0,0,0,0.0189387947986087,0.121564130838377,0,0,0,0,0,0.155481288648698,0,0,0,0.0195930526397112,0,0,0,0,0,0,0,0,0.136177420546486,0,0,0,0.00454808028414522,0.201947792547421,0,0,0,0.000503705004414339,0,0,-0.0132966259047317,-0.0150507210488446,0,0,0,0,0,0
X600111.SH,0,-0.161428438817793,0,0,0,0,0.245057598339742,0,0,0,0,0,0,0,0,0.132558197117741,0,0.184065592121778,0.0981646753398697,0.248304548917187,0,0,0,0,0,0.0167958238619878,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548316812946998,0,0,0,0,0,-0.0021764780861781,0,0,0,0,0,0,0
