,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X000792.SZ,X600019.SH,X002466.SZ,X000301.SZ,X600188.SH,X600010.SH,X600660.SH,X002271.SZ,X601600.SH,X000877.SZ,X600011.SH,X601898.SH,X000708.SZ,X600547.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002326.SZ,X002080.SZ,X000408.SZ,X300037.SZ,X600096.SH,X600141.SH,X600219.SH,X601991.SH,X000786.SZ,X600795.SH,X600803.SH,X002407.SZ,X000723.SZ,X600688.SH,X002353.SZ,X000825.SZ,X600295.SH,X000630.SZ,X000898.SZ,X600027.SH,X600489.SH,X600352.SH,X600399.SH,X000983.SZ,X000959.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.168901152863824,0,0,0,0,0,0,0,0,0,0.0432599335800659,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0553368260558399,0.0171519626825089,0,0,0.0751768060833374,0.00306332280635901,0,0.0162975096321942,0,0,0,0.0305928284792923,0,0,0.115056447409157,0.0191014997098439,0.0786143535084428,0,0,0,0,0,0,0,0,0,0,-0.0153830502160175,0,0,0,-0.0377036905631402,0,0
X600028.SH,0.337326316024176,0,0,0,0,0,0,0,0,-0.0120759242205432,0,0.00773198154928393,0,0,0,0,0,0,0.0238226887305312,0,0,0,0,0,0.00694631091543144,0,0,0,0,0,0,0,0.0263164979574483,0,0,0,0,0.0252893696804677,0,0.00462737071369979,0.00950484229216722,0.0822708007092057,0,0.135728785164378,0,0,0,0,0.0419582837106054,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0682897958491345,0,0,0,0,0,0,0.254445085182557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0671294865855211,-0.0657209799014156,0,0.0649754122789678,0,0,0.000130017555651938,0,0,0,0,0,0,0.247583013459865,0,0,0.0341966270286653,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.0362283983748556,0,0,0,0,0,0,-0.0403387410616423,0,0,0,0,0,0,0,0,0,0,0.00154685633623997,0,0.241727579591245,-8.67361737988404e-19,0.0363894137536538,0,0,0,0,0,0,0,0,0,0,-0.0161280199707567,0,0,0,0,-0.045441135521177,0,0,0,0,0,1.73472347597681e-18,0,0,0,-0.0112768989650064,0,0,0,0.000813902746431834,0,0
X002460.SZ,0,0,0,0,0,0,0.156229574328595,0,0.0666341075664782,0.453975545438489,0,0,0,0,0.184955963637342,0,-0.106761036386138,0,0,-0.169293948967119,0,0,0,0,0,0.0196263653424531,0,0,0,0,0.00685988389346375,0,0,0,0,0,0.224284208954395,0.0160924937025154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0430881940860301,0,0,0,0.0542913827495761,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.044638396437809,0,0,0.18133127008481,0,0.500102231103274,0,0,0,0,0,0,0.11689236459826,0,0,0,0,0,0,0,0,0,0.0410071463331249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77555756156289e-17,0.0208184407504924,0,6.93889390390723e-18,0.035488527747207,0,0,0,-0.0213093304851107,0,0
X600111.SH,0,0,0,0,0.0100811615256416,0,0,0,0,0.117535663365084,0,0.0605233854271354,0.308061052081807,0,0,0,0,0,0,0,0,0,0,0,0,0.0863161557528702,0,0.270363901232075,0,0,0,0,0,0,0,0,0.0591412521400422,-0.0629362783700854,0,0,0,0,0,0,0,0,-0.147619348519137,0.237077676976951,0,0,0,-0.015789063994523,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0921165271872566,0,0,0,0,0,0.0678418543317744,-0.113175030112918,0,0,0,0,0,0,-0.0134929241417704,0,0,0,0,0,0,0,0,0.254818518686203,0,0,0,0,-0.130802021149943,0,0,0,0,-0.287339977917451,0,0,-0.0475540700674776,0.0337924612611194,0,0,0,0,0,0,0.332357846405144,-0.0870767100566916,0,0.0201326472149877,0.0859511294849174,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542322788348319,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00666812903148804,0.0298829987706756,0,0,0,0,0,0,0,0,0,0,0,0.585487716321584,0,0,0,0,0.0640617597892052,0,0,0,0.00162541734108759,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.338018702900725,0,0.217674339296619,0,0,0,0.0913320664055517,0,0.0411594038394978,0,0.0142261253147138,0,0,0,0,-0.0433047918674072,0,0,0,0,0,4.33680868994202e-19,0,0.174945018376018,0,-0.0130415309179913,0,0.00710217944517008,0.0685406662617393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0.0185467296852169,0,0,0,0,0,0,0
