,X601857.SH,X600028.SH,X600585.SH,X601088.SH,X600309.SH,X600547.SH,X600019.SH,X000708.SZ,X002271.SZ,X600011.SH,X002460.SZ,X600660.SH,X600886.SH,X600801.SH,X600362.SH,X601600.SH,X601898.SH,X600010.SH,X600489.SH,X000786.SZ,X600176.SH,X600352.SH,X600111.SH,X600188.SH,X601991.SH,X600529.SH,X600795.SH,X600688.SH,X600299.SH,X600426.SH,X002466.SZ,X600027.SH,X002080.SZ,X601992.SH,X600612.SH,X600315.SH,X002353.SZ,X600486.SH,X000301.SZ,X600219.SH,X002409.SZ,X600126.SH,X000932.SZ,X000723.SZ,X000027.SZ,X600516.SH,X000401.SZ,X601158.SH,X000898.SZ,X000878.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.012207127312212,0,0,0,0,0.123719421887135,0,0,0,0,0.0198778339349747,0,-0.0518416227005792,0.00425468707901405,0,0,0,0,0,0,0,0,0,0,0,0,0.0566416625254245,0,0,0,-0.00853668216305144,0,0,0.0444615111618344,0,0,0,0,0,0.0831702639352245,0,0,-0.00563922875517233,0,0,0,0.0914286504064804,0,0
X600028.SH,0,0,0,0.0138615004898808,0.0679142539285055,0,0,0,0,0,0.00743385832375876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096976127290806,0,0,0,0,0,0.108036489016838,0,0,0,-0.00570634374562894,0,0,0,0.0309979564880028,0.0220433639196147,0,0,0,0.110149083792645,0,-0.00274810752077117,0.00645646897492613,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0320249566971586,0,0,0,0,0,0,0,0,0.229689769088552,0,0,0,0,0,0.127284253685106,0,0,0,0.13777637540954,0,0,0,0,0,0,0.0146464260287498,0,0.0517859671541703,0,-4.33680868994202e-19,0,0,0,0,0.0157851337230352,0,0,0,0.118488253303687,0,0,0,0,0,0.04776576048443,0,-0.0108594666161437,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0236265827068494,0.112217629759058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102785886405888,0,0,0,0,-0.0347334109576276,0,0,0,0,0,0,0,0,0,0,0.0316453669060466,0,0,0,0,0.0112459495092227,0,0,0,0,0,0,0,0.0849215627193472,0,0.00928852079395302,0.00431643032774223,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0993680552332413,0,0.0560682998418205,0,0,0,0,0,0,0,0,0.0661570365570057,0,0,0,0,0,0,0,0,0,0.204626934277629,0,0,0,0,0,0,0,0,0,0,0.00974424458507495,-0.0570447037084915,0,0,0,-0.0634210406067092,0.199980981521162,0,0,0.0832047385762396,0,0.0100631489562889,-0.0139765290951242,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0.0533542456434064,0,0,0,0,0,0,0,0,0,0.683411936990167,0,0,0,0,0,0,0.0140252571085518,0,0,0.112122350521387,0,0.0169623210005187,0.0918718530570733,0,0,0,0,-0.100159785245621,0,0,0,-0.00665174817434798,-0.0107721049502931,0,0,0,0,0,0,0,0,-0.11629557352601,-0.00526862626927198,-0.0190014406173959,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225114531246533,0,0,0,0,0.0336684560292239,0,0,0,0,0,0,0,0,0.0507828000624653,-0.0101086907978943,0,0,0,0,-0.0137220439867856,0.0757959427625802,0,0.0177076961085592,0,0.0186543956767956,-0.0263280050674672,0,0.200315017302493,0,0,0,0,0,0,0,-0.000292369222303742,-0.00250225025796211,0,0,0,0,0,0
X000708.SZ,0,0,0,0,-0.12592508305962,0,0,0,0,0,0,0,0,0,0,0.535566888404051,0,0,0,0,0,0,0,0,0,-0.0624413653978226,0,0,0,0,-0.00277033806437097,0,-0.0577155040206964,0,0,0,0.0158386159923254,0,0,0,-0.0266067128311441,0.0914965582831632,0,0,0,0,0,0,0,0.05696239961116,0,-0.0143501102797328,0,0,0,0,0,0,0
X002271.SZ,0,0,0.0714427339456388,0,0.0329103120988384,-0.0338379422951864,0,0,0,0,0,0,0,0.176074152732747,0,0,0,0,0,0,0,0,0,0,0,0.0598628820010693,0,0,0,0,0.0474886133354953,0,0,0,-0.0840297716527725,0.119429007425768,0,0.409249883778526,0.0905626364857488,0,0.0480041370852049,0.0511840503785845,0,0,0,0.105712990107223,0,0,0,0,0,-0.0193350405715948,-0.028912723859394,0,0,0,0,0,0
X600011.SH,0,0,0.171397272365639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300488985837778,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0608452881125937,0.109631197364113,0,0,0,0,0,0,0,0.0714717180121489,-0.0729965552738889,0,0,0,0,0,0,0,0,-0.0122985892552443,0.00803143482777794,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.127388266399605,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0850964471907241,0,0,0,0,0,0,0.0995521885719173,0,0,0,0,0.108015629742424,0,0,0,0,0.331597941377237,0.0443760981199652,0,-0.0373564813985322,0,0.181929558357613,0,-0.0445039730149776,0,0.398853544077242,0,0,0,0,0,0,-0.00648611289272299,-0.00981318225209587,0,0,0,0.0919070500076586,0,0
