,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X600585.SH,X601600.SH,X601898.SH,X600795.SH,X601991.SH,X600157.SH,X600688.SH,X600362.SH,X600111.SH,X600886.SH,X600027.SH,X600188.SH,X000883.SZ,X000709.SZ,X601992.SH,X600583.SH,X601158.SH,X000027.SZ,X000539.SZ,X600021.SH,X000898.SZ,X600352.SH,X600309.SH,X600307.SH,X000060.SZ,X000629.SZ,X000792.SZ,X600808.SH,X000825.SZ,X600489.SH,X600098.SH,X600863.SH,X002075.SZ,X600547.SH,X600008.SH,X600660.SH,X002353.SZ,X002470.SZ,X600578.SH,X600022.SH,X600219.SH,X000012.SZ,X000831.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.704652855347554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087595432755822,0,-3.46944695195361e-18,0,0,0,0,0.128032913261864,0,0.0154393785949736,0,0,0,0,0,0,0.0104233942657919,0,0,0,0.0101742508589444,0,0,0,0,0,0,-0.033855203961382,0,0,0.00580136393750289,0,0,0,0,0,0,0
X600028.SH,0.566543134213598,0,0,0,0,0.0518906644398908,0,0,0.085197675257704,0,0,0.0547399381833554,0,0,0,0,0,0,0,0,0.0374556127287292,0,0,0.0266558493069718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00650103969593418,0,0,0,0,0,0,0,0,0,0,0,0,-0.00316268614396392,0.0121694829052738,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.0503174283493432,0.170401174550935,0,0,0.0105665049869358,0,0,0,0.090564190240053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0678134249136623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599708309408851,0,0,0.109758030843345,0,-0.0116669629997886,0.0108505251139246,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0538679789713126,0,0,0,0,0,0,0,0,0,0,0,0.250974555887263,0,0,0,0,0,0,0,0,0,0,0.114486821894687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140037900777486,0,0.111419740571124,0.0552169546401284,0,0,0.0105803812938216,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0153129900289231,0,0,0.0718808523341833,0,0.0508512263873347,0,0,0,0,0.138447407360295,0.0622859516346173,0,0,0,8.67361737988404e-19,0,0,0,0.139679724146286,0.045997046630203,0,0,0,0,5.42101086242752e-20,0,0,0,0.0628333771771633,0,0,0,0,0,0,0,0,0,0.199124621932575,0,0,0,0,0,0,-0.00135422452609565,0.00339288167413942,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.142196916972288,0,0,0.00220229497851844,0,0,0,0,0,0,0,0.197079574154624,0,0,0,0,0.0512618922295633,0,0.177710507786402,0,0,0,0.0893394418746065,0,0,0,0,0,0,0,0.015794553248278,0,0,0,0,0,0,0.111142151777057,0,0,0,0,0,-0.000724172319362606,0.00522716500055633,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.013397839169933,0,0,0,-0.00917460265444794,0,0,0,0.297735569035376,0,0,0,0,0,0,0,0,0,0,0,-0.026669413457882,0,0,0,0,0,0,0,0,0.0321834127344559,0,0.12959483755784,0,0,0,0,0,0,-0.00969420774730092,0.0521118985103666,0,0,0,0,0.0101483367806629,0.0141185955044162,0,0,0,0,0,0
X601600.SH,0,0.147152397161025,0,0,0,0,0,0,0.119764883072496,0,0.0447304384319642,0.0515377037975192,0.0268340328096189,0,0,0,0,0,0,0,0.0613859566908981,0,0,0,0,0.114427028414754,0,0,0,0,0,0,0,0.243206887427746,0,0,0,0,-0.0111530103349261,0,0,0,0,-0.272907662344069,0,0,0,0,0.28712704435711,0,0,0,0.0143644018308879,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.279639714521823,0,0.153324563340399,0,0,0.191200466662786,0,0.0481299225277556,0,0,0,0,0,0,0,0,0,0.139021663096977,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0.0548140519978507,0,0,0,0,0,0,0,0,0,0,0.00147507193348951,0.0133994532635212,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.0455235475509072,0,0,0.201240083631723,0.0141893715814277,0,0,0,0,0,0,0,0,0,0.00721091159237356,0,0,0,0.104706347302256,0,0,0,0,0,0,0,0,0,0,0,0.357940775023478,0,0,0,0,0,0,0,0.122700626221238,0,0,0,0,0,-0.00563956590907848,0.00527781796348069,0,0,0,0,0,0
