,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X000792.SZ,X601898.SH,X600011.SH,X000301.SZ,X600019.SH,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X000877.SZ,X600795.SH,X600547.SH,X002271.SZ,X601600.SH,X601991.SH,X600803.SH,X600426.SH,X600176.SH,X600362.SH,X600027.SH,X000983.SZ,X000723.SZ,X000629.SZ,X601699.SH,X000408.SZ,X600348.SH,X600096.SH,X000786.SZ,X600141.SH,X600160.SH,X600219.SH,X002353.SZ,X300073.SZ,X002080.SZ,X600157.SH,X000933.SZ,X600801.SH,X600985.SH,X600378.SH,X600549.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.203000532831683,-0.141246391089984,0,0,0,0,0,0,0,0,0.0606627208855334,0,0,0.0224901437376479,-0.056836574769436,0.0567468529915264,0.0261936530936406,0,0,0,0.0948091926815512,0,0.0213037819428365,0.0784843633412098,0,-1.73472347597681e-18,0,0,0,0,0,0,0,-0.0261011797776437,0,0,0,0,0,0,0,-0.00146212505637061,0,-0.0213360187247584,0,0,0,0,0,0
X601088.SH,0,0,0,0.0138340740284033,0.49596510317111,0.211356387219303,0,0,0,0,0.13236513717059,-0.0189590800395434,0,0,0,0,0,0,0,-0.130097882301701,0,0,0,0,0,0,0,0,0,0.101043862729694,0,-0.0185578721920859,0,0,0,0,0.114702865062897,0,0,0,0,0,0,0,0,0,0,0,-0.0898251470062226,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0473798780128763,0,0,0,0,0,0,0.0425268707645927,0,0,0,0,0.0733686631244873,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056624965849981,0,0.00419014441616987,0,0,-0.00418135765851744,0,0.00116263671649523,0,0,0,0.0503205045128836,-0.0216798808672451,0,0,0,0,0,0,-0.00252422072244299,0,0,0.0115589963721026,0,0,0,0,-0.018355410504923,0,0
X600309.SH,0,0.0593620887327429,0,0,0.0394169151924115,0,0,0,0.0396165044100088,0,0.0344582236201047,-0.0145680421599243,0,0,0,0.0257831660909139,0.00490746074187491,0,0,0,0,0,0,0,0,0.0263871864375466,0.0200277486763235,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.0215744485788589,0,0.0659138197870233,0,0,0.134604035254741,0,0,0,0,0,0,0.0488475244225323,0,0,0,0,0,0,0,0
X600188.SH,0,0.117914319453984,0,0,0,-0.0218361285498421,0,0,0,0.580183838907546,0,0,0,-0.00265144038304463,0,-0.035250873805438,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190854535167355,0,0.03642261253744,0,0,0.0103427906566272,0,-0.0194717315132653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115569273041641,0,0,0,0,0.00320189028879461,0,0
X002466.SZ,0,0,0,0,0,0,0.537539091264417,0,0.367343519798887,0,0,0.040613232406019,0,0,0,0,0,0,0.0795851220272562,0,0,0,0,-0.152916033632329,0,0,0,0,0,0,0.0565865293526503,-0.129964910502066,0,0.183961111976031,0,0,0,0.0355611672978776,0.00664438428636964,0,0.216795856285038,0,0,0,-0.123637052165637,0,0,0,0,0,0,0,0.00640019145335065,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.200151471726757,0,-0.197014312843273,0,0,0,0.0343350962120391,0,0,0,0,0,0,0,0,0,0.057112080077315,0,0,-0.0850518157446275,0,0,0,0,0,0.184473237104182,0.00119708965492181,0,0,0,0,0,0.230535393514411,0,0,0,0,-1.38777878078145e-17,-6.93889390390723e-18,0,0,0,0,-8.67361737988404e-19,0,0,0.0952725671222632,-0.0101236170625685,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252022051501593,0,0,0,0,0,0.0887672827760822,0,0,0,0,0,0,0,0,0,0,0.0426891647438373,0,0,0.00599764338928655,0,0.0366066286620236,0,0,0,0,0,0,0.0280348752449748,0,0.0352137670678911,0.425292111233188,0,0,0,0,0,0.055663962393174,0.018869724973014,0,0,0,0,0,0
X000792.SZ,0,0,0,0.0723503656627261,0,0.25266452993859,0,0,0,0,0.106282788028233,0,0,0,0,0,0.0898871490872,0,0,0,0,0,0.0265915815182316,0,0,0,0,0,0,0,0,0,0,0,0.103726764825343,0,0,0,0,0.208437279606769,0,-0.0139562806003834,0,0,0,0,0,0,0.045576321695627,0,0,0,0,0,0,0,-0.023012841213481,0,0
X601898.SH,0.0696137766115666,0,0,0,0.0401960320067109,0,-0.0108806280265459,0,0,0,0.00750144636362796,-0.0329740642534876,0,0,0,-0.0166729294645578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356091215991765,0,-0.00765953759154433,0,0,0,0.167872351758672,0,0,-0.0128859737744345,0.016694005847437,0.261385036686819,0,-0.0640702520461738,0.179712792569433,0,0,0,0,0,0,0,0,-0.0268083182993941,0,0,0,0.0351955768225894,0,0
