,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X601898.SH,X601991.SH,X600188.SH,X600688.SH,X002466.SZ,X600660.SH,X600362.SH,X600547.SH,X300072.SZ,X600795.SH,X002460.SZ,X601992.SH,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000786.SZ,X600176.SH,X000792.SZ,X002271.SZ,X600027.SH,X600352.SH,X000709.SZ,X600299.SH,X600157.SH,X000553.SZ,X600489.SH,X000408.SZ,X601158.SH,X000825.SZ,X601699.SH,X600219.SH,X002470.SZ,X000883.SZ,X600549.SH,X000630.SZ,X600315.SH,X600808.SH,X600583.SH,X002092.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.364556872845702,0,0,0,0,0,0,0,0,0,0,0,0.0774101884442643,0,0,0.170959443791256,0,0.031710839738786,0.0622553646155673,0,0,0,0,0.00195680517806922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0169845300370319,0.0500958251561071,0.0462768696695,0,-0.00147903096909562,0.0150703017728528,0,0,0,0,0,0
X600028.SH,0.562418407095813,0,0.0978716209058964,0,0,0,0,0,0,0,1.73472347597681e-18,0.0642162355359902,0,0,0,0.164092345413728,-0.0114257868483119,0,0,0,0,0,0,0,0,0.0390231715783342,-0.00764374147989043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.186308338461358,0,0.0361765098532962,0,0,-0.0584537197148049,0.0321081446720543,0,0,0,0,0,0
X601088.SH,0,0.0747330524536544,0,0.279580927573549,0,0,0,0.0176869614453054,0,0,0,0,0,0.0522417330995261,0,0,0,0,0,0,0,0,-0.0656831190480984,0.0415097237255695,0,0,-0.0373251858953047,0,0,0,0,-0.114490190936252,0,0,0,0,0,0.00471531322009807,0.359790262197158,0,0,0,0,0,0,0,0,0,0,0.0258097766416552,-0.0236166118726503,0,0,0,0,0,0
X600019.SH,0,0,0.148180232097073,0,0.134675587140909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0828844555516043,0,0,0.286657993295167,0,-0.0255410927460449,-0.0253171127863077,0,0,0,0,0,0,0,0,0,0,0.0104841673683114,0.274618431677144,0,0,0,0,0,0,0,0,0,0,0.00794454233212773,-0.0287313561117129,0,0,0,0,0,0
X600585.SH,0,0,0,0.538893980211598,0,0,0,0,0,0,0.0051945599710908,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833714308904235,0.176875484276233,-0.165904192704501,0,0,-0.0170369419319251,0,0.223033296598505,0,0,0,0,0,0,0.22589534138571,0,0,0,0,0,0,0,0,0,0,-0.0474330650580716,0.0618093428160594,0.115146227954066,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0515172262685126,0,0,0,0,0,0,0,0,0.0736601937505123,-8.67361737988404e-19,0,0.0233396434078953,0,0,0,0.00387513993478398,0,0,0.166245877192511,0,0,0,0,0,0,0,0.00477296767588704,0,0,0.0951556303964836,0,0,0,0,0.159351588816575,0.0124656405028633,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.243193980534374,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0.0380708877476542,0,0,0,0,0,0.0782871305116387,0,0.0835328442841064,0.216247899652364,0,0,0,0,0.203164114123597,0,-0.0053924073577765,0,0,0.107640560681787,0,0,0,0,0,0,0,0,0,0,-0.0298999328335471,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,-0.194398097041441,0,0,0,0.496429771876339,0,0,0,-0.0500536821845142,0,-0.113468487870692,0,0,0,0,0,0,0,0,-0.377097742816127,0,0.475493576978904,0,-0.000919824392316141,0,0,0,-0.220463432600289,0,0,0,0,0,0,-0.559734288231073,0,-0.0982837792816114,0,0,0,0,0,0,0.0951618576633802,-0.206152561831203,-0.86404077121366,0,0,0,0,0
X601898.SH,0,0.0308875485955547,0,0,0,0,0,0,0,0,0.0983414230182858,0,0,0,0.330885572405489,0.00838466168416182,0,0,0,0.0227805680976699,0,0,0,0,0,0,0.0652556887105508,0,0,0,0,0,0,0,0,0,0,0,0,0,0.072226828764541,0,0.0841676259676897,0,0,0.0952511859646669,0.0268335045677641,0.0856368960048952,0,0,-0.00278870349484271,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.113603532468857,0,0,0,0,0,0.0293426177146955,0,0,0,0,0,0.0191545894919773,0,0.186294760819578,0,0,0,0,0,0.0401112277814971,0,-5.42101086242752e-20,0,0,0,0,0,0,0.0527312721787438,0,0.0209942067245862,0.0565196244337131,0,0,0,0.00326987540577533,0,0,0,0,0,0,0,-0.0213567081258754,0,0,0,0,0,0
