,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X002460.SZ,X000792.SZ,X600019.SH,X600111.SH,X002466.SZ,X601898.SH,X600011.SH,X002271.SZ,X000877.SZ,X600660.SH,X000708.SZ,X600010.SH,X600547.SH,X000301.SZ,X601600.SH,X600886.SH,X600176.SH,X600426.SH,X600362.SH,X600795.SH,X000786.SZ,X000983.SZ,X600096.SH,X600803.SH,X600801.SH,X000723.SZ,X601991.SH,X600486.SH,X601699.SH,X000408.SZ,X600027.SH,X600219.SH,X000932.SZ,X600141.SH,X600295.SH,X000807.SZ,X300073.SZ,X002080.SZ,X600489.SH,X000630.SZ,X600157.SH,X000830.SZ,X600352.SH,X600688.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.0693983040714817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0579096474280978,0,0,0.155053922953451,0,0,0,0.0962265306814905,0,0,0,0,0.097990304582552,0.00486115781995755,0.0427348841967493,0,0,0.166196771637205,0,0,0.0247879311312239,0,0,0,0,-0.0226675735584519,0,0,0,0,0,0
X601088.SH,0.151539173348287,0,0,0,0,0.244600605347496,0,0,0,0,0,0.273278186973357,0,0,0,-0.128641243921205,0,0,0,0,0,0,0,0,0,0.050913640618586,0,0,0,0,0,-0.115623861239854,0,0,0.101048190074213,0,0.0536546532715698,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0.0631425583482314,-0.0518142657780081,0,0,0,0,0,0
X600028.SH,0.0944181460361752,0,0,0,0,0,0,0,0,0,0,0.026730951234617,-0.066809537543715,0,0,0,0,0,0,0.047519314496269,0.0674610045634526,0,0,0.0568712742644825,0,0,0,0.011955111266527,0,0,0,0,0,0,0,0,0,0.0119354799432548,0,0,0,0.0375000919120559,0,0,0,0,0,0,0,0,0,-0.00691018234262438,-0.0111673131670737,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0.0179043479856437,0,0.0195374506793921,0.0874944149438022,0.0628879197275806,0.144239854170617,0,0,0.182670697403275,0,0,0,0,0,0,0,0,0,0.0838811420633672,0,0,0,0.0337622342863636,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0116266924564894,0,0,0,0,0,0,0,0,0.00239319110309344,0,0,0,0,0,0
X600585.SH,0,0,0,0.0637466211296801,0,0,0,-0.014880404780836,0,0,0,0,0,0.00125963111243418,0,0,0,0,0,0,0,0,0.095959021004667,0,0,0,0.0695728078575885,0,0,0,0.362390346353779,0,0,0,0,0,0.0347878261786895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312267964117296,0.0162205192580046,0,0,0,0,0,0
X600188.SH,0,0.957156133537678,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,-0.0130121521130919,0,0,0,0,0,0,0.319903106207131,0,0,0,0.14472211638234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807095685968158,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0792806979659161,0.0771652541752408,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.0615980436028474,0,0.278237533841451,0.453142026988368,0,0,0,0,0,0,0,0,0,0,-0.0961018917219348,0,0,0,0,-0.0266762712773029,0,0,0,0,0,0,0,0,0,0,0,0.0212320131485269,0,0.0144840696608164,0,0.184684742299957,0,0,0,0,-0.0436151582541631,0,0,0,-0.0909005659796532,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.0111179704664757,0,0,0,0,0.349066975516213,0,0,-0.0802743415111471,-0.0271736716410173,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0367870579313951,0.0598943706332336,0,0,0,0.0144130020757104,0,0,0,0,0,0.299174701421524,0,0,0.0822923048807583,0,0,0.219341157467276,0,0,0,0,0,0,-0.00890803168547149,-0.0755901089901403,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0274300472742095,0,0,0,0,0,-2.16840434497101e-19,0.0492597688192125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00215426147002506,-0.00189543136588724,0,0.0746223341558912,0,0,-0.107554116579639,0,0,0,0,0.586899098367143,0,0.024761566201072,0,0,0,0,0,0,0.0144323909600075,0,0,0,-0.0286998069601762,0,0,0,0,0,0,0
X600111.SH,0,-0.092203369428736,0,0,0,0,0.31903050638448,0,0,0,0,0,0,0,0,0,0,0.376824010387161,0,0.0345172508184971,0,0,0,0,0,0,0,0,0,0,0,0.0118936600681791,0,0,0,0,0,0,0,0,-0.0581291366250505,0.129295029521688,0,0.115319747467893,0,0,0,0,0,0,0,0,0.0496782149005435,0,0,0,0,0,0
