,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600547.SH,X600688.SH,X600188.SH,X600795.SH,X601600.SH,X300072.SZ,X601991.SH,X600157.SH,X600027.SH,X600362.SH,X600309.SH,X600111.SH,X600886.SH,X601992.SH,X600660.SH,X600489.SH,X600623.SH,X002466.SZ,X601158.SH,X600299.SH,X000723.SZ,X000792.SZ,X002075.SZ,X000709.SZ,X000408.SZ,X000898.SZ,X000959.SZ,X600583.SH,X000983.SZ,X000883.SZ,X600352.SH,X600549.SH,X000539.SZ,X600176.SH,X000027.SZ,X000630.SZ,X600758.SH,X600021.SH,X601699.SH,X600126.SH,X002470.SZ,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0344392316500338,0,0,0.043630308877185,0,0,0,0.00298546003972753,0,0,0,0.0203940237673216,0.018789897768296,0,0,0,0,0,0,0,0,0.00015502832667226,0,0,0,0.0379224909951824,0.018326133017799,0,-0.00101935520449804,0,0,0,0,0.0526600074872677,0,0,0,0,0.00927676452409203,0,2.16840434497101e-19,0.00312171276011644,0.0282779934171286,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.00432457283397963,0,0,0.0619637068830924,0,0.00608943102671691,0,0.0140076189213196,0,0,0.0767766527541202,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133664946299271,0,0,0,0,-0.0118596833413744,0,0,0,0,0.0896892503871654,0,0,0,0,0,0,0,0,0,0,0,0,0.0697142188112377,0,-0.023161028854369,0.0287251532539679,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,-0.0171831426645236,0.194449554829028,0,0.162061122956106,0.0289305616507612,0,0,0.0111028615615798,0,0,0,0,0.0589710537572558,0,0,0.0838910792805029,0,0.0117205907732161,0,0.0418462758236117,0,0,0.0435802471933977,0,0,2.16840434497101e-19,0,0,0.039087649561621,0,3.46944695195361e-18,0,0,-0.0353473460181643,0,0,0,0,0,0,0,0.0533387969284852,0,-0.0586094493905415,0,0.00253980612751689,0,0,0,0,0.145375547631388,0,0
X600011.SH,0,0,0,0,0,0,0.0197356032248583,0,0,0,0.0746204655859351,0,0,0.0420896026162711,0,0,0.0572541789981425,0,0.0517770536759168,0,0.142407962605202,0,0,0.0142111703284419,-0.0242332061337,0,-0.0440522241322834,-0.171427820709581,0,0,-0.0128258463096913,0,0,0,-0.0398365371384544,0,0,0,0.225242136539395,0,0,0,0,0,0.0122282032386014,0,0,0.0476286721115093,0,-0.0663420639166478,0,0,0.00604798604295006,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0273987570189494,0,0,0,0,0,0.10718616114354,0.115844016193747,0,0,0,0,0,0,0,0,0.178289057294308,0,0,0,0,0.0133815771839285,0,0.0972779196617598,0,0,0.0788993010890271,0,0,0,0,0,0,0,0.0111518187341592,0,0,0,0,-0.0153816918659425,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.344456836037099,0,0,0,0,0,0,-0.0358810604205836,0,0,0,0,0.088599497075431,0,0,0,0,0,0,0.109637542546909,0.0210647535914747,0,0.0210665096787543,0,0,0,0.0976139235894282,0,0.141494324478049,0,-0.135420306274985,0,0,0,0,0,0,0,-0.0346888746920824,0,0,0.0476627877246591,0,0,0,0.0461822756036529,-0.133978005157068,-0.115939315719609,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.025482931566026,0,0,0,0,0.136609859329225,0,0,0.103925814100614,0,0,0,0,0.0667123726471672,0,0,0.0711739252577356,0.0253431757316888,0,0,0,0,0,0.082000738171069,0,-0.226275631466043,0,0,0.135550437119248,0.0203448290836234,0,0,0,0.217115512685486,0,0,0,0,0,0.0398867949453589,0,0.0271341666273731,0,0,0,0,0.109453562355245,-0.0623336769741134,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0621570456733336,0,0,0,0,0,0,0,0,0,0.0672028366829573,0.0453843583369232,0,0.0577777855315715,0,0,0,0,0,0,0,0.00756512128061441,0,0,0,0,-0.208927020345577,0,0,0,0,0.00775024097287995,0,0.317157531852343,0.0270484775003984,0,0.251590772715259,0,0.0508811351706435,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.0280066031810647,0,0,0,0,-0.0261588213869285,0,0,0,0,0,0,0,0,0,0,0,0,0.934580986955504,-6.93889390390723e-18,0,0,0,0,-0.189146148228782,-0.0346161341747404,0,-0.0407881832221813,0.162773606882304,0,0,0,0,0,0,0,0.121494848260885,0,0,0.0430537199005212,-0.606618426109714,-0.0762014382838665,0,0.128163186031186,0.0688906773720552,0,0,0.0466977885815666,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425967845380948,0,0,0,0.0839771903178842,0,0,0,0,0,0.107607402578946,0,0,0.0203186761871046,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.100528266849062,0,0,0,0,0,0.243010317519057,0,5.42101086242752e-20,0,0,0.0407993150363674,0.126348221525522,0,0,0,-0.00939591408489586,0,0,0,0,0,0
