,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X000792.SZ,X600111.SH,X000301.SZ,X601600.SH,X002466.SZ,X600010.SH,X600188.SH,X000708.SZ,X601898.SH,X600660.SH,X600011.SH,X002271.SZ,X600362.SH,X600547.SH,X600176.SH,X600426.SH,X002080.SZ,X600886.SH,X000825.SZ,X000807.SZ,X000408.SZ,X600219.SH,X600141.SH,X600096.SH,X600803.SH,X300037.SZ,X000959.SZ,X002326.SZ,X000786.SZ,X601991.SH,X000932.SZ,X000898.SZ,X600295.SH,X600795.SH,X000983.SZ,X600352.SH,X600801.SH,X600688.SH,X000723.SZ,X000630.SZ,X600516.SH,X601699.SH,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.00264235278383462,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403391603018985,0.0190062140526249,-0.0250600279301047,0,0,0.0105563159845425,-0.0446554252450868,0,0,0,0,0,0,0,0.046036142456459,0,0.0282653879886221,0,0,0,0.0711599245423934,0,0,0,0,0,-0.0316498015447339,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,-0.0318607996890539,0,0,0,0.0472853063480219,0,-0.0149540825898914,0,0,0,0,0,0,0,0.0620577863316416,0,0,0,0,0,0.0390918687540244,0.072559051342739,-0.0187551125120642,0,0,0,-0.0102982698538489,0,0,0,0,0,0,0,0.0354810692414489,0,0.0225391616147235,0,0,0.129246576429894,0.00640592080880032,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0.0245578872351839,0,0,0,0,0,0,0.0237771045426754,0,0.0377169150662289,0,0,0,0,0,0,0,0,0,0,0,-0.0730730094608635,0,0,0,0.0776175863349055,-0.116524893337039,0,0,0,0,0.148936498069596,0,0.0921966434836044,0,0.169978051472757,0,0,0,0.0896836590785102,0,0,0,0,0,0.015644330984584,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.137344806941306,0.0272908269153364,0,-3.46944695195361e-18,0,-0.11881856429427,0,0,0,0,0,0,0,0.00992883374596663,0.168961336273686,0,0.163947504061632,0,0,0,0,0,-0.00638471753708022,0,0.0270074948932498,0,-0.00887527912076574,0,0,0,0,0,0,-0.0681053397895332,0,0,0,-0.0209688578037298,0,0,0,0.0530241089765499,0,0,-0.00635724712641391,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,-0.051742533871045,0,0,0,0,0.0302982622275486,0.0590153981554552,0.0119149431952208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0565130114041077,0,0,0,0,0.0415191912389916,0.00707664474529822,0.0841805957925973,0,0,0,0,0,0,0,0.583444302882021,0,-0.077126830799544,0,-0.13516025719835,0.00629862570967199,0,0,0.00892303955259416,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.0392473507624824,0,0.00975763965370023,0,0,0.400706139472144,0,0,-0.206523647921611,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.151703628081058,0,0,0.047922063872528,0,0.181496051260521,0,0,0,0.203460678264721,0.0683120826732324,0,0,0,0,0.011123036681526,0,0,0,0,0,0,0.132287042155634,-0.107164807462557,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0404402379420151,0,0.0314117205475567,0,0,0,0,0,0,0,0,0,0,0.0022173300377986,0,0,-1.73472347597681e-18,-1.73472347597681e-18,0,0,-0.0618747563960053,0,0,0,0,0,0.526901062194412,0,0,0.0376103331902828,0,0,0,0,0,0,0,0.0238535820083915,0,-0.0265653169208442,0,0,0,0,-0.148344269015209,0,0
X000792.SZ,0,0,0,0,0,0.0235100245492926,0,0,0,0.0490347347447052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.192102491255165,2.16840434497101e-19,0.226444407916236,0,0,0,0,0,0,0.0189382805615127,0,0,0,0,0.137953141709082,0,0.147374528098523,0,0,0,-0.31013882594305,0,0,0,-0.000353602903855702,0,1.73472347597681e-18,0.122361572910955,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.233526817950491,-0.292243213459232,0,0,0.0564174469103151,0,0,0.278732653511069,0.0986898394393641,0,0,0,0,0,0,0,0,0.0717679368288789,0,0,0,0.00629124536329559,0.219348336895883,0,0,0,0,0.0910080414587678,0,0,0,0,0,0,-3.46944695195361e-18,0,0.033464697939362,-0.324569361200763,0,0,0,0,0,0,0,0,0,0.00626123108561784,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,-0.0661795076356366,0,0,0,0,0,0,-0.122653893244141,0,0,0,0,0,0,0,0,0,0,0.175860139707759,0,0,0,0.394389849069624,0,0.119269322238871,0.0293127104815,0.040786279419741,0,0,0,0,0,0,0,0,0,0.181833074835732,0,0.0885241347520321,0,0,0,0,0.111294910573036,-0.134067153381076,0,0,0,0,0,0
