,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600011.SH,X002460.SZ,X600886.SH,X601898.SH,X600010.SH,X002271.SZ,X000792.SZ,X601600.SH,X600801.SH,X600660.SH,X600688.SH,X600362.SH,X600188.SH,X000786.SZ,X600795.SH,X600352.SH,X601991.SH,X601992.SH,X600027.SH,X600111.SH,X600299.SH,X002466.SZ,X600176.SH,X000723.SZ,X600489.SH,X600426.SH,X000401.SZ,X000898.SZ,X600516.SH,X601158.SH,X600219.SH,X000553.SZ,X000932.SZ,X002353.SZ,X000883.SZ,X600583.SH,X600126.SH,X000709.SZ,X002075.SZ,X600486.SH,X000027.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.242528270865999,0,0,0,0.125770033575419,0,0,0.135754169602479,0,0,0,0,0,0,0,0,0,0.0115108926405231,0.0208351935183638,0,0,0.135067176910751,0,0,0,0,0,0,0,0,0,0.113292748845753,0,0,0,0,0,0,0,0,0.0223485033421289,4.33680868994202e-19,0,0,0,0,0,0
X600028.SH,0.111693375101677,0,0,0,0,0,0,0,0.0368298354074022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239413939063105,0,0,0,0,0,0,0.0432758539201349,0,0,0,0.178337349982326,0,0,0,0.0902300140392813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,1.73472347597681e-18,0,0,0.472151148610038,0,0,0,0,0,0,0,0,0,0,0,0.102513906893004,0,0,0,0,0,0.0137202605173279,0,0,0.0608933892084367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0112111005761371,0,0,0,0,-0.0179125513601619,0.0409762261524352,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.055571779380925,0,0,0,0.0331071170309652,0.055400066497128,0,0,0,0,0,0.446764486124877,0,0,0.0950690733030784,0,0.0169910374219699,0,0,0,0,0,0,0,0.000917964575623435,0,0,0,0,0.0976778264904883,0,0,0,0,0,0,0,0,0,0,0,-0.0304395761620189,0,0,0,0,0.0103492291728208,0,0,0,0,0,0,0
X600309.SH,0,0,0,0.0398393597322176,0,0,0,0,0,1.38777878078145e-17,0.0803287228788703,0,0,0,0,0,0,0,-0.0341188236912736,0.0409573836325816,0,0,0,0.162353028147264,0,0,0,0,0,0.100148526890891,0.160238033367359,0,0,0,0,0,0.0930201906280066,0,0,0,0,0,0,0,0,0,0,0.105564022235399,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0775436854817299,0.00702925742262302,0,0,0,0,0,0,0,0,0,0.0391878153550278,0.358985857597191,0,0.0609789072034792,0,0,0,0,0.11531949048655,0,0.0604162706461184,0.0371138613756002,0,0,0,0,0.0752434030154266,0,0,0,0.0480499623327784,0,0,0,0,0,0,0,0,0,0,0,0,0.0049417032668205,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,-0.0148664327021592,0,-0.0108299225855516,0,0,0,0,0,0,0,0,0.125351060683314,0,0,0.0202551950325377,0,0,0,0,0,0,0,-0.00528896397178423,0,-0.00794046578869194,1.05507356547182,0,0,0,0,0,0,0.0312565074924553,0,0,0,-0.133445578121269,0,0,0,0,0,0,0,0.0439431769658612,0.0209086581338662,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,-0.0102381853853221,0,0,0,0,0.231793415020927,0,0,0,0,0,0,0,0,0.00109721131278753,0,0,0,0,0.225760337066879,-0.0141409857192663,0.315810635179555,0,0,0,0.151290728061723,0,0,0,0,0,0,0,0,0,0.170303563785039,0,-0.015280146723309,0.0864128641159437,0,0,-0.195404963269946,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0104263853793964,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0863273246467688,0,0,0,0,0,0.629108771245406,0,-6.93889390390723e-18,0,0,0.0132726461749496,0,0,0,0,0,0,0,0.178813769411303,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,-0.0404106103617711,0.0107295822818663,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0.0332147814859965,0,0,0,0,0,0,0,0,0,-0.031695664940041,0,0,0,-0.089249609771333,0,0,0.200727771589548,0,0,0,0,0,0,0,0.275366190416218,0,0.0958489476071079,0,0,0,0,0,0,0,0,0,0.236400094334671,0,0.227302491615969,0,0,0.112488836692891,0.119911692880378,0,0,0,-0.037943466929607,0.00466046039099255,-0.757657643142952,0,0,0,0,0
