,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X600886.SH,X601898.SH,X601600.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X600188.SH,X600688.SH,X600352.SH,X600111.SH,X600801.SH,X000723.SZ,X600027.SH,X601992.SH,X600489.SH,X000786.SZ,X002271.SZ,X000898.SZ,X600176.SH,X600612.SH,X600516.SH,X600299.SH,X600426.SH,X000709.SZ,X002460.SZ,X601158.SH,X000883.SZ,X002466.SZ,X000629.SZ,X600219.SH,X002353.SZ,X600583.SH,X000630.SZ,X000027.SZ,X000553.SZ,X600315.SH,X601699.SH,X600985.SH,X000825.SZ,X600578.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785467267439967,0.0279941143044956,-0.00608698011918152,0,0.0344946348782243,0,0,0,0,0,0,0.0329750003405679,0,0.0547999878964804,0.0626561032253954,0,0,0.0235254400572697,0,0,0,0.0728600618090164,0,0.0305747667127936,0.0710281106683028,0,0,0,0,0,0,0,0,0,-0.00515675938004026,0.00587057698429033,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.0827011822014565,0,0.0131876618364076,0,0,0,0,0,0,0,0,0,0.11352851351344,0,0.000727188390057421,-0.0531693644165687,0,0.00633052027130696,0.00932419766193096,3.46944695195361e-18,0,0.0541416699610812,0,0,0.0301367428687492,0,0.00292148129810504,0.0438579121844413,0,0,0,0,0,0,0,0,0.0342349743820409,0,0,0.00743043939533381,0,0,0,0,0,0,0,-0.0229447459628922,0.0212834777536643,0,0,0,0,0,0
X601088.SH,0,0,0,0.209645725498639,0.0394106104828796,0,0.0206520709802342,0,0,0,0.0738774872593798,0,0,0,0,0,0.129183907529591,0,0.0437630570761952,-0.0366582315602364,0,0,0,0,0,0,0.0455259077719278,0,0,0,0,0,0,0,0,0,0.171250154823621,0,0,0,-0.121061228056143,0,0,0,0,0,0,0,0,0,0,0,0.0264580044977461,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,-0.0485222567684093,0,0,0,0,0,0,0,0.0962654206718689,0,0.398755279885474,0,0,0,0,0,0.255582182153316,0,0,0,0,0,0,0,0,0,0,0,0.024683591060819,0,0,0,0,0,0,0,-0.0642386045208954,0.0160282718239451,0,-0.0056870520634568,0,-0.0162057952252428,0.0129120004606753,0,0,0,0.0251576978239194,0,0
X600309.SH,0,0,0,0,0,0,-0.0258200042919742,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0.0714722862535932,0,0,0,0,0,0,0,0,0.238028271426523,0,0,0,0.0546111988811433,0,0,0,0,0,0,0,0.184457582211397,0,0.323367588295845,-0.0138569721369869,0,0,0,0,0,-0.0117069893280005,0.0416310789241967,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0498430356144134,0,4.33680868994202e-19,-0.0859747879839623,0,0,0,0,0.123260848090843,0,0,0,0,0,0.122750718885438,0,0,0,0,0,0.0089115541475295,0,0,0.00264726855160103,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0.0629741052136536,0,0,0,0,0,0.108551195422102,0,0,0,0,0,0,-0.0132418680491959,0.0251872278633513,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.293121491834272,0,0,0,0,0,0,0,-0.168590004555908,0,0,0,0.672111281192629,0,0,0,0,0.104311473402994,0,0,0,0,-0.00857662681313074,0,0.138537893698304,-0.00249943461084457,0,0,-0.09041538952275,0,0,0,0,-0.187957504761827,0,0,0,0,0,-0.0408786445183213,0.0219207525696711,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.0491794836572671,0,0,0,0,0,0,0,0,0,0,0,-0.0558362532793077,0,0.0907950089590017,0,0.342892697433179,8.67361737988404e-19,0,0,0,0,0,-0.000698111000713757,0,-3.46944695195361e-18,0,0,0,0.0227061500109999,0,0.0667633457645263,0.11108605568452,0,0.0848943774489806,0,0,0,0,0,0,-0.264942221433479,0,0,0.169364463546381,0,0,0,0,0,0.0521603970702579,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0.0301127101513959,0,0,0,0,0,0,0,0,0.0310845001816793,0,0.0976830126676447,0,0,0,0,0,0,0,0,0.0700587728463231,0,0,0,0,0,0,0,0,0,0,0,0.0471096323183059,0,0.0823375757401155,0,0,0.17521897073067,0.132740269660979,0,0,0.0168861332996412,-0.017209115616843,0,0,0,0,0,0
X600886.SH,0,0,0,0.0513096364910993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482785507539169,0,0,-0.00940344355743016,0.122130689668999,0,0,0,0.165018785416129,-0.181255515924629,0,0,0,0.389992092736347,0,0,0,0,0,0.0238105066986152,0,0,0,0,0.0299550498444993,0,8.67361737988404e-19,0,0,0,0.0130375671583218,-0.013878905571071,0,0,0,-1.73472347597681e-18,0,0
