,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600019.SH,X600585.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X000301.SZ,X600010.SH,X000708.SZ,X002271.SZ,X000877.SZ,X600795.SH,X600362.SH,X600426.SH,X600027.SH,X601991.SH,X600803.SH,X600176.SH,X601699.SH,X600489.SH,X000983.SZ,X000807.SZ,X000786.SZ,X600995.SH,X600160.SH,X600219.SH,X600688.SH,X000629.SZ,X600612.SH,X000408.SZ,X002080.SZ,X300037.SZ,X000933.SZ,X000932.SZ,X600096.SH,X000723.SZ,X600157.SH,X000630.SZ,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.120344813009529,0,0,0,0,0.111784702441371,0,0,0,0,0,0,0.0734285713372294,0,0,0,0,0,0,0,0,0,0.0233032345086449,0,-0.0844978741592076,0,0.0700438597759004,0,0.017297180102823,0,8.67361737988404e-19,0,0.131888754962556,0,0,0,0.0917045311433001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456464857493563,-0.0185979091282347,0,0,0,0,0,0
X600028.SH,0.523518843620737,0,0,0,-0.170093840429491,0,0,0,0,0,0.139205659073381,0,0,0.0802229907860861,0,0,0,0,0,0,-0.0152725419277446,-0.0615412992336647,0,0,0.109836460294315,0,0.0544468967805321,0,-0.0182754679351305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0361755747066502,0,0,0.00989528589253457,-0.0565419865235966,0,0,0,0,0,0
X601088.SH,0,0.125294524815777,0,0,-0.21272958711188,0,0,0,0,0,0.301974637828031,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0103316434954027,0,0.0162493004761447,0,0,0.0505174630663256,0,0,0,0.0266833670636513,0,-0.00204467237833219,0,0,0,0,0,0,0,0.185734500223242,0.108768572800727,0,0,0,0,0,0,0,-0.0152658019842308,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.0337929115527833,0,0,0,0,0,-0.0843432623378055,0,0,0,0,0,0,0,0,0,-0.11943089885886,0,0,0.256453328839267,0,0,0,0,0,0,0,0.134805201300942,-0.0161350599507571,0,0,0,0,0,0.0470110305699501,-0.0480379508141083,0,0,0,0,0,0,0,0,0,0,0.0269224247990477,0.0109736918947166,0,0,0,0,0,0
X600188.SH,0.122806283841531,0,0,0,0,0,0,0,0,0,0.0551560585725156,0,-0.116306574085402,0,0,0,0,0,0,0,0.0717510735928705,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.224164120614679,-0.0232954107139939,0,0,0,0,0.301090691825029,0,-0.00333879295087581,-0.0278434436273913,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,-0.0241898801183176,0,0,0.0808032009099979,0,0,0,0,0,0,-0.109722032115507,-0.0718820465027938,0,0,0,0.433367453907085,0.10475953090965,0,0,0,0,-0.159051779038503,0,0.0937373520971982,0,0,0,0,0,-0.21575214975509,0,0.078018383256982,0.0288794786702551,-0.0293461505228822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0.0537823847205417,0.296322734481009,0,0,0,-0.0895018194125083,0,0,0,0,0,0,0,0.00399406123755491,0,0,0,0,0,0,0.118084478242786,0.0690783591680949,0.177396551042493,0,0,0,0,0,0.118629081434697,0,0.0517778407632435,0,0,0,0,0.0883540745603059,0,0,0,-0.00772519884804756,0,-0.0785874926125984,0,0.0503692897421913,0,0,0,0,0,0,0,0.0103195061592653,-0.0248726063976686,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0184959267101432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166849970124207,0.246450640382501,0,0,0,0.0034003597144287,0.00393988107496327,0,0.0872804096150346,0,-0.0250229860369712,0,0.0151089718381153,0,0,0,0,0,0,0,-0.0752519832262285,0,0,0.0815196738137567,0,0,0,0,0,0,0,0.0107985144013433,0.00839177181473348,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.627313328398503,0,-0.00300677696738419,0,0,-0.0789094920675658,0,0,0,0,0,0,0.218266483967066,0,0,0,-0.051575733253667,0,0,0,0,0,0,0,-0.0287974833486544,0,0,0,0,0,-0.0421020619316798,0.0683761802336469,0,0,0,0,0,0,0,0,0,0,-0.00540933169473806,0,0,0,0,0,0,0
X002466.SZ,0,-0.0652886003600363,0,-0.0494119851608312,0,0,0,0,0.352794737206089,0,0,0,0,0,0,0,0,0,0,0,0.234357791083139,0,0,0,0,0,0,0,0,0,0,0,0,-0.115649637250587,0,0.00296715257144545,0,0,0,0,0,0.0567631856302143,0.0939018293285351,0.0283301842787122,0,0,0.368391007393005,0,0,0,-0.0597078396853414,-0.0327128595397569,0,0,0.37443784155443,0,0,0,0
