,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X000723.SZ,X600352.SH,X601991.SH,X600660.SH,X600688.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X600801.SH,X601992.SH,X600027.SH,X600111.SH,X000898.SZ,X600176.SH,X000786.SZ,X600516.SH,X002466.SZ,X000709.SZ,X002460.SZ,X002271.SZ,X600299.SH,X600489.SH,X000629.SZ,X601158.SH,X002110.SZ,X600219.SH,X000990.SZ,X600808.SH,X000883.SZ,X600985.SH,X000553.SZ,X000630.SZ,X000027.SZ,X600583.SH,X000825.SZ,X600157.SH,X600339.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0310051919612973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115656376549573,0.0596248469311928,0,0,0.0504763745450429,0,0,0,0,0,0,0.0226556755093488,0,0,0,0,0,0,0,0,0,0,0.111151198430822,0,0,0.0085895043216666,0,0,0.00455260023956944,0.065237354644467,0,0,0,-0.00684495972850605,0,0,0,0,0,0
X600028.SH,0,0,0.109883988255544,0,0,0.00640919368006921,0,0,0,0.0952912363890458,0,0,0,0,0,0,0,0,0,0,0.0530708512430978,0,0,0,0,0,0,0,0,0,0,0.0670750711333326,0,0,0,0,0,0,0.0278733134436564,0,0,0,0,0.0513380849993625,0,0,0,0.00720269161381137,0.0667123383625263,0,0,0,-0.0231014995012853,0,0,0,0,0,0
X601088.SH,0,0,0,0.269525842767378,0,0,0,0,0,0.0423792468981292,0,0,-0.185117161639993,0,0,0,0.093557029229709,0,0,0,0.109655084846521,0.0841525513304639,0,0.0675085938464073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177284546933016,0,0,0,0.0169144372831357,-0.0259882201525576,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.146778887101064,0,0,0,0,0,0,-0.0218849441449865,0,0,0,0,0,0,0,0.494487470422837,0,0,0,0,0,0,0,0,0,0,0,-0.0376916863641731,0,0,0,0.0379663891109807,0,-0.00182012455855996,0,0,0,0,0,0,0,0,-0.00579151796640859,0,0,0,-0.014965391636109,0.00408421051090042,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.010506482033249,0,0.0545977241493626,0,0,0,0,0.0759807063509788,0,0,0,0.167497800025354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0896526730805293,0,0,0,0,0,0.126212258626377,0,0,0,0.0050292990321048,8.67361737988404e-19,0,0,0,0.0111086194441418,0,0
X600309.SH,0,0,0,0.173831340312046,0,0,0,0,0,0,0,0,0.137290599612203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133863923387251,0.00323186152182303,0,0,0,0,0,0,0,0,0.215211380002368,-0.0775599414533026,0.145976905877044,0,0,0,0,0,0,0,0,0,0,0,0,0.0492510341638397,-0.0877058369862855,0,-0.0323144047257315,0,-0.0798777192634413,0,0
X600011.SH,0,0,0,0,0,0.00964383474258456,0,0,0,0.0162377632094221,0,0,0.154212932127328,0,0,0,0,0,0,0,0,0,0.229556335084621,0,0,0,0,0,0,0,-0.0559939737209992,0,0,0,0.106027917292663,0,0,0,-0.0668355182348686,0,0,0.00127602614945751,0,0.0540572549862176,0,0,0,0.0153007072317281,0,0,0,0.0273565877363729,0,0,0,0,0.000605878600452412,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0.0245824871845188,0,0,0.0285964963296511,0,0,0,0,0,0,0.0779626636164675,0,0,0,0.193592353946965,0,0,0,0,0,0,0.0356804327132691,0,0,0,0.19547600648783,0,0,0.198856643146718,-0.0226763241681324,0,0,0,0,0,0.00565362721068263,0,0,0.139982609622578,0,0,0,0,-0.00656791276089419,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0511835816088526,0.00988259058658055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125152454281726,0.609990806732215,0,0,0,0,0.0422776035679744,0,0,-0.00346243735580507,0.00339411853756461,0,-0.0363448403192448,0,0,0.0582860081526331,0,0,0,-0.0209149212483585,0,0.0620021419765854,0,0,0.0439881043944877,0,0
X601600.SH,0,0,0,0,0,0,0,0.268831354901543,0,0,0,0.00309603417967277,0,0,0,0,0,0,0,0,0.0219978232752164,0,0,0.0503513898866928,0,0,0,0,0,0,0.028913104216749,0,0,0,0,0,0,0.305221945223373,0,0,0,0.0777436228908587,0.0768732104100618,0,0,0,0,0.0282217927271225,0,0,0,-0.0182695576406517,4.33680868994202e-19,0,0,0,0.0039337791002515,0,0
