,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X600188.SH,X600010.SH,X601600.SH,X000301.SZ,X600011.SH,X601898.SH,X600660.SH,X002271.SZ,X000708.SZ,X600547.SH,X600886.SH,X600362.SH,X600176.SH,X600426.SH,X601991.SH,X300037.SZ,X002080.SZ,X600795.SH,X000825.SZ,X000786.SZ,X600803.SH,X600219.SH,X600295.SH,X000408.SZ,X000959.SZ,X000983.SZ,X600027.SH,X000807.SZ,X600688.SH,X600141.SH,X002353.SZ,X000932.SZ,X000723.SZ,X002326.SZ,X000027.SZ,X000898.SZ,X600352.SH,X600096.SH,X600157.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.593044748725289,0,0,0,0,0,0,0,0,0.0721690146129898,0,0,0,0,0,0,0,0,0,0,0,0,0.0192918650474692,0,0,0,0,0,0,0,0,0.0330622635509843,0,0,0,0,0,0,0,0.0508813714458299,0,0.0285432992385857,0.0263929435116805,0,0,0,0.0284288243461213,0,0.00438656932038428,0,-0.0175412211797477,0,0,0,0,0,0,0
X600028.SH,0.0605153685582482,0,0,0,0,0,0,0,0,-0.00390995653384004,0,0,0,0.0355833709522945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14921607955438,0,0,0,0,0,0,0.0571836061513344,0.0728626922004288,0,0,0,0,0,0,0,0,0.104618385339324,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0404752408466031,0,0,0,0,0.0809927664984055,0,0,0,0,0,0,0,0,0,-0.0957052194691196,0,0,0,0,0.0469850135901241,0,0.101827793173625,-0.0475759824336219,0,0.152290506990402,0,0,0.0387138800700835,0,0,0.179426325343487,0.0913259560345216,-0.00569345615800722,0,0,0,-0.0228879894705816,0,0,0,0,0.00432729600463289,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.0553874922017965,-0.0033422906996146,0,0,0,0,0,0,-0.00166534437446512,0,0,0,0,0.252072936372431,0,0.0927349515392397,0.0106725234913684,0,0,0,0,0,0,0,-1.73472347597681e-18,-0.0261450756507893,0,0,0,0,0,0,0,0,0.0338901591868649,0,0,-0.00684988965156754,0,0,0,0,-0.0101585784842854,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.0274486407247988,0,0.123709922959132,0.693735633181028,0,0,0,0,-0.0242302044411216,0,0,0,-0.0582098358933813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0885535980883599,0,0,-0.0306843286978594,0,0,0,0.0113722896419129,0,0,0,0,0,0,0,0,0,0,0,0,-0.0837853705394364,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.155409021136186,0,0,0.110383441359766,0,0,0.0732146829183699,0,0,0,0,0,0,0.189174837048092,0,0,0.160882128553677,0,0,-6.93889390390723e-18,0,0,0,0,0,0.157070140174507,0,0,0,0.0881930888960374,0.00965073956842434,0,0,0,0,0,0,0.101973582513498,0,0,0,0,0.219367631438088,0,0,0,0,0,0.0457613872148712,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.00711085870298894,0,0,0,0,0,0,0,0,0,0,0,0,0.0117893227565138,0,0,0,0,0,0,-0.0386704469850094,0,0,0,0,0,0.0387381094452892,0,0,0,0.0578483316063712,0,0,0,-0.00141014690836529,0,0,0,0,0,0.558265971719217,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,-0.0479956122611972,0,0
X000792.SZ,0,0,0,-0.0335472059301021,0.0510079189035765,0,0,0,0,0,0,0,0,0.0141319046452719,0,-0.140252758475735,0,0,0,0,0,0,0,0,0,0,0,0,-0.0730962775510535,0,0,0,0.0827493356038282,0.23375963557569,0,0.162473691205694,0,0,0,0.0156028916638049,0,0,-0.278248163458722,0,0,0,0,0,-0.048771843560021,0,0,0,0.0864469660803892,0,0,0,-0.149606994361882,0,0
X600111.SH,0,0,0,0,0.206761892527127,0,0,0,0,0.126699735618243,0.00632318104046422,0.278018176420273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154080094928965,0.297490405728431,0,0.168611102107775,0,0,0,0,0,0,0,0.104611828322139,0,0,-0.394942185172648,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.379479096957286,0,0,0,0.275553956528902,0,8.67361737988404e-19,0,0.171091105938027,0,0,0,0,0,-0.0179810853738994,0,0,0,0,0,0,-0.0326543299876697,0,0,0,0,0,0,0.032719470905099,0.182703044310784,0,-0.0339187520411377,0,0,0,0,0,0,0,0.148157599683568,0,0,0,-0.0347889751683218,0,0,0,0,-0.0251340600074657,0,0,0,0,0,0
