,X601857.SH,X600028.SH,X601088.SH,X600010.SH,X600011.SH,X600019.SH,X601898.SH,X600585.SH,X600795.SH,X601600.SH,X601991.SH,X600157.SH,X600688.SH,X600362.SH,X600111.SH,X600886.SH,X600188.SH,X600027.SH,X000027.SZ,X000883.SZ,X600583.SH,X601158.SH,X600021.SH,X600352.SH,X601992.SH,X000539.SZ,X000709.SZ,X600309.SH,X000060.SZ,X000898.SZ,X600307.SH,X000792.SZ,X600808.SH,X600098.SH,X000629.SZ,X000825.SZ,X600489.SH,X002075.SZ,X002470.SZ,X600547.SH,X600008.SH,X600660.SH,X002353.SZ,X600578.SH,X600863.SH,X000831.SZ,X600549.SH,X600219.SH,X601699.SH,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.733078833921025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328843623975994,0,0,0,0,0,0,0.143753247986557,0.0513218863652752,0,0,0,0,0,0,0,0,0.0388617025418084,0.0148674893959665,0,0,0,0,0,0,0,0,0,0,0,0,0.00615907767122841,0.0033716276915714,0,0,0,0,0,0
X600028.SH,0.574824895853581,0,0,0,0,0.0329404639953723,0.098273405990077,0,0,0,0,0.0574723507028076,0,0,0,0,0,0,0,0,0,0,0,0,0.0531913742292872,0,0,0,0,0,0,0,0,0,0,0,0,0.00782302474881594,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00534148463313098,0.0103795178670154,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0110039970889432,0.179489802160715,0,0,0.0612567345622059,0,0,0,0,0,0.0653647472567245,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0.00766745772961533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10347051263122,0.0034323119042915,0.174883188526704,0,0,-0.01502200039574,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.00114271604425197,6.93889390390723e-18,0,0,0.0374507496151181,0,0,0,0,0,0.121091238695244,0,0,0,0,0,0,0,0.18897962101735,0,0.0697079714412547,0,0,0,0.0600018592181116,0,0,0,0,-0.0845565307560527,0,0,0,0,0,0.157724143362324,0,0.215022060391306,0,0,0,0,0,0.0233864405532771,0.0262676670077865,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0230651895395,0.0516368712046102,0,0,0,0.0679133742530187,0,0.000102745856367977,0,0,0.152058039468181,0,0.0639031132973394,0,0,0,0,0.0463970527039681,0,0,0.094615306243169,0,0,0,0,0,0,0.0133838242684195,0,0,0.0558293206553874,0,0,0,0,0,0,0,0.213349439247543,0.0514682587683828,0,0,0,0,0,0,-0.00252213224462045,-2.16840434497101e-19,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.123352745932643,0,0,0,0,0,0,0,0,0.120401029878674,0,0,0,0,0.0196176789251509,0,0,0,0,0,0.217236712664451,0,0.103121083462183,0.175410975194306,0,0,0.0504494389680258,0,0,0,0,0.00907927870549712,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00153494781432167,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.211283139158565,0,0,0,0,0.306537575420462,0,0.0611661303085427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10119565477939,0,0,0.0257706322266184,0,0,0,0,0,0,0,0.0100924777946509,0,0,0,0,0,0,0,0,0,0,0.0375030103769704,0.0738023503773878,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.00989333992338092,-0.00181334566302188,0,0,0,0.271615405814644,0,0,0,0,0,0,0,-0.0291863997778593,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.050944957978408,0,0,0,0.0899242408933528,0,0,0,0,0,0,0,0,0,0.13435258438243,0,0,0,0,0.00451137271003739,0,0,0,0,0,0
X600795.SH,0,0,0,0.097078898212761,0,0,0,0,0,0.101061722795452,0.141786439983656,0.00926995433280986,0,0,0,0.14497429130382,0,0.0381599293771175,0,0,0.0229448208657688,0,0.0907033728614557,0,-0.024744849649846,0,0,0,0,0,0,0,1.73472347597681e-18,0.0315243267233042,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.292327975432858,0,0,0,0,0,0,0,0.0125092269325006,0,0,0,0,0,0
X601600.SH,0,0.107126469186538,0.305214833059297,0,0,0,0,0,0,0,0.123708583795304,0.0041706308750575,0,0,0,0,0,0,0,-0.013776912199636,0,0,0.0757255202352374,0,0,0,0,0,0,0,0,0,0.243956642400249,0,0,0,0,-0.0575969378969068,-0.203942874712013,0,0,0,0,0,0,0.263175796469947,0,0,0,0,0,-0.00337005594139733,0.016202572966572,0,0,0,0,0,0
