,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600011.SH,X601600.SH,X601898.SH,X002466.SZ,X600188.SH,X600660.SH,X600688.SH,X600362.SH,X600795.SH,X300072.SZ,X002460.SZ,X601992.SH,X601991.SH,X600547.SH,X600111.SH,X600176.SH,X600886.SH,X600516.SH,X000898.SZ,X000786.SZ,X000709.SZ,X002271.SZ,X000792.SZ,X600352.SH,X000825.SZ,X600027.SH,X600299.SH,X000553.SZ,X601699.SH,X000408.SZ,X600219.SH,X601158.SH,X600808.SH,X600489.SH,X000883.SZ,X600426.SH,X002110.SZ,X000959.SZ,X000830.SZ,X000630.SZ,X000983.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.364720528977362,0,0,0,0,0,0,0.00418986611720166,0,0,0,0,0,0,0.21038433826202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707157493191384,0,0,0,0,0,0,0,0,0,0,0.04824853763487,0.0364594149080124,0.000499841814072516,0,0,0.000351144377880465,0,-0.00462010944019583,0,0,0,0,0,0,0
X600028.SH,0.483700774926473,0,0.134127731791953,0,0,0,0,-0.000971161269592992,0,0,-1.73472347597681e-18,0,0.33587495849684,-3.46944695195361e-18,0,0,0.0150164674639664,0,0,0.201132312324056,0,0.0128456611693901,0,0,0,0.182344437523286,0,-0.103732158179624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0333985235054513,0,-0.0149477404624453,0,0,0,-0.0114424340702912,0.0171201933590974,0,0,0,0,0,0
X601088.SH,0,0,0,0.114945958733236,0.0362079105581156,0,0,0.0588255872004835,0,-0.0647581929741164,0.0459487618642205,0,0,0,0,0,0,0,0,0.13616358355137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296637949078254,0,0,0,0,0,0,0,0,0,0,0,0.0984829977310595,0,0.00856280943233501,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.316060421721962,0,0,-0.0469612883671368,0,0,0.323778820963476,0,0,0,0,0,0,0,0,0,0,-0.106367260400314,0,0,0.0622022568266878,0,0,-0.0442213960847995,0,0,0.0500053010866136,0,-0.0323467524720606,0,0,0,0,0,0,0,0,0,0.0616819061787049,0,0,0,0,0,0.0228110322440288,-0.0233937301847321,0,0,0,0,0,0
X600585.SH,0,0,0.0527958617459954,0.227855308010977,0,0,0,0,0,0,0.0290288006662609,0,0,0.0352196234798757,0,-0.0218622734862216,0,0,0,0,0,0.232087453801085,0,0,0,0.316843957294636,0,0,-0.181531377750998,-0.137169967046694,0,0,0,0,0.257335708891691,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0303446214316831,0.0334650457128776,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,-0.0311927633242955,0,-0.0164612736139725,0,0,0,4.33680868994202e-19,0.186544070767602,0,0,0.0171388884851241,0,0,0,0,0,-0.000352146093175238,0.101883806671034,0,0,0,0,0.0993783667333369,0,0,0,0.019091591985881,-0.0396509305357738,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0.286878931150305,0,0.0232800845224355,-0.00932452503632243,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0505743510009072,0,0,0,0,0,0,0,0,0,0,0.155465894670187,0.0445156395565141,0,0,0,0.0134837684517744,0,0,0.0466761899243304,0,0,0,0,0.0809931188427292,0,0,0,0,0.129660760074591,0.120828466929009,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451583776760039,-0.0630030396891355,0,0,0,0,0,0
X601600.SH,0,0.098926432424008,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.359173609924617,0.00760018385250086,-0.157385767316738,0,0,0,0,0,-0.248566367015683,0,0,0,0.516875992058181,0,0,0,0,0,-0.149375535224265,0.221244132490968,-0.298326339802347,0,0,0,0,0,0,0,0,0,0,0,0,0.263370577513332,-0.388909488028087,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0954575970461337,0,0,0,0.0164224100093739,0,0,0.258000806266427,0,0,0,0.0575109308358309,0,0.0554486939321509,0,0,0,0,0,0,0,0,0.0816172936618757,0.00803288027507883,0,0,0,0,0.0240976469306626,0,0,0,0.0369628195994005,0,0,0,0,0.192731330115125,0,0,0.158973839927984,0,0.0125996695541439,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0.196761531559206,0,-0.125365198175669,0,0,0.415212175518065,0,0,-0.0703888003967259,0.0301327142481805,0,0,0.274025555532937,0,0,0,0,0,0,-0.00556713721273444,0,0,0,0,0,0,0,0,0,0,-0.0497969698629292,0,0,0,0,0,0,0,0.00268258394728457,0,0,0,0,0,0
