,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X600010.SH,X000301.SZ,X601600.SH,X002271.SZ,X600188.SH,X000708.SZ,X600660.SH,X600011.SH,X601898.SH,X600362.SH,X600547.SH,X600176.SH,X600426.SH,X600886.SH,X000825.SZ,X600219.SH,X000786.SZ,X000408.SZ,X600803.SH,X002080.SZ,X000959.SZ,X000932.SZ,X600795.SH,X601991.SH,X000723.SZ,X000898.SZ,X000807.SZ,X000983.SZ,X600801.SH,X600399.SH,X300037.SZ,X600295.SH,X002192.SZ,X600808.SH,X600027.SH,X601699.SH,X000831.SZ,X600688.SH,X600352.SH,X600516.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0626772731735801,0,0,0,0,0,0,0,0,0.00111953079832999,0.026591385676569,0,0,0,0,0,0,0,0.0262347954792382,0,0,0,0,0,0,0,0,-0.091568010341029,0,0,0,0,0,0.100082127998244,0,0,0,0,-0.00945875122081868,0,0.0473986888806633,0,0,0,0.0465960078313131,0,0,0,0,0,0,-0.0497461717832276,0,0,0,0,0,0
X600028.SH,0.243537019997211,0,0,0,0,0,0,0,0,-0.0838063307346621,0.0238104836917515,0.0660909298182993,0,0,0,0.00224754250795596,0,0,0,0,0,0.0206919080707009,0,0,0.038028905367424,0,0,0,0,0,0,0,0,0,0.00791749586670108,0,0.0316725454274333,0.0324067268504305,0,0,0,0,0,0,0,0,0,0.0722299812148935,0,-0.0106634450307393,0,-0.00957665749157264,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,-0.0461331095554716,0,0,0.0725040291114561,0,0.0429560245330789,0,0,0,0.126615324330859,0,0,0,0,0.0568985833338483,0,0.0285285865654576,0.050078372070556,0,0,0,0,0,0,0,0,0,0.0270703675604912,0.0321327583566758,0,0,-0.120077010505339,0,0,0,0,0,0.0218347844309411,0.154936683710526,0,0.0461096056434547,0,0,0.0133595042138008,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.100944194052557,0,0.0169223901112291,0,0,0.0789690267611971,0,0.00292166595740298,0,0,0,0,0,0,0.039910560265757,0,0,0,0.0153480069585349,0,0,0,0.0126726924385747,0,0,0,0,0,0,0,0,0,0,0,0,0.0305657509594126,0,0,0,0,0,0,0,-0.0271161101964658,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.0224080214445214,0.290995355607064,0,0,0,0,0,0,0,-0.0107335513252908,0.132817388402538,0,0,0,0,0,0,0,0,0.0504851519735131,0,0,0,0,0,0,0.0622580666637815,0,0,0,-0.200701008033645,0.027969532060005,0.446777584154153,0.166217080315147,0.178947414845372,0.0849697160964207,0,0,0.122804286869744,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0491524238986538,0,0,0,0,0,0,0,0,0,0.0591503237795751,0.0894503913080041,0,0,-0.0122860576740059,0,0,0,0,0,-3.46944695195361e-18,0,0,0.503424033905107,0,0,0,0,0,0,0,0,0,0,0,0,0.0142884415930518,0.0270055744625605,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0985934801584317,0,0,0,0.0495197550042543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427734049996957,0,0,0,0,-0.0197555564607636,0.0485806767698177,0,0.045903995431995,0,0,0.0186926000729612,0,0,0,0,-0.0436195034952597,-0.00948681358664391,0,0,0,-0.128204053036262,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0378334966971329,0,0,0,-0.038023600623325,0,0.0743674535097844,0,0,0,-0.0824861856959667,0,0,0.1263792006237,-0.0232617725516668,0,0,0,0,0,-0.346793570031391,0,0,0.13662052252737,0.0352875129833797,0,0,0.191897714546766,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.0609503387334866,0.0594936100998538,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.331937601064381,0,-0.18406962640865,0,0,0,0.357835731628695,0,0,0,-0.0166512945814185,0,0,0,0,0,0,0,0.0320845582405855,0,0,-0.0833544599642429,0,0,0,0,0,0,0,0,0,0,0,-0.0235319521835205,0,0.228642826023583,0.00103690874268214,0,0.164035724084956,0,0,0,0.182923403998006,0,0,0,0,0,0.0287410479228216,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.322567545636984,0,0,0,0.440080433743399,0,-0.0841016001836972,-0.0564796004991107,0,0,0,1.38777878078145e-17,0,0,0,0,0.0402858699371028,0,0,0.25274305538525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12848328020739,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.0432398012352342,0.0793012271600995,0,0,0,0,0,0
