,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600585.SH,X600019.SH,X600011.SH,X002460.SZ,X000792.SZ,X002466.SZ,X601898.SH,X601600.SH,X000708.SZ,X000301.SZ,X600111.SH,X600547.SH,X600660.SH,X600010.SH,X002271.SZ,X000877.SZ,X600886.SH,X600426.SH,X600795.SH,X600362.SH,X601699.SH,X000983.SZ,X600027.SH,X600176.SH,X600803.SH,X601991.SH,X600160.SH,X000786.SZ,X600995.SH,X600489.SH,X000807.SZ,X000629.SZ,X600378.SH,X000408.SZ,X600219.SH,X600096.SH,X000932.SZ,X000933.SZ,X000723.SZ,X002080.SZ,X600688.SH,X300037.SZ,X600801.SH,X000831.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00725038927788981,0,0,0.0906152737813205,-1.0842021724855e-19,0,0,0,0,0.104159165542183,-4.33680868994202e-19,0,0,0,0,0,0.052524085560699,0,-0.00889904805301122,0,0.097447354207698,-0.013601148051917,0,0,0,0,0.0136646382809314,0,0,0.106165186029735,0,0,0,-0.120398610297715,0,0.0234145365433826,-0.0292958461237229,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0.0173381606548061,0,0,0,0,0.0708331290824677,0.0571155150159727,0,0,0,0,0,0,0.062594146210884,0,0.147752088119095,0,0,0,0,0,0.0137597645461987,0,0,0,0.00608127653366435,0,0,0,0,0,0,0,0,0,0.218677206236234,0,0,0,0,0,0,0,0,0,0.0125844627798418,-0.00876274291018958,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0747987353926861,0,0,0.0601831262415595,0,0,0,0.142005791198066,0,0,0,0,0,0,0,0,0.0194831593463017,0,0,0,0,0.10363128018248,0,0,0,0.0104601339945586,0,-0.0297338307241983,0.128208828994341,0,0,0,0,-0.0383760625809351,0,0,0,0,0.0270814615501307,0,0,0,-0.0193033923475621,0,-0.0111454994806571,0,0,-0.0160668527843521,0.00924584594088501,0,0,0,0,0,0
X600309.SH,0,0.11316506353234,0,0,-0.00118769192957264,0,0,-0.0617919023378048,0,0,0,0,0,0,0.177669086350352,0,0,0,0,0,0.0622858928617106,0,0.286282890482681,0,0,0,-0.0465666978230353,0,0,-0.0584596785548061,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0.47240904393348,0,0,0,0,0.00328285776805609,0,0,0,0,0.0063598868965459,0,0,0,0,0,0,0
X600188.SH,0,0,0.777108123545954,-0.126178794086536,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0156177110988666,0,0.0166482627414637,0,0.166081694816099,0,0.107437390162687,0,0.12513692123944,0,0,0,0,0,0,0,0,0,0.0936373701367443,0,0,0,0,0.0929735570361229,0,0,0,0,0,0,0,0,0,0,-0.0106338071020982,-0.00846933625537424,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00504629835825127,0,0,0,0.0849224904507115,0.203202444576738,0,0,0,0.0320955147684422,0,0.0251334821049687,0,0,0,0,0,0.141894848489585,0,0,0,0,0.0779228899821836,0,0,0,0,0,0,0,0,0,0.289372441720339,0,0,0,0.00828085387583578,0.00204212305042597,0,0,0,0,0,0
X600019.SH,0,0.142344152816577,0,0,0,0,0,-0.0277840384725613,0,0,0,0.150537474650156,4.33680868994202e-19,0,0.0475743660635722,0,0,0,0,0.068928335055163,6.93889390390723e-18,0,0,0,0,0,0,0,0.235938795289466,0,0,0,0,0,0,0,0,0,0,0,0,0.00442760110705072,0,0,0,0,-0.0139921505506888,0.0767194915277226,0,0.134542648341407,0,0.000162726553998552,-0.0154135734798314,0,0,0,0,0,0
X600011.SH,0,0,0,0,0.138309747096201,0,0,0,0.0301968851262581,0,0.0440534174216312,0,0,0,0.0324694987290796,0,0,0.0457722971378647,0,-0.0343891589837707,0,0,0,0,0,0,0,0.544218782048817,0,0.0795616591982215,0,0,0.13301762046237,3.46944695195361e-18,0,0,-0.183111469615874,0.104374872409876,0,0,0,0,-0.173681436885844,0,0,0,0,0,0,0,0,0,0.00685217376464375,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.607690331506945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0144790832800859,0,0,0,0,-0.0787623853881739,-0.029291275862688,0,0,0.0497223650865138,0,0,0.162194165630161,0,0,0,0.0123283362774844,0,0.0233324705278078,0,0,0,0,0,0,0.00687370714348724,-0.00532666062897452,0,0,0,0,0,0
X000792.SZ,0,-0.0202059973582919,0,0,0,0,0,0.129707432532826,0.0371369716933443,0,0.0259351979031809,0,0,0,0,0.0290407563317517,0,0.153881773870114,0,8.67361737988404e-19,0.0433328829352444,0,0.171757134263849,0,0,0,0,0,0,0,0,0.118623148020772,0,0,-0.0160953322552816,0,0,0,0,0,0,0,0,0,0,0,0.0943546596552351,0,0,0,0,0,0.0171838481698968,0,0,0,0,0,0
