,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X600660.SH,X002271.SZ,X000708.SZ,X601898.SH,X002466.SZ,X601600.SH,X600547.SH,X000301.SZ,X600362.SH,X600188.SH,X600111.SH,X600010.SH,X000786.SZ,X600426.SH,X600886.SH,X600011.SH,X600176.SH,X000027.SZ,X601991.SH,X600803.SH,X600795.SH,X600352.SH,X600219.SH,X002353.SZ,X600489.SH,X000825.SZ,X000408.SZ,X000898.SZ,X600688.SH,X002080.SZ,X000932.SZ,X600801.SH,X300037.SZ,X600315.SH,X000807.SZ,X601699.SH,X002409.SZ,X000983.SZ,X000959.SZ,X600399.SH,X600157.SH,X000830.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0.0268771353009375,0.00887523179286412,0,0,0,0,0.0569700748471686,0.0442023755763829,0,0,0,0,0,0,0.00140386894438521,0,0,0,0,0,0,0,0.0336240094353939,-0.0284878622499288,0,0,0,0,0,0,-0.049297230654631,0,0,-0.0771030113088696,0.0971569712197462,0.058847435608191,0,0,0,0,0,0,0,0,0,0,0.0136733887221989,0,0
X600028.SH,0,0,0,0,0,0,0.123819708112378,0,0,0.00679125303482017,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.065364041568225,0,0,0,0.0137492659025855,0,0,0,0,0,0,0,0,-0.00333455864377183,0,0,0,0,0,0,0.0257665900214155,0.0770600072491461,0,0,0.0610310469267361,0,0,0,0,0,0,0.0120109191289922,0.0628626233657643,0,0,0,0,0,0
X601088.SH,0,0.154122338240363,0,0,0,0.0388085683156803,0,0,0,0,0,0.0132637921719497,0,0,1.73472347597681e-18,0,0.103286624209094,0,0,0,0.0231062495068356,0,0,0.0650470441218655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00120568709447516,0,0,-0.0752067937002422,0,0,0,0.094740853484185,0.0372329907414033,-0.0319806106955328,0,0,0,0,0,0.00191693678209196,0,0,0,-0.00389579159432895,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.0443890681086558,0,0.0205308557774303,0,0,0,0,0,0,0.080946163883048,0,0.0429173007707791,0.183135974505635,0,0,0.138084462693621,-0.0205395301030996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012051973152023,0,0.0669180320327571,0,0,0,0,0,0.137483384869141,0,0,-0.0687995374893937,-0.0146742621297702,0,0,0,-0.0452454813476053,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0141734330380617,0,0,0,0,0,0,0,0,0,0,0,0.0336503739588166,-0.00328943372212875,0,0,0,0,0,0,0,0,0.00738420319717995,-0.0881359038602501,0,0,0.0786279817857956,0.265635648396553,0,0.0216690179524331,0.0236777243470488,-0.0471935729564834,-0.0826058624227081,0,0,0,0,0.0672916621204445,0,0,-0.0627750797724492,0.0755262717043578,0,0,0,-0.00359565733660216,0,0
X002460.SZ,0,0,0,0,0,0,0,0.163467372090393,0,0,0,0.490395600871152,0,0,0,0,0,0,0,0.066370215709551,0.0309272731438117,0,0,0,0.0297135125111758,0,0,0,0,0.12425899277389,0,0,-0.128704099973366,0,0,0,0,0.0134762952668192,0,0.247650755667397,0,0.148428539215176,0,0,0,0,0,0,0,-0.121662447345731,0,0,0.010552614199658,0,0,0,-0.00743053605854305,0,0
X600019.SH,0,0,0,0.0512627327849756,0,0,0,0,0,0,0,0.132000838105092,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248589072641353,0,0.197927002133978,0,0,0.0355202405180786,0,0,0,0,0,-0.0819269261275525,0,0.127850194147539,0,0,0.0681824651203338,0,0,-0.0253499466385364,0,0,0,0,0.0141569676353913,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,-0.124362622683763,0.168303482211479,0,0,0,0.13592557622144,0,0,0,0,0,0,0,0,-9.26813167586346e-05,0,0,0,0,0,0,0,0,0,0,0,0.094635090410454,0,0,0.291642971302162,0,0.0762931735465276,0,0.0923082959142915,0,-0.102060772961488,0,0,-0.0665198272568145,0,0,-0.0606894934544127,0,0,0,0,-0.0548771860899787,0,0
X002271.SZ,0,0,0,0.18654229811357,0,0,0,0,0,0,-0.154856533809949,0,0,0,0,0,-0.0239550767472337,0,0,0,0,0,0,0.0301963290304304,0,0,0.0471603008020358,0,0,0,0,0,0.152226535099184,0.110474829805903,0,0,0,-0.0260454973986015,0,0,0,0,0,-0.00824214568019423,0,0,0,0,0,0,0,0,-0.00792480875407768,0,0,0,0.0375803384754368,0,0
X000708.SZ,0,0,0,0.10314578681792,0,0,0,0.00984359541201636,0,0,0,0,0.0191386426934966,0,0,0,0,0,0,0,0,0,0,0.0805685002147808,-0.0055903648957009,0,0,0,0,0,0,0,0,0,0.161863079752942,0,0,0.119084760904246,0,0,0.176073375061456,0,0,0,0,0.0123729192398399,0,0,0,0,0,0,0,0,0,0,-0.0170767078047068,0,0
