,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X601600.SH,X600688.SH,X600886.SH,X600795.SH,X600188.SH,X600027.SH,X600362.SH,X000898.SZ,X601992.SH,X002466.SZ,X600176.SH,X600111.SH,X002460.SZ,X600516.SH,X000709.SZ,X600299.SH,X600352.SH,X000629.SZ,X600808.SH,X600219.SH,X600489.SH,X600801.SH,X000786.SZ,X601158.SH,X000825.SZ,X300072.SZ,X000553.SZ,X600583.SH,X000883.SZ,X000792.SZ,X600339.SH,X002110.SZ,X601699.SH,X000408.SZ,X000301.SZ,X002271.SZ,X000630.SZ,X000539.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.196909457095829,0,0,0,0,-0.0403166907055236,0,0.148970997530902,0,0,0,0,0.07874605034561,0,0,0,0.0174832678540331,0,0,0,0,-0.116600997486004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.075008853811853,0.028159230407973,0,0,0,0.287781072523672,0,0,0,0.27364473331397,0,0,0,0,-0.0154788501418486,0.0648005465378722,0,0,0,0,0,0
X600028.SH,0.366979502148901,0,0,0.113960844152523,0.069754202332034,0,-0.0347317778466768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1109578807623,0,0,0,0,0.156648238073736,0,0,0,0,0,0,0,0,0,0,0,0,0.211348071063266,0,0,0,0,0.167478429419089,0,0,-0.0103227856010479,-0.0169587266940698,0.157123778267791,0,0,0,0,0,0
X601088.SH,0.26413290688072,0,0,0,0,-0.0996059645775779,0,0,0,0,0,0,0,0,0,0,0.0424270809884694,0,0,0,0,0,0,0,0,0,0,0,0,0.0744579020258675,0,0,0,0,0,0,0,0,0,0,0,0,0.0341472228781996,0.253939885661401,0,0,0,-0.0454245957595694,0,0,0,0.00137915616386011,-0.0160402733600037,-0.00854264097363674,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.132312547251359,0.105304614903055,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0271914484490467,0,0,0,0,0,0,0,0,0,0.156040227841571,0,0,0.482195338340542,0,0,0,0.0975744998479164,0,0,0,0.134896546566633,0.0230789128627929,0,0,0,0,-0.0227296315501354,0,-0.045070928962259,0,0.0118534572046396,0,0,-0.000266137393401825,0,0,0,0
X600019.SH,0,0.0798565763256234,0.0199110778770296,0,0,0,0.00841910303608016,0,0,0,0,0,0,0,0,0,0.175089186335781,0.0179639487461105,0,0.54506646387009,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.0203087077655795,0,0,-0.00666102098299597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0750630485982284,0,0,0,0,0.0013581349992397,0,0,0,0.0912346499133802,0,0
X600011.SH,0,0.0883181065617995,0,0.043760288512829,0,0,0.027521226488958,0.0227485863637464,0,0,0,0,0,0,0,0,0,0.707782535373899,0,0,0,0,0,0,0.024630939613207,0,0,0,0,0,0,0,-0.202520123076608,0,0,0,0.0197401296860874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168458461104779,0.0571154059487497,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275285952177959,0,0,0,0,0.103994866330806,0,0.080225710464357,0,0,0,0,0,0,-0.345640112502448,0,-0.330081732464521,-0.0333236918131081,0.340452291431587,0,0,0,0,0,0,0,0,0.248473518091644,0,0.235039786399502,0,0,0,0,-0.478351675021115,-0.0772001343912791,0.192948445462875,0,0.148199934778363,0,-0.155500930668024,0,0
X600010.SH,0.108177971893388,0,0,0,0,0.0222976113358049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274780153356794,0,0,0.0190390651059295,0,0,0,0,0,0.0892585204423367,0,0.144086903111897,0,0,0,0,0,-0.0542715274079126,0.0664949721128889,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020511683018412,0,0,0,0,0,0
X601898.SH,0.0699388206906363,0,0,0,0,0,0,0,0,0,0.16587747061663,0,0,0,0,0,0,0,0,0,0,0.0665750531344968,0,-0.0126240463161986,0,0,0,0,0,0,0,0,0.221645196064811,0,0,0,0,0,0,0,0,0,0.0890380774248712,0.140971032289563,0.162402232566116,0,0.125018684166862,-0.0558231489463614,0,0,0,-0.00988724348509594,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.039136004904461,0.0540160189350925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489291211600375,-2.16840434497101e-19,0,0,0,0,0,0,0.473587165358113,0,0,0,0.262687987648725,0,0,0,0,0,0,0,0,0,0,0.000671029905044617,0,0,0,0.018333546365707,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.0913479746501762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0720147381104954,0,0,0,0,0,0,0,0,0,0,0,0.105699182408717,0,0,0.0641728900291837,0,0,0,0,0.0916810027526388,0.105998338198246,0,0,0,-0.0330075683464604,0.0159829390632783,0,0,0,0,0,0
X600660.SH,0,-0.133504435081695,0,0,0,0.202017547459572,0,0,0,0,-0.0667703288932575,0,0,0.208209005059104,0,0,0.238179579346331,0,0,0,0,0.0254479353267282,0,0,0,0,0,0.10609135283894,0,0.0882108173210506,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.206422792869562,0,0,0,0,0,0,0,0.0407405687465768,0,0,0.0269342632572282,0.00295297041005708,0.109841236718936,0,0.162065743475556,0,0,0,0
X601600.SH,0,0,0,0.100938053543561,0,0.0457920000353008,0.0747017974897493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145912127266635,0,0.11763362228364,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448384328042322,0,3.46944695195361e-18,0,0,0.146515646328401,0,0,0,0,0,0,0,0,-0.00924850435983775,-0.0465931545883674,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0.380990273344544,0,0,0,0,0,0,0,0,0,0,0.0346321553768382,0,0,-0.0507956326356778,0,0,0,0,0.36378853721826,0,0.0200912662324776,0,0,0,0,0,0,0.0431785959616855,0,0.0377978263260761,0,0,0,0,0,0,0,0,0.11549175132307,-0.00739002935222614,0.0479331236463759,0,0,0,0,-0.0814134079811895,0
X600886.SH,0,4.33680868994202e-19,0,0,0,0.187527364050732,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0502870832478952,0,0,0.000101015679740458,0,0.0508885224177396,0,0,-0.0156398179522073,0.179157335388408,0,0,0,0,0,0,0,0.0212540417020494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00108415741531303,0.0293275409983311,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.044035624237809,0,0,0,0,0,0,0,0,0,0,0,0,0.0119964638040776,0.126677672843126,0,-1.73472347597681e-18,0,0,0,0,0.140156635761455,0.0358892777497894,0,0.0635824355126845,0.0192960740625274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00462736643935378,0.0321453953810204,8.67361737988404e-19,0,0,0,-0.00968388603350534,-0.0395940703860747,0,0,0,0,0,0
