,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X600795.SH,X600886.SH,X600688.SH,X601600.SH,X601991.SH,X600027.SH,X002075.SZ,X600362.SH,X600157.SH,X600111.SH,X600188.SH,X600583.SH,X601158.SH,X601992.SH,X000539.SZ,X000027.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X000792.SZ,X600022.SH,X600098.SH,X002470.SZ,X600307.SH,X000629.SZ,X600863.SH,X600489.SH,X600808.SH,X600623.SH,X600578.SH,X601918.SH,X600612.SH,X600160.SH,X600547.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.753800664845305,0.0881534095317495,0,0,0,0,0,0,0,0,-0.0118366597202985,0,0,0,0,0,0,0,0,0,-0.132746620800212,-0.004862993738853,0,0,0,0,0,0,0,0,0,-0.031620373708744,0,0.0761878547997369,0,0,0,0,0,0,0,0.0424527016032741,0,0,0,0,0,0.0125337399530755,-0.0298125879946529,0.015058407547677,0.0752182771498524,0,0,0,0
X600028.SH,0.366251839175106,0,0.171670663213209,0,0,0,0.176449721988956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00912432703786392,0,0,0,0,0,0,0,0.10896647918217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264293883711262,0,0,0,0,0,0,0,0.0753376537607509,0,0,0,0,0
X601088.SH,0,0,0,0.094156413440614,0.315637325154666,-8.67361737988404e-19,0,0,0,0,0,0,0.00132676945123845,0,0,0,0,0,0,0.094551223291065,0,0,0,0,0.0699296348198915,0,0,0,0,0,1.0842021724855e-19,0,0,0,0.137076085876181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031329015752299,0,0,0,0,0,0
X600011.SH,0,0,0.145137118184926,0,0.0095815956608616,0,0,0,0,0,0,0,0.274128369837393,0.314201482532772,0,0,0,0,0.133641109790498,0,0,0.0951192385927737,0,0,0,0,0,0,0,0,0,0,0,0,0.0233939418017278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0.0276631000631408,0,0,0,0,0,0,0,0,0,0.0231731164846314,0,0,0.329195349019891,0,0,0,0,0,0,0,0,0,0.059644423012304,0,0,0,0,0,0.108977830142057,0,0,0,0,0,0.0541485267315274,0,0,0,0,0.106886273887701,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0.172252710439178,0.0890835501364802,0,0,0,0.020844366449829,0,0,0.060068347648675,0,0.00705799134416255,0,0,0,0,0,0,0.159869498600612,0,0,0,0,0.0652155998690811,0,0,0,0.143993762054703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0249629189840187,0,0,0,0,0,0,0
X600585.SH,0.0429240504652564,0,0,0,0.0426594100679929,0.0786185754809061,0,0,0,0.0637027257525772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303899654031288,0,0,0,0,0,0.302879215756425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443659741124585,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.060183205195464,0,0,0,0,0,0,0.250114251051089,0,0,0,0,0,0,0.030228519380241,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0.0434321880012039,0,0.224006099344486,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.00703796288870542,0.156187158032068,0.0960100737833077,0,0,0,0,0,0,0.00788801523421735,0,0.0548094928760745,0,0.0410532445241202,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19678869597414,0.041985284828149,0.0166130927368084,0,0.146710872417526,0,0,0.00468198678132563,0,0.112421254208975,0,-0.000665205165174535,0,0,0,0,0,0,0
X600886.SH,0,0,0.0434273087959792,0,0,0,0,0,0,0,0,0,0,0,0,0.0173110196265247,0,0,0,0.0331217102082524,0,0,-0.0244237019628386,0,0.00197409152836473,0,-0.0557128135242841,0,-0.137429468433336,0,0,0.0876354110967712,-0.205131366290051,0,0,0,0,0,0,0.301669653008481,0,0,-0.0333721846111765,0,-0.00564022398959103,0,0,0,0.429704070601907,-0.418315835954827,0,0,0,0,0,0
