,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600019.SH,X600585.SH,X600188.SH,X600547.SH,X601898.SH,X601600.SH,X002460.SZ,X600660.SH,X002466.SZ,X600886.SH,X000792.SZ,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X002271.SZ,X000877.SZ,X600426.SH,X600362.SH,X600795.SH,X600803.SH,X600176.SH,X600027.SH,X601991.SH,X600489.SH,X000807.SZ,X000786.SZ,X000983.SZ,X601699.SH,X600160.SH,X000932.SZ,X000630.SZ,X600219.SH,X000408.SZ,X002080.SZ,X300037.SZ,X000629.SZ,X000539.SZ,X600688.SH,X000933.SZ,X000723.SZ,X600995.SH,X600157.SH,X600612.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.907121984574596,0,0,0,0,0,0,0,0.177811853104186,0,0,-0.234508397138446,0,0,0,0,0,0,0,0.123586184550136,0,0.00594738448123029,0,0,0,0,0,0,0.110701001320775,-0.186387808613408,0,0,0,0.0773349298833618,0,0,0,0,0,0,0.178981465837482,0,0,0,0.0159925029390951,0,0.058401587103502,0,0,0.122874340101008,-0.0221486966669307,0,0,0,0,0,0,0
X600028.SH,0.643412803794695,0,0,0,0,0.149209346122004,0.176090149856018,0,0,0,0,0,0,0,0,-0.0310526119518596,0,0,0,-0.0803459850607438,-0.0904573469228108,0,0,0,0,0.0873661677045293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114521354083677,0,0,0,-0.00323171239086992,0.00551841322715917,0.0865274293622847,0.00550598107277437,0,0,0,0,0
X601088.SH,0.0591795901745016,0,0,0,-0.0838133039606705,0,0,0.324946988111858,-0.0156964260708561,0,0,0,0,0,0,0,0.0900390604104286,0,0,0,0,0,0,0,0,0,0.164463666922536,0,0,0,0.065578299265758,0.0014737774375957,0,0,-0.00863663183085597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0528257133855024,0,0,0,0,0,0
X600309.SH,-0.0781593942378721,0,0,0,-0.131801588835199,0,0,0.0552959609696398,0.0206580142872583,0,-0.0425437336840336,0,0,0,0,0,0,0,0.242170727802812,0,0.0361926371976947,0,0.0175999316102061,0,0,0,0,0,0,0,0,0.077928311926868,0,0,0,0,0,0,0,0,0.000367329741624916,-0.0244609144338298,0,0,0.158702103761335,0,0,0,0,0,0,0,-0.0200934446960378,0,0,0,0,0,0
X600011.SH,0,0.164379117823604,-0.169030387782866,0,0,0,0.264648480773789,0,0.0953120275148245,0,0,0,0,0,0.428082941855568,0,0,0,0,0,-0.0394364176432044,0,0,0,0,0,0,0.592407829427751,0,0,-0.0754028529221637,0,0,0,0,-0.248715329707524,0,0,0,-0.0773173149923938,0,0,0,0,0,0,0,0.0338952500683504,-0.0343280859009429,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,-1.0842021724855e-19,0.00999282582913151,0,0.0493757807250185,0,0,0,0,0,0,0,0.00559842600568152,0,0,0,0,0,0,0.0826753024229628,0.073203355408387,0,0,0,0.00305767990129401,0,0.000222981335414294,0,0.212235354146744,0,0,0.098849453582602,0,0.0727606846573281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269848145019088,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0585330406783409,0.243322467615531,0,0,0,0,0,0.169248750069325,0,0.201766661413596,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130184311486101,0,0,0,0,0.168886315808424,0,-0.0514118686608016,0,0,0,0.149169113507597,0,0,0,0,0,0,-0.0516611514674525,0,0,-0.246739234416738,0,0,-0.03108051713339,-0.0916997100225846,0,0,0,0,0,0
X600188.SH,0,0,0.472175646536311,0,0,0,0,0,0,0.10128219032588,0,0,0,0,-0.11516355615238,0,0,0,0,0,0,0,0,0,0,0,0,-0.0596879187988744,0,-0.684218674534158,0.0308598520782671,0.0308548179173555,0,0.144140461281306,0.185374309843287,-0.155173121628964,0,0,0,0,0,0,0.0653378446750543,0,0.188481416963343,0.0815472003413207,0,0,0,0,0,0,-0.010989185404632,0,0,0,0,0,0
X600547.SH,0,0.10766393138474,0,0,0,0.044749483602277,0,0.0906148329340739,0,0,0,-0.0796128126042714,0,0,0,0,0,0,-0.161812088345521,0,-0.0726646542425896,0,0,0,0,0.116180455379321,0,0,0,0.779018191713097,0,0,0,0,0,0.182067068021198,0,0,0,0,0,0,0,0,0,-0.0431801980887711,0.0774463056768093,-0.216212142581545,0,0,0,-0.0259254029697937,0,0,0,0,0,0,0
X601898.SH,0.177917163005858,0,0.0538440007061083,0,0,0,0,0.240411350286164,0,0,0,0,0,0.0335337555654105,0,0.0632736286271411,0,0,0,0,0,0,-0.188071502213173,0,0,0.0862893728548799,0,0,0,0,-0.00116997950819991,0.113365797852628,0.170533140324756,0.111315465477132,-0.0635102696668768,0,0,0,0,0,0,0,-0.165327611419099,0,0,0.0172806152783028,0,0,0,0,0,0,0,0,0,0,0,0,0
