,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X002460.SZ,X000708.SZ,X600547.SH,X600660.SH,X002271.SZ,X600011.SH,X600362.SH,X000786.SZ,X601600.SH,X600886.SH,X600176.SH,X600426.SH,X601898.SH,X600010.SH,X600188.SH,X600801.SH,X000301.SZ,X600352.SH,X002466.SZ,X600489.SH,X600111.SH,X300037.SZ,X601991.SH,X600795.SH,X600688.SH,X600803.SH,X600486.SH,X002353.SZ,X600299.SH,X600027.SH,X002080.SZ,X601992.SH,X600219.SH,X000932.SZ,X601168.SH,X600529.SH,X000898.SZ,X002409.SZ,X600315.SH,X000723.SZ,X000027.SZ,X600399.SH,X000807.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,-0.00246613068617176,-0.038208979297595,0,0.0483189763393388,0,0.0442868767697782,0,0,0,0,0,0,0,0,0,0.010886782634759,0,0,0.00727882029566679,0,0,0,0,-0.00711442767308872,0,0,0,0.0310428864266593,0,0,0,0,0,0.0269958287787782,0,0,0.0137728466733113,0,-0.0018659376838346,0,0,0,-0.00875661491201959,0,0,0,0,-0.0056735540643905,0,0
X600028.SH,0,0,0,0,0.00186290123571121,0.0159803041387538,0,0,0,0,-0.0356716513473536,0.0593460066304038,0,0,0,0,0.0475373289367187,0.0383400569709432,0,0,0,0,0.018567858757745,0,-0.0226455345190815,0,0.0277226195227758,0,0,0,0,0,0,0,0,0,0.0467888456765028,0,0,0,0.0058858495852989,-0.025574046823909,0.174277530610544,0,-0.058827560496632,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,-0.00999773809198286,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0.0480439357499454,0,0,0.00389305380237962,0.0200570155371434,0,0,0,0.638363453652996,0,0.178891106192482,0,0,0,-0.00459131804254357,0,0,-0.00498777965845995,0,0,0,0,0,0,-0.109932563482867,0,-0.0651715478313853,0,0,0,0,0,0,0,0,0,0,-0.0696735189956892,0,0,0,0,0.0087371473252588,0,0,0,-0.00958728461104793,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0557514178511416,0,-0.0219485828444963,0,0,0,0,0,0,0.100389673131576,0.0610453322441709,0,0,0,0,0,0,0.108458965949214,0,0,0,0,0,0,0,-0.0619397822643034,0,0,-0.0296949250385695,0,0,0,0.0276675761002483,0.0274725464742899,0.155021808666339,0,0,0,0,0,0,0,0,0.0335456390896382,0,0,0,0,0.00445647417338058,0,0
X600309.SH,0,0,0,0,0,0,0,0.198563284299711,0,0,0,-0.24457568740958,0,0,0,0,0,0.23860298886354,0,0,0,0,0,0,0.0017479486868438,0.393238349695345,0,0.0968100826901129,0,0,0,-0.23787095970909,0,0,0,0,0.0163660376417801,0,0.0370576157744611,0,0,-0.10744558675996,0,0,0,0,0,-0.0570284122818629,0,0,0,0,0.0261980991943659,0,0,0,-0.00157352672371367,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,-0.0082487388334024,0,0,0.107915491070038,0,0.0635797579620773,0,0,0,0,0,0,0,0,0,0,0,0.107761366892015,0,0,0,0,0,0,0,0,0,0.0753743189306215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0969369576230206,0,0,0,-0.00687279699891818,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0,0.182310885978779,0,0.0774669879453936,-0.0302691732674472,0,0,0,0,-0.260086676445446,0,0,0,0,0,0.420755205542351,0,0,0.336858168386766,0,0,0,0,-6.91132980813951e-05,0.178392562224495,0,0,0,0,0,0,0.167142046790415,0,0,-0.056696213335218,0.0538217520774145,0,0,0.0992916209021497,-0.227713863479801,0,0,0,0,0,0,0,-0.0174622087887964,0,0
X000708.SZ,0,0,0,0,0.0589980573212522,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,-0.00799966619165422,0,0,0,0.0271677137721037,0,0,-0.062068398664865,0,0,0,0.138605467313517,0,0,0,0,0,0,0.476181924783177,0.125681675660175,0,0,0,0,0,0,0,-0.00292766560463448,0,0,0,-0.00789749353675603,0,0,0,0,0.00836478109914994,0,0
X600547.SH,0,0,0,0,0,0,0.0121946101515303,0,0,-0.0304953026755187,0,0,0,0,0,0,-0.0946145741432814,0,0,0,0,0,0,0,-0.00920216195349959,0.653906383533856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00765396422788598,0,-0.0145051274329887,0.0524544128119951,0,0,0,0,0,0,0.0133395648090206,0,0,0,0,0.00932875616760549,0,0
X600660.SH,0,0,0,0,0,-0.234474382115634,0,0,0,0,0,0,0,0,0,0,0,-0.0383967012141017,0,0,0,0.107626359795926,0,0.0179590618681824,0,0,0,0.23135851582321,0,0,0,0,0,0.0765294880765283,0,0,0,0,0,0,0,0,0,-0.112795574513025,0,0,0,0.078922073209939,0.0450106539720311,0,0,-0.014385467956816,0.0280299817040717,0,0,0,0.00344308313143304,0,0
