,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X600886.SH,X601600.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X002271.SZ,X600027.SH,X600795.SH,X600362.SH,X600426.SH,X601991.SH,X600803.SH,X600176.SH,X000983.SZ,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X000539.SZ,X300037.SZ,X600612.SH,X600160.SH,X600995.SH,X600219.SH,X000408.SZ,X000932.SZ,X002080.SZ,X600688.SH,X000629.SZ,X000723.SZ,X002409.SZ,X600378.SH,X000027.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.690832975276209,0,0,0,0.109072743646188,0,0,0,0.0345841240112519,0,0,0,0,0,0,0,0,0,0,0,0,0.0556512692031187,0,0,-0.163829403930507,0,0,0,0,0,0,0.369440140226762,0,0,0,0.166536374589698,0.0472683171563434,0,0,0,-0.309588337683924,0,0,0,0.00520413836869824,0,0,0,0,0,0.0156362751612406,0,0,0,0,0,0,0
X600028.SH,0.702186327607823,0,0,0,0,-0.105450520732246,0.0656042872785113,0.0960758528089616,0,-0.0752434419376809,0,0,0,0,0,0,0,0,0,0,0,-0.0046644884684821,0,0,0,0,0,0,0,0,0,0,0.0487158159482519,-0.11038127298081,0,-0.0211458284625806,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.00697086196107841,0,0,0,0,0,0,0
X601088.SH,0,0.0593604647014863,0,0,0,-0.0913468797053992,2.16840434497101e-19,0,0,0,0.554991241113056,0,0,0,0.146199042829908,0,0,0,0,-0.118378767154849,0,0,0,0.136333557039923,0,0,0.0314206625505642,0,0,0,-0.0240317499843314,0,0,0.139679672122944,0.0217130908396865,0,0,0,0,0,0,0.146078937424368,0,0,0,0,-0.0381534606705393,0,0.0544512446832689,0,0,0,0,-0.014527508861509,0,0,0,0,0
X600309.SH,0,0,0,0,-0.259095358487901,0,0,0,0,0,0,-0.000509538082934244,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0.111205369045346,0,0,0.138817335627517,0,0,0,0.0422381270075439,0,0,-0.0360797089324669,0,0.0265386699094749,0,0,0,0,0.026178573408827,0,0,0,-0.00483842775532167,0,0,0,0,0.00510137680438877,-0.0063416674045451,0,0,0,0,0,0
X600011.SH,0,0,-0.0227323302976141,0,0,-0.225742517933905,0,0,0,0,0,0.143808636559948,0,0.3649123705759,0,0,0,0,0,0,0,0,0.469169044667736,0.402058888707515,0,0,0.105393468383959,0,0,0,0,0,0,-0.110768109394343,-0.174757683396972,0,0,-0.0174645665085146,0,0,0,0,0,0,0,0,0,0,0.17346382534623,0.0278158827681971,0,0,-0.106853725285673,0,0,0,0,0,0
X600188.SH,0.174839485083726,0,0.286220850470674,0,0,0,0,0,0,0,0.33819899673446,0,0,0,0,0,0,0,0.341849482390061,0,0,0,0,0,0,0,0,0,0,0,-0.164186263941574,0.2959404043356,0,0,-0.0453668964844883,0.216676887064424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178273461388244,0,0,0,0,0,0
X600585.SH,0,0,0,0.132521963429128,0,-0.0596856042852011,0,0.217534293787865,0,0.0466208556263609,0,0,0,0,0,0,0,0,0,0,0,0,-0.0512452831464235,0,0,0.00883815358453239,0,0,0,0,0,0,0,0.0324701666171354,0.0581710610436336,0.0817703230316752,0,-0.177104482744228,0,0,0.0356328029595275,0,0,0,0.211043415363899,0,0,0,0,0,0,-0.0289467556054087,0,0,0,0,0,0,0
X600019.SH,0,0.0777652452958515,0,0,0,0.0812263429214424,0.0867534238606081,0,0,0,0,0,0,0,0.182310126853984,0,0,0,0,0,0,0,-0.014254965108975,0,1.73472347597681e-18,0.0880078848391938,0,0,0,0,0,0,0,0,0,-0.104815636656307,-0.0705773489844619,0,0,0,0,0,0,0,0,0,0.00713725192415111,0,0,0,0,0.0291733791863792,0.0644069393067517,0,0,0,0,0,0
X002460.SZ,-0.0353819287733692,0,0,0,0,0,0,0,0,0.572665778331831,0,-0.09433596222723,0,0,0,0,0,0,0,0,0.118168198304108,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.011746320263545,0.0280437543558993,0,0,0,-0.00605957688374123,0.0151252544023981,0,0,0.152253505808782,0,0,0,0.0633154596941216,0,-0.000180525150334029,0,0,0,0.207506719815047,0.0320785844012619,0,0,0,0,0,0,0
X002466.SZ,0,-0.0413433748455325,0,0,0,0.0426700427751972,0,0,0.476013743470332,0,0.106369387875811,0,0.00743654233848298,0,0,0,0,0,0,0.324231779388294,-0.0154173512942885,0.0501145588894803,0,0,0,0,0,0,0,0.34599545144444,0,0,0,0,0,0,0,0,0,0,0,-0.0409913556026656,0,0,0.121397235035392,0,0.140804161893321,0,0,0,0,0.0220187435427034,0.0214246339605347,0,0,0,0,0,0
