,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X600660.SH,X601991.SH,X600688.SH,X600188.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X002466.SZ,X300072.SZ,X600516.SH,X600547.SH,X600027.SH,X601992.SH,X600111.SH,X600176.SH,X002460.SZ,X000553.SZ,X600352.SH,X002110.SZ,X600808.SH,X600801.SH,X000786.SZ,X600299.SH,X000709.SZ,X600426.SH,X000932.SZ,X000883.SZ,X601158.SH,X601699.SH,X600339.SH,X600219.SH,X000408.SZ,X601003.SH,X002271.SZ,X600583.SH,X000539.SZ,X600782.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.222947785343184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607557214167206,0.0540792885362342,0,0,0,0,0,0,0.149930813240749,0,0,0,0.0626681502452015,0.0480054741283452,0,0,0,0,0,0,0.0929268664386268,0,0.0066236932027426,0,0,0,0,0,0,0
X600028.SH,0.0180016413163762,0,0.341878090357562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133347284790512,0,-0.0541623234333437,0.0491924256275614,0,0,0,-0.0446103364288295,0,0,0,-0.0411955472364624,0,0,0,0.0319651936434147,0.0329947352091532,0,0,0.0915711375932672,0.00262800251724854,0,0,0,0.00270355454927142,0,0,0,0,0,0,0
X601088.SH,0,0.0539010182271489,0,0.160971836125712,0,0.0102811175067659,-0.152001891603343,0,0,0,0,0.0124711392167495,0.362711023886597,0,0,0,0.219371852831325,0,0.0139308578087116,0,0,0,0,0,0,0,0,0,0,-0.0663476113548922,0,0,-0.067550152649284,0,0,0,0,0,0,0,0.0120173044227232,0,0,0,0,0,0,0,0,-0.00736927447163632,-0.0234237082123961,0,0,0,0,0,0
X600585.SH,0,0,0.057995377294477,0,0,0,0,0,0,0,0,0,0,0,0,-0.210782088077363,0,0,0.0207738961293329,0.166066806061487,0,0,0,0,0,0,0,0,0,0,0,0.30965171561349,0.187969023444972,0.0110333708463659,0,0,0,0,0,0,0.0980900062991265,0,-0.0115374085615905,0,0,0,0,0,0,0.00554131221882273,-0.00646166280441552,0,0,0,0.15497627211695,0,0
X600019.SH,0,0,0,0.153651223361699,0,0.0153902281938076,0,0,0,0,0,0,0.0786055436342273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139461651697072,0,0,0,0,0.194772137507679,0,0,1.73472347597681e-18,-0.0258823141090855,0,0,0,0.111615991202802,0,0,0.126971161412958,0,0.00722910237506828,0.00437014752075684,0,0,0,0,0,0
X600309.SH,0,0,0.0149019450476185,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356836253944513,0,-0.23944045117684,0,0.329831113486789,0,0,0,0,0,0,0,0,0,-0.0805597718928723,0.112121115635249,0.110728374038136,0.252576060854761,-0.306936325538985,0,0,0,0,0,0,0,0,-0.188762818448653,0,0,0,0,0.113375388691274,0.0386140358642753,0.0684001149451606,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0258550233608519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112895593666179,0,0.287139059703423,0,0,0,0,0,0,-0.287718738794124,0,0,0,0,0,0,0,0,0,-0.0563180142467216,5.42101086242752e-20,0,0.18172252595211,0.00783772616336341,-0.0144620579109028,0,0,0.273312250919771,0,-0.0126830696516499,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170497751465567,0.972198313528933,0,0.11594094320218,0,0,0,0,0,0,0,0,0,0,0,0.275357067329327,0,0,0,0,0,0,0,0,0,0.0587948399632628,0,0.514178657501275,0,0.0127057129455129,0,-0.0165553927745465,-0.0568698135501082,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311309409017845,0,0,0,0,0,0,0.0591492509026772,0,0,0.113331498814294,0,0.0536373493718683,0.00879598484147191,0,0,0,0,0,0.0076128481407186,0,0,0,0,0,0,0.0355858413171555,0,0,0,0,0,0,0,0.0508918606837532,0,-0.00343766138979611,0,0,0,0,0,0,0
X600660.SH,0,0.178696473537737,0,0,0,-0.100287812440259,0,0,0,0,0,0,0,0,0,0,0,0,0.0534137506777182,0,0,0,0,0,0,0.268776031560447,0,0,0,0,0,-0.0419979742735671,0,0.0515500777574492,0,0.130624314161761,0.0267003601666101,0,0,0,-0.0473768951269643,0,0,0,0,0,0,-0.0228990701410296,0.266452817307993,-0.00907760123429413,0.0270551437304628,0,0,0,0,0,0
